OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
E00164127,111,51,1,0,0,0,2,55,2,0,0,0,45.94594594594595,0.9009009009009009,0,0,0,1.8018018018018018,49.549549549549546,1.8018018018018018,0,0,0
E00164128,102,40,0,0,0,0,5,52,2,1,2,0,39.21568627450981,0,0,0,0,4.901960784313726,50.98039215686274,1.9607843137254901,0.9803921568627451,1.9607843137254901,0
E00164129,237,96,0,2,0,1,0,124,2,2,9,1,40.50632911392405,0,0.8438818565400843,0,0.42194092827004215,0,52.320675105485236,0.8438818565400843,0.8438818565400843,3.79746835443038,0.42194092827004215
E00164130,139,53,0,0,0,0,1,74,4,0,4,3,38.1294964028777,0,0,0,0,0.7194244604316548,53.23741007194245,2.877697841726619,0,2.877697841726619,2.158273381294964
E00164131,131,41,1,0,0,1,0,77,4,4,3,0,31.297709923664126,0.7633587786259541,0,0,0.7633587786259541,0,58.778625954198475,3.0534351145038165,3.0534351145038165,2.2900763358778624,0
E00164132,172,74,0,0,0,0,1,86,4,3,2,2,43.02325581395349,0,0,0,0,0.5813953488372093,50,2.3255813953488373,1.744186046511628,1.1627906976744187,1.1627906976744187
E00164133,212,91,0,0,0,0,2,112,1,0,6,0,42.924528301886795,0,0,0,0,0.9433962264150944,52.83018867924528,0.4716981132075472,0,2.8301886792452833,0
E00164134,258,104,0,2,0,0,0,136,8,2,6,0,40.310077519379846,0,0.7751937984496124,0,0,0,52.71317829457365,3.10077519379845,0.7751937984496124,2.3255813953488373,0
E00164135,116,44,0,1,2,0,0,49,6,1,8,5,37.93103448275862,0,0.8620689655172413,1.7241379310344827,0,0,42.241379310344826,5.172413793103448,0.8620689655172413,6.896551724137931,4.310344827586207
E00164136,68,26,0,0,1,0,1,30,5,0,5,0,38.23529411764706,0,0,1.4705882352941175,0,1.4705882352941175,44.11764705882353,7.352941176470589,0,7.352941176470589,0
E00164137,201,104,0,0,0,0,1,94,2,0,0,0,51.741293532338304,0,0,0,0,0.4975124378109453,46.766169154228855,0.9950248756218906,0,0,0
E00164138,164,62,0,1,1,0,2,92,0,1,3,2,37.80487804878049,0,0.6097560975609756,0.6097560975609756,0,1.2195121951219512,56.09756097560976,0,0.6097560975609756,1.8292682926829267,1.2195121951219512
E00164139,164,61,0,0,0,0,0,90,6,3,4,0,37.19512195121951,0,0,0,0,0,54.87804878048781,3.6585365853658534,1.8292682926829267,2.4390243902439024,0
E00164140,104,38,0,0,0,0,2,48,9,0,4,3,36.53846153846153,0,0,0,0,1.9230769230769231,46.15384615384615,8.653846153846153,0,3.8461538461538463,2.8846153846153846
E00164141,198,63,0,0,1,0,0,96,11,0,24,3,31.818181818181817,0,0,0.5050505050505051,0,0,48.484848484848484,5.555555555555555,0,12.121212121212121,1.5151515151515151
E00164142,175,65,0,0,0,0,2,96,4,1,5,2,37.142857142857146,0,0,0,0,1.1428571428571428,54.85714285714286,2.2857142857142856,0.5714285714285714,2.857142857142857,1.1428571428571428
E00164143,215,104,0,2,0,0,2,98,1,0,3,5,48.372093023255815,0,0.9302325581395349,0,0,0.9302325581395349,45.58139534883721,0.46511627906976744,0,1.3953488372093024,2.3255813953488373
E00164144,233,98,0,0,0,0,2,119,4,4,4,2,42.06008583690987,0,0,0,0,0.8583690987124464,51.072961373390555,1.7167381974248928,1.7167381974248928,1.7167381974248928,0.8583690987124464
E00164145,188,42,0,0,4,0,2,126,5,5,2,2,22.340425531914892,0,0,2.127659574468085,0,1.0638297872340425,67.02127659574468,2.6595744680851063,2.6595744680851063,1.0638297872340425,1.0638297872340425
E00164146,178,67,0,0,2,0,1,94,9,1,3,1,37.640449438202246,0,0,1.1235955056179776,0,0.5617977528089888,52.80898876404494,5.056179775280898,0.5617977528089888,1.6853932584269662,0.5617977528089888
E00164147,172,76,0,0,0,0,0,88,3,0,1,4,44.18604651162791,0,0,0,0,0,51.162790697674424,1.744186046511628,0,0.5813953488372093,2.3255813953488373
E00164148,142,54,0,2,0,0,0,77,4,1,2,2,38.028169014084504,0,1.4084507042253522,0,0,0,54.22535211267606,2.8169014084507045,0.7042253521126761,1.4084507042253522,1.4084507042253522
