OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
E00029809,368,346,333,10,3,7,0,0,3,3,9,13,0,0,0,94.02173913043478,90.48913043478261,2.717391304347826,0.8152173913043478,1.9021739130434785,0,0,0.8152173913043478,0.8152173913043478,2.4456521739130435,3.532608695652174,0,0,0
E00029814,242,225,218,6,5,0,0,1,1,1,5,12,0,0,0,92.97520661157024,90.08264462809917,2.479338842975207,2.066115702479339,0,0,0.4132231404958678,0.4132231404958678,0.4132231404958678,2.066115702479339,4.958677685950414,0,0,0
E00029815,289,260,250,8,8,0,0,0,2,2,3,20,5,1,0,89.96539792387543,86.50519031141869,2.768166089965398,2.768166089965398,0,0,0,0.6920415224913495,0.6920415224913495,1.0380622837370241,6.920415224913495,1.7301038062283738,0.34602076124567477,0
E00029823,276,258,256,1,1,0,0,0,1,1,12,5,1,0,0,93.47826086956522,92.7536231884058,0.36231884057971014,0.36231884057971014,0,0,0,0.36231884057971014,0.36231884057971014,4.3478260869565215,1.8115942028985508,0.36231884057971014,0,0
E00029860,293,286,281,4,3,1,0,0,1,1,1,3,3,0,0,97.61092150170649,95.90443686006826,1.3651877133105803,1.023890784982935,0.3412969283276451,0,0,0.3412969283276451,0.3412969283276451,0.3412969283276451,1.023890784982935,1.023890784982935,0,0
E00029810,361,339,332,6,3,2,1,0,1,1,6,15,1,0,0,93.90581717451524,91.96675900277008,1.662049861495845,0.8310249307479225,0.554016620498615,0.2770083102493075,0,0.2770083102493075,0.2770083102493075,1.662049861495845,4.1551246537396125,0.2770083102493075,0,0
E00029811,202,188,180,4,4,0,0,0,4,4,0,12,2,0,0,93.06930693069307,89.10891089108911,1.9801980198019802,1.9801980198019802,0,0,0,1.9801980198019802,1.9801980198019802,0,5.9405940594059405,0.9900990099009901,0,0
E00029816,302,290,288,2,2,0,0,0,0,0,2,7,2,1,0,96.02649006622516,95.36423841059603,0.6622516556291391,0.6622516556291391,0,0,0,0,0,0.6622516556291391,2.3178807947019866,0.6622516556291391,0.33112582781456956,0
E00029817,351,345,344,1,1,0,0,0,0,0,1,4,1,0,0,98.29059829059828,98.00569800569801,0.2849002849002849,0.2849002849002849,0,0,0,0,0,0.2849002849002849,1.1396011396011396,0.2849002849002849,0,0
E00029824,317,308,294,14,10,4,0,0,0,0,3,6,0,0,0,97.16088328075709,92.74447949526814,4.416403785488959,3.1545741324921135,1.2618296529968454,0,0,0,0,0.9463722397476341,1.8927444794952681,0,0,0
E00029807,275,273,268,5,3,2,0,0,0,0,0,1,1,0,0,99.27272727272727,97.45454545454545,1.8181818181818181,1.090909090909091,0.7272727272727273,0,0,0,0,0,0.36363636363636365,0.36363636363636365,0,0
E00029821,106,103,102,1,1,0,0,0,0,0,0,1,2,0,0,97.16981132075472,96.22641509433963,0.9433962264150944,0.9433962264150944,0,0,0,0,0,0,0.9433962264150944,1.8867924528301887,0,0
E00029826,275,258,245,13,9,4,0,0,0,0,7,9,1,0,0,93.81818181818183,89.0909090909091,4.7272727272727275,3.272727272727273,1.4545454545454546,0,0,0,0,2.5454545454545454,3.272727272727273,0.36363636363636365,0,0
E00029828,315,292,275,15,9,5,1,0,2,2,0,22,1,0,0,92.6984126984127,87.3015873015873,4.761904761904762,2.857142857142857,1.5873015873015872,0.31746031746031744,0,0.6349206349206349,0.6349206349206349,0,6.984126984126984,0.31746031746031744,0,0
E00029834,239,225,213,11,7,1,3,0,1,1,5,9,0,0,0,94.14225941422593,89.1213389121339,4.602510460251046,2.928870292887029,0.41841004184100417,1.2552301255230125,0,0.41841004184100417,0.41841004184100417,2.092050209205021,3.765690376569038,0,0,0
E00029835,214,204,194,10,10,0,0,0,0,0,3,0,4,3,0,95.32710280373831,90.65420560747664,4.672897196261682,4.672897196261682,0,0,0,0,0,1.4018691588785046,0,1.8691588785046727,1.4018691588785046,0
E00029808,365,361,346,14,9,4,0,1,1,1,0,4,0,0,0,98.9041095890411,94.79452054794521,3.8356164383561646,2.4657534246575343,1.095890410958904,0,0.273972602739726,0.273972602739726,0.273972602739726,0,1.095890410958904,0,0,0
E00029829,301,300,296,4,4,0,0,0,0,0,0,0,1,0,0,99.66777408637874,98.33887043189368,1.3289036544850499,1.3289036544850499,0,0,0,0,0,0,0,0.33222591362126247,0,0
E00029833,251,239,225,14,10,3,0,1,0,0,4,6,2,0,0,95.2191235059761,89.64143426294821,5.577689243027888,3.9840637450199203,1.1952191235059761,0,0.398406374501992,0,0,1.593625498007968,2.3904382470119523,0.796812749003984,0,0
E00029840,303,300,289,11,8,3,0,0,0,0,0,0,2,1,0,99.00990099009901,95.37953795379538,3.6303630363036308,2.6402640264026402,0.9900990099009901,0,0,0,0,0,0,0.6600660066006601,0.33003300330033003,0
E00029831,253,234,221,13,6,7,0,0,0,0,5,12,0,2,0,92.4901185770751,87.35177865612648,5.138339920948617,2.371541501976284,2.766798418972332,0,0,0,0,1.9762845849802373,4.743083003952568,0,0.7905138339920948,0
E00029837,275,260,254,6,6,0,0,0,0,0,1,13,0,1,0,94.54545454545455,92.36363636363636,2.181818181818182,2.181818181818182,0,0,0,0,0,0.36363636363636365,4.7272727272727275,0,0.36363636363636365,0
E00029838,308,295,282,13,6,2,5,0,0,0,4,4,5,0,0,95.77922077922078,91.55844155844156,4.220779220779221,1.948051948051948,0.6493506493506493,1.6233766233766231,0,0,0,1.2987012987012987,1.2987012987012987,1.6233766233766231,0,0
E00029842,246,239,233,6,6,0,0,0,0,0,1,1,0,5,0,97.15447154471545,94.71544715447155,2.4390243902439024,2.4390243902439024,0,0,0,0,0,0.40650406504065045,0.40650406504065045,0,2.0325203252032518,0
E00029844,284,275,266,9,8,1,0,0,0,0,2,7,0,0,0,96.83098591549296,93.66197183098592,3.169014084507042,2.8169014084507045,0.35211267605633806,0,0,0,0,0.7042253521126761,2.464788732394366,0,0,0
E00029812,246,239,227,10,7,2,0,1,2,2,0,6,1,0,0,97.15447154471545,92.27642276422763,4.0650406504065035,2.8455284552845526,0.8130081300813009,0,0.40650406504065045,0.8130081300813009,0.8130081300813009,0,2.4390243902439024,0.40650406504065045,0,0
E00029813,289,278,270,6,4,2,0,0,2,2,1,10,0,0,0,96.19377162629758,93.42560553633218,2.0761245674740483,1.384083044982699,0.6920415224913495,0,0,0.6920415224913495,0.6920415224913495,0.34602076124567477,3.4602076124567476,0,0,0
E00029818,336,296,277,14,9,3,2,0,5,5,11,29,0,0,0,88.09523809523809,82.44047619047619,4.166666666666666,2.6785714285714284,0.8928571428571428,0.5952380952380952,0,1.488095238095238,1.488095238095238,3.273809523809524,8.630952380952381,0,0,0
E00029819,433,384,356,23,11,12,0,0,5,5,8,32,9,0,0,88.68360277136259,82.21709006928405,5.311778290993072,2.5404157043879905,2.771362586605081,0,0,1.1547344110854503,1.1547344110854503,1.8475750577367205,7.390300230946882,2.0785219399538106,0,0
E00029820,429,385,377,8,5,3,0,0,0,0,10,34,0,0,0,89.74358974358975,87.87878787878788,1.8648018648018647,1.1655011655011656,0.6993006993006993,0,0,0,0,2.331002331002331,7.925407925407925,0,0,0
E00029822,245,222,219,3,3,0,0,0,0,0,5,15,3,0,0,90.61224489795919,89.38775510204081,1.2244897959183674,1.2244897959183674,0,0,0,0,0,2.0408163265306123,6.122448979591836,1.2244897959183674,0,0
E00029825,403,347,331,16,12,0,4,0,0,0,4,46,6,0,0,86.10421836228288,82.13399503722084,3.970223325062035,2.977667493796526,0,0.9925558312655087,0,0,0,0.9925558312655087,11.41439205955335,1.488833746898263,0,0
E00029827,350,332,312,18,16,0,2,0,2,2,0,13,4,1,0,94.85714285714286,89.14285714285714,5.142857142857142,4.571428571428571,0,0.5714285714285714,0,0.5714285714285714,0.5714285714285714,0,3.7142857142857144,1.1428571428571428,0.2857142857142857,0
E00029830,358,322,304,15,1,14,0,0,3,3,7,28,1,0,0,89.94413407821229,84.91620111731844,4.189944134078212,0.27932960893854747,3.910614525139665,0,0,0.8379888268156425,0.8379888268156425,1.9553072625698324,7.82122905027933,0.27932960893854747,0,0
E00029832,175,162,149,11,6,0,5,0,2,2,2,10,1,0,0,92.57142857142857,85.14285714285714,6.2857142857142865,3.428571428571429,0,2.857142857142857,0,1.1428571428571428,1.1428571428571428,1.1428571428571428,5.714285714285714,0.5714285714285714,0,0
E00029839,359,339,320,14,14,0,0,0,5,5,10,9,0,1,0,94.42896935933148,89.13649025069638,3.8997214484679668,3.8997214484679668,0,0,0,1.392757660167131,1.392757660167131,2.785515320334262,2.5069637883008355,0,0.2785515320334262,0
E00029841,304,288,286,2,2,0,0,0,0,0,5,8,3,0,0,94.73684210526315,94.07894736842105,0.6578947368421052,0.6578947368421052,0,0,0,0,0,1.644736842105263,2.631578947368421,0.9868421052631579,0,0
E00029843,302,293,281,11,11,0,0,0,1,1,3,5,1,0,0,97.01986754966887,93.04635761589404,3.642384105960265,3.642384105960265,0,0,0,0.33112582781456956,0.33112582781456956,0.9933774834437087,1.6556291390728477,0.33112582781456956,0,0
E00029845,288,272,257,13,0,6,7,0,2,2,2,13,1,0,0,94.44444444444444,89.23611111111111,4.513888888888888,0,2.083333333333333,2.430555555555556,0,0.6944444444444444,0.6944444444444444,0.6944444444444444,4.513888888888888,0.3472222222222222,0,0
E00168628,260,254,242,12,9,3,0,0,0,0,6,0,0,0,0,97.6923076923077,93.07692307692308,4.615384615384616,3.4615384615384617,1.153846153846154,0,0,0,0,2.307692307692308,0,0,0,0
E00177694,312,291,277,11,6,5,0,0,3,3,6,9,5,0,1,93.26923076923077,88.78205128205127,3.5256410256410255,1.9230769230769231,1.6025641025641024,0,0,0.9615384615384616,0.9615384615384616,1.9230769230769231,2.8846153846153846,1.6025641025641024,0,0.3205128205128205
E00177702,255,243,230,11,7,2,2,0,2,2,5,5,0,2,0,95.29411764705881,90.19607843137256,4.313725490196078,2.7450980392156863,0.7843137254901961,0.7843137254901961,0,0.7843137254901961,0.7843137254901961,1.9607843137254901,1.9607843137254901,0,0.7843137254901961,0
E00177715,108,106,97,7,7,0,0,0,2,2,0,0,2,0,0,98.14814814814815,89.81481481481481,6.481481481481481,6.481481481481481,0,0,0,1.8518518518518516,1.8518518518518516,0,0,1.8518518518518516,0,0
E00029854,252,234,224,8,4,4,0,0,2,2,8,9,0,1,0,92.85714285714286,88.88888888888889,3.1746031746031744,1.5873015873015872,1.5873015873015872,0,0,0.7936507936507936,0.7936507936507936,3.1746031746031744,3.571428571428571,0,0.3968253968253968,0
E00029855,245,223,206,17,13,1,3,0,0,0,3,16,3,0,0,91.02040816326532,84.08163265306122,6.938775510204081,5.3061224489795915,0.40816326530612246,1.2244897959183674,0,0,0,1.2244897959183674,6.530612244897959,1.2244897959183674,0,0
E00029856,202,195,183,12,10,1,0,1,0,0,4,2,0,1,0,96.53465346534654,90.5940594059406,5.9405940594059405,4.9504950495049505,0.49504950495049505,0,0.49504950495049505,0,0,1.9801980198019802,0.9900990099009901,0,0.49504950495049505,0
E00029857,204,201,200,1,1,0,0,0,0,0,2,1,0,0,0,98.52941176470588,98.0392156862745,0.49019607843137253,0.49019607843137253,0,0,0,0,0,0.9803921568627451,0.49019607843137253,0,0,0
E00029858,446,421,397,19,13,3,3,0,5,5,6,19,0,0,0,94.39461883408072,89.01345291479821,4.260089686098654,2.914798206278027,0.672645739910314,0.672645739910314,0,1.1210762331838564,1.1210762331838564,1.345291479820628,4.260089686098654,0,0,0
E00029859,313,292,272,20,6,12,2,0,0,0,7,13,1,0,0,93.29073482428115,86.90095846645367,6.3897763578274756,1.9169329073482428,3.8338658146964857,0.6389776357827476,0,0,0,2.2364217252396164,4.15335463258786,0.3194888178913738,0,0
E00029957,356,312,297,15,11,4,0,0,0,0,8,32,4,0,0,87.64044943820225,83.42696629213484,4.213483146067416,3.089887640449438,1.1235955056179776,0,0,0,0,2.247191011235955,8.98876404494382,1.1235955056179776,0,0
E00029977,271,267,256,7,7,0,0,0,4,4,3,0,1,0,0,98.5239852398524,94.4649446494465,2.5830258302583027,2.5830258302583027,0,0,0,1.4760147601476015,1.4760147601476015,1.107011070110701,0,0.36900369003690037,0,0
E00029978,336,321,305,15,10,5,0,0,1,1,1,6,7,1,0,95.53571428571429,90.77380952380952,4.464285714285714,2.976190476190476,1.488095238095238,0,0,0.2976190476190476,0.2976190476190476,0.2976190476190476,1.7857142857142856,2.083333333333333,0.2976190476190476,0
E00029979,304,275,261,10,7,2,1,0,4,4,0,24,5,0,0,90.46052631578947,85.85526315789474,3.289473684210526,2.302631578947368,0.6578947368421052,0.3289473684210526,0,1.3157894736842104,1.3157894736842104,0,7.894736842105263,1.644736842105263,0,0
E00029981,271,251,245,5,2,3,0,0,1,1,1,18,1,0,0,92.619926199262,90.40590405904058,1.8450184501845017,0.7380073800738007,1.107011070110701,0,0,0.36900369003690037,0.36900369003690037,0.36900369003690037,6.642066420664207,0.36900369003690037,0,0
E00029705,321,304,284,19,18,1,0,0,1,1,1,15,0,1,0,94.70404984423676,88.47352024922118,5.919003115264798,5.607476635514018,0.3115264797507788,0,0,0.3115264797507788,0.3115264797507788,0.3115264797507788,4.672897196261682,0,0.3115264797507788,0
E00029708,330,317,301,15,12,0,0,3,1,1,4,8,1,0,0,96.06060606060606,91.21212121212122,4.545454545454546,3.6363636363636362,0,0,0.9090909090909091,0.30303030303030304,0.30303030303030304,1.2121212121212122,2.4242424242424243,0.30303030303030304,0,0
E00029711,334,326,322,4,4,0,0,0,0,0,0,5,2,1,0,97.60479041916167,96.40718562874252,1.1976047904191618,1.1976047904191618,0,0,0,0,0,0,1.4970059880239521,0.5988023952095809,0.29940119760479045,0
E00029715,229,218,214,4,4,0,0,0,0,0,0,8,3,0,0,95.19650655021834,93.44978165938865,1.7467248908296942,1.7467248908296942,0,0,0,0,0,0,3.4934497816593884,1.3100436681222707,0,0
