OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
W00008044,150,75,0,1,0,0,1,65,2,0,3,3,50,0,0.6666666666666667,0,0,0.6666666666666667,43.333333333333336,1.3333333333333335,0,2,2
W00008045,169,70,0,0,0,1,1,91,1,0,2,3,41.42011834319527,0,0,0,0.591715976331361,0.591715976331361,53.84615384615385,0.591715976331361,0,1.183431952662722,1.7751479289940828
W00008046,163,83,0,2,0,0,0,67,5,1,1,4,50.920245398773,0,1.2269938650306749,0,0,0,41.104294478527606,3.067484662576687,0.6134969325153374,0.6134969325153374,2.4539877300613497
W00008047,177,86,0,1,0,0,0,82,2,0,5,1,48.58757062146893,0,0.5649717514124294,0,0,0,46.32768361581921,1.1299435028248588,0,2.824858757062147,0.5649717514124294
W00008049,183,57,0,1,1,0,2,91,6,1,23,1,31.147540983606557,0,0.546448087431694,0.546448087431694,0,1.092896174863388,49.72677595628415,3.278688524590164,0.546448087431694,12.568306010928962,0.546448087431694
W00008050,50,19,0,0,0,0,0,28,0,1,2,0,38,0,0,0,0,0,56.00000000000001,0,2,4,0
W00008051,147,45,0,0,0,2,0,82,9,1,7,1,30.612244897959183,0,0,0,1.3605442176870748,0,55.78231292517006,6.122448979591836,0.6802721088435374,4.761904761904762,0.6802721088435374
W00008052,131,32,3,0,1,1,2,75,9,0,7,1,24.427480916030532,2.2900763358778624,0,0.7633587786259541,0.7633587786259541,1.5267175572519083,57.25190839694656,6.870229007633588,0,5.343511450381679,0.7633587786259541
W00008053,135,30,0,2,0,1,0,88,2,0,12,0,22.22222222222222,0,1.4814814814814816,0,0.7407407407407408,0,65.18518518518519,1.4814814814814816,0,8.88888888888889,0
W00008055,119,44,0,0,0,0,0,64,0,0,8,3,36.97478991596639,0,0,0,0,0,53.78151260504202,0,0,6.722689075630252,2.5210084033613445
W00008056,73,22,0,0,0,0,0,42,1,2,5,1,30.136986301369863,0,0,0,0,0,57.534246575342465,1.36986301369863,2.73972602739726,6.8493150684931505,1.36986301369863
W00008057,137,61,0,0,0,0,0,67,1,2,6,0,44.52554744525548,0,0,0,0,0,48.9051094890511,0.7299270072992701,1.4598540145985401,4.37956204379562,0
W00008058,95,18,0,0,1,1,0,48,5,1,17,4,18.947368421052634,0,0,1.0526315789473684,1.0526315789473684,0,50.526315789473685,5.263157894736842,1.0526315789473684,17.894736842105264,4.2105263157894735
W00008059,152,16,0,1,2,5,1,87,13,0,27,0,10.526315789473683,0,0.6578947368421052,1.3157894736842104,3.289473684210526,0.6578947368421052,57.23684210526315,8.552631578947368,0,17.763157894736842,0
W00008060,95,37,0,2,0,0,1,43,1,0,10,1,38.94736842105263,0,2.1052631578947367,0,0,1.0526315789473684,45.26315789473684,1.0526315789473684,0,10.526315789473683,1.0526315789473684
