OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
W00004706,183,39,0,1,4,1,0,122,3,3,9,1,21.311475409836063,0,0.546448087431694,2.185792349726776,0.546448087431694,0,66.66666666666666,1.639344262295082,1.639344262295082,4.918032786885246,0.546448087431694
W00004707,144,21,0,1,1,1,2,83,11,3,17,4,14.583333333333334,0,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.3888888888888888,57.638888888888886,7.638888888888889,2.083333333333333,11.805555555555555,2.7777777777777777
W00004709,106,14,0,5,0,1,0,70,5,4,7,0,13.20754716981132,0,4.716981132075472,0,0.9433962264150944,0,66.0377358490566,4.716981132075472,3.7735849056603774,6.60377358490566,0
W00004710,137,15,0,2,0,0,0,92,11,7,9,1,10.948905109489052,0,1.4598540145985401,0,0,0,67.15328467153284,8.02919708029197,5.109489051094891,6.569343065693431,0.7299270072992701
W00004711,139,19,0,5,4,2,0,69,6,12,22,0,13.66906474820144,0,3.5971223021582732,2.877697841726619,1.4388489208633095,0,49.64028776978417,4.316546762589928,8.633093525179856,15.827338129496402,0
W00004712,101,16,0,0,2,2,1,62,5,3,10,0,15.841584158415841,0,0,1.9801980198019802,1.9801980198019802,0.9900990099009901,61.386138613861384,4.9504950495049505,2.9702970297029703,9.900990099009901,0
W00004713,102,14,0,4,4,0,0,49,12,2,17,0,13.725490196078432,0,3.9215686274509802,3.9215686274509802,0,0,48.03921568627451,11.76470588235294,1.9607843137254901,16.666666666666664,0
W00004714,144,21,0,3,2,3,1,77,13,5,19,0,14.583333333333334,0,2.083333333333333,1.3888888888888888,2.083333333333333,0.6944444444444444,53.47222222222222,9.027777777777777,3.4722222222222223,13.194444444444445,0
W00004715,115,13,0,1,3,0,0,59,16,4,16,3,11.304347826086957,0,0.8695652173913043,2.608695652173913,0,0,51.30434782608696,13.91304347826087,3.4782608695652173,13.91304347826087,2.608695652173913
W00004716,63,16,0,2,1,0,0,33,3,1,7,0,25.396825396825395,0,3.1746031746031744,1.5873015873015872,0,0,52.38095238095239,4.761904761904762,1.5873015873015872,11.11111111111111,0
W00004717,118,22,0,4,1,0,4,54,14,2,16,1,18.64406779661017,0,3.389830508474576,0.847457627118644,0,3.389830508474576,45.76271186440678,11.864406779661017,1.694915254237288,13.559322033898304,0.847457627118644
W00004718,85,10,0,5,4,0,2,43,8,2,11,0,11.76470588235294,0,5.88235294117647,4.705882352941177,0,2.3529411764705883,50.588235294117645,9.411764705882353,2.3529411764705883,12.941176470588237,0
W00004719,123,18,0,1,2,0,3,71,10,1,16,1,14.634146341463413,0,0.8130081300813009,1.6260162601626018,0,2.4390243902439024,57.72357723577236,8.130081300813007,0.8130081300813009,13.008130081300814,0.8130081300813009
W00004720,109,20,0,0,0,0,1,85,3,0,0,0,18.34862385321101,0,0,0,0,0.9174311926605505,77.98165137614679,2.7522935779816518,0,0,0
W00004721,109,26,0,2,1,1,0,77,2,0,0,0,23.853211009174313,0,1.834862385321101,0.9174311926605505,0.9174311926605505,0,70.64220183486239,1.834862385321101,0,0,0
W00004722,74,21,0,1,1,0,0,43,2,0,6,0,28.37837837837838,0,1.3513513513513513,1.3513513513513513,0,0,58.108108108108105,2.7027027027027026,0,8.108108108108109,0
W00004723,93,22,0,0,0,0,0,54,6,0,11,0,23.655913978494624,0,0,0,0,0,58.06451612903226,6.451612903225806,0,11.827956989247312,0
W00004724,176,47,0,1,3,0,3,105,11,0,5,1,26.704545454545453,0,0.5681818181818182,1.7045454545454544,0,1.7045454545454544,59.65909090909091,6.25,0,2.840909090909091,0.5681818181818182
W00004725,121,14,0,1,3,0,1,83,14,1,4,0,11.570247933884298,0,0.8264462809917356,2.479338842975207,0,0.8264462809917356,68.59504132231406,11.570247933884298,0.8264462809917356,3.3057851239669422,0
