OA,ts0290001,ts0290002,ts0290003,ts0290004,ts0290005,ts0290006,ts0290007,ts0290002_PCT,ts0290003_PCT,ts0290004_PCT,ts0290005_PCT,ts0290006_PCT,ts0290007_PCT
E00044139,245,244,1,0,0,1,0,99.59183673469387,0.40816326530612246,0,0,0.40816326530612246,0
E00044140,285,283,2,0,2,0,0,99.29824561403508,0.7017543859649122,0,0.7017543859649122,0,0
E00044141,266,259,7,2,3,1,1,97.36842105263158,2.631578947368421,0.7518796992481203,1.1278195488721803,0.37593984962406013,0.37593984962406013
E00044142,276,273,3,1,1,1,0,98.91304347826086,1.0869565217391304,0.36231884057971014,0.36231884057971014,0.36231884057971014,0
E00044143,272,271,1,0,0,1,0,99.63235294117648,0.3676470588235294,0,0,0.3676470588235294,0
E00044144,217,214,3,1,2,0,0,98.61751152073732,1.3824884792626728,0.4608294930875576,0.9216589861751152,0,0
E00044145,319,310,9,0,3,6,0,97.17868338557993,2.8213166144200628,0,0.9404388714733543,1.8808777429467085,0
E00044146,323,322,1,0,1,0,0,99.69040247678018,0.30959752321981426,0,0.30959752321981426,0,0
E00044147,236,235,1,1,0,0,0,99.57627118644068,0.423728813559322,0.423728813559322,0,0,0
E00044148,311,307,4,2,1,1,0,98.71382636655949,1.2861736334405145,0.6430868167202572,0.3215434083601286,0.3215434083601286,0
E00044149,227,221,6,4,0,2,0,97.3568281938326,2.643171806167401,1.762114537444934,0,0.881057268722467,0
E00044150,247,236,11,5,5,0,1,95.54655870445345,4.4534412955465585,2.0242914979757085,2.0242914979757085,0,0.4048582995951417
E00044151,365,360,5,4,1,0,0,98.63013698630137,1.36986301369863,1.095890410958904,0.273972602739726,0,0
E00044152,254,252,2,0,2,0,0,99.21259842519686,0.7874015748031495,0,0.7874015748031495,0,0
E00044153,331,326,5,1,2,0,2,98.48942598187311,1.5105740181268883,0.3021148036253776,0.6042296072507553,0,0.6042296072507553
E00044154,232,227,5,1,2,0,2,97.84482758620689,2.1551724137931036,0.43103448275862066,0.8620689655172413,0,0.8620689655172413
E00044155,184,181,3,1,2,0,0,98.36956521739131,1.6304347826086956,0.5434782608695652,1.0869565217391304,0,0
E00044156,270,266,4,0,4,0,0,98.51851851851852,1.4814814814814816,0,1.4814814814814816,0,0
E00044157,288,284,4,0,4,0,0,98.61111111111111,1.3888888888888888,0,1.3888888888888888,0,0
E00044158,237,230,7,3,2,1,1,97.0464135021097,2.9535864978902953,1.2658227848101267,0.8438818565400843,0.42194092827004215,0.42194092827004215
E00044159,288,288,0,0,0,0,0,100,0,0,0,0,0
E00044160,296,294,2,1,1,0,0,99.32432432432432,0.6756756756756757,0.33783783783783783,0.33783783783783783,0,0
E00044161,280,278,2,1,0,1,0,99.28571428571429,0.7142857142857143,0.35714285714285715,0,0.35714285714285715,0
E00044162,291,286,5,1,2,1,1,98.28178694158075,1.718213058419244,0.3436426116838488,0.6872852233676976,0.3436426116838488,0.3436426116838488
E00044163,246,241,5,2,0,3,0,97.96747967479675,2.0325203252032518,0.8130081300813009,0,1.2195121951219512,0
E00044164,300,300,0,0,0,0,0,100,0,0,0,0,0
E00044165,328,328,0,0,0,0,0,100,0,0,0,0,0
E00044166,235,235,0,0,0,0,0,100,0,0,0,0,0
E00044167,228,224,4,3,0,1,0,98.24561403508771,1.7543859649122806,1.3157894736842104,0,0.43859649122807015,0
E00044168,153,153,0,0,0,0,0,100,0,0,0,0,0
E00044169,263,258,5,0,5,0,0,98.09885931558935,1.9011406844106464,0,1.9011406844106464,0,0
E00044170,259,259,0,0,0,0,0,100,0,0,0,0,0
E00044171,258,250,8,4,2,0,2,96.89922480620154,3.10077519379845,1.550387596899225,0.7751937984496124,0,0.7751937984496124
E00044172,262,261,1,1,0,0,0,99.61832061068702,0.38167938931297707,0.38167938931297707,0,0,0
E00044173,271,263,8,0,6,2,0,97.04797047970479,2.952029520295203,0,2.214022140221402,0.7380073800738007,0
E00044174,180,148,32,22,7,2,1,82.22222222222221,17.77777777777778,12.222222222222221,3.888888888888889,1.1111111111111112,0.5555555555555556
E00044175,291,268,23,6,13,3,1,92.09621993127148,7.903780068728522,2.0618556701030926,4.4673539518900345,1.0309278350515463,0.3436426116838488
E00044176,171,169,2,1,1,0,0,98.83040935672514,1.1695906432748537,0.5847953216374269,0.5847953216374269,0,0
E00044177,327,306,21,14,7,0,0,93.57798165137615,6.422018348623854,4.281345565749235,2.1406727828746175,0,0
E00044178,258,255,3,1,2,0,0,98.83720930232558,1.1627906976744187,0.3875968992248062,0.7751937984496124,0,0
E00044179,144,136,8,4,4,0,0,94.44444444444444,5.555555555555555,2.7777777777777777,2.7777777777777777,0,0
E00044180,220,214,6,2,3,1,0,97.27272727272728,2.727272727272727,0.9090909090909091,1.3636363636363635,0.45454545454545453,0
E00044181,195,185,10,3,2,2,3,94.87179487179486,5.128205128205128,1.5384615384615385,1.0256410256410255,1.0256410256410255,1.5384615384615385
E00044182,244,240,4,1,2,1,0,98.36065573770492,1.639344262295082,0.4098360655737705,0.819672131147541,0.4098360655737705,0
E00044183,230,223,7,4,3,0,0,96.95652173913044,3.0434782608695654,1.7391304347826086,1.3043478260869565,0,0
E00044185,300,273,27,16,7,4,0,91,9,5.333333333333334,2.3333333333333335,1.3333333333333335,0
E00044187,267,244,23,12,7,3,1,91.38576779026218,8.614232209737828,4.49438202247191,2.6217228464419478,1.1235955056179776,0.37453183520599254
E00044188,225,216,9,8,0,1,0,96,4,3.5555555555555554,0,0.4444444444444444,0
E00044189,263,235,28,16,6,4,2,89.35361216730038,10.646387832699618,6.083650190114068,2.2813688212927756,1.520912547528517,0.7604562737642585
E00044190,269,229,40,26,12,2,0,85.13011152416357,14.869888475836431,9.66542750929368,4.4609665427509295,0.7434944237918215,0
E00044191,509,412,97,53,37,6,1,80.94302554027504,19.05697445972495,10.412573673870334,7.269155206286837,1.1787819253438114,0.19646365422396855
E00044193,277,254,23,4,8,11,0,91.69675090252709,8.303249097472925,1.444043321299639,2.888086642599278,3.9711191335740073,0
E00044194,218,193,25,13,10,1,1,88.53211009174312,11.46788990825688,5.963302752293578,4.587155963302752,0.45871559633027525,0.45871559633027525
E00044195,120,114,6,0,3,1,2,95,5,0,2.5,0.8333333333333334,1.6666666666666667
E00044196,254,228,26,14,8,4,0,89.76377952755905,10.236220472440944,5.511811023622047,3.149606299212598,1.574803149606299,0
E00044197,231,220,11,6,3,2,0,95.23809523809523,4.761904761904762,2.5974025974025974,1.2987012987012987,0.8658008658008658,0
E00044198,261,214,47,26,14,6,1,81.99233716475096,18.007662835249043,9.961685823754788,5.363984674329502,2.2988505747126435,0.38314176245210724
E00044199,330,323,7,3,2,1,1,97.87878787878788,2.1212121212121215,0.9090909090909091,0.6060606060606061,0.30303030303030304,0.30303030303030304
E00044200,409,301,108,70,31,5,2,73.59413202933986,26.405867970660147,17.114914425427873,7.579462102689487,1.2224938875305624,0.4889975550122249
E00044201,334,279,55,15,25,12,3,83.53293413173652,16.46706586826347,4.491017964071856,7.48502994011976,3.592814371257485,0.8982035928143712
E00044202,285,252,33,17,10,4,2,88.42105263157895,11.578947368421053,5.964912280701754,3.508771929824561,1.4035087719298245,0.7017543859649122
E00044203,233,202,31,10,15,5,1,86.69527896995707,13.304721030042918,4.291845493562231,6.437768240343347,2.1459227467811157,0.4291845493562232
