OA,ts0160001,ts0160002,ts0160003,ts0160004,ts0160005,ts0160006,ts0160002_PCT,ts0160003_PCT,ts0160004_PCT,ts0160005_PCT,ts0160006_PCT
E00043640,235,216,10,4,3,2,91.91489361702128,4.25531914893617,1.702127659574468,1.276595744680851,0.851063829787234
E00043641,264,256,1,1,3,3,96.96969696969697,0.3787878787878788,0.3787878787878788,1.1363636363636365,1.1363636363636365
E00043657,324,314,8,2,0,0,96.91358024691358,2.4691358024691357,0.6172839506172839,0,0
E00043658,321,300,13,1,7,0,93.45794392523365,4.049844236760125,0.3115264797507788,2.1806853582554515,0
E00043659,265,245,13,1,6,0,92.45283018867924,4.905660377358491,0.37735849056603776,2.2641509433962264,0
E00043648,315,200,66,15,24,10,63.49206349206349,20.952380952380953,4.761904761904762,7.6190476190476195,3.1746031746031744
E00043649,284,225,41,6,3,9,79.22535211267606,14.43661971830986,2.112676056338028,1.056338028169014,3.169014084507042
E00043651,228,161,34,7,15,11,70.6140350877193,14.912280701754385,3.070175438596491,6.578947368421052,4.824561403508771
E00043653,343,208,73,24,27,11,60.64139941690962,21.282798833819243,6.997084548104956,7.871720116618077,3.206997084548105
E00043654,245,203,22,2,7,11,82.85714285714286,8.979591836734693,0.8163265306122449,2.857142857142857,4.489795918367347
E00043650,253,223,18,3,5,4,88.14229249011858,7.114624505928854,1.185770750988142,1.9762845849802373,1.5810276679841897
E00043652,220,204,7,7,0,2,92.72727272727272,3.1818181818181817,3.1818181818181817,0,0.9090909090909091
E00043655,236,222,10,1,0,3,94.0677966101695,4.23728813559322,0.423728813559322,0,1.2711864406779663
E00043656,229,214,7,2,6,0,93.44978165938865,3.056768558951965,0.8733624454148471,2.6200873362445414,0
E00170190,304,300,4,0,0,0,98.68421052631578,1.3157894736842104,0,0,0
E00170191,289,275,9,5,0,0,95.15570934256056,3.1141868512110724,1.7301038062283738,0,0
E00170192,229,218,7,3,1,0,95.19650655021834,3.056768558951965,1.3100436681222707,0.43668122270742354,0
E00170194,309,285,16,1,3,4,92.23300970873787,5.177993527508091,0.3236245954692557,0.9708737864077669,1.2944983818770228
E00170195,268,255,8,3,2,0,95.1492537313433,2.9850746268656714,1.1194029850746268,0.7462686567164178,0
E00043637,296,246,37,6,4,3,83.1081081081081,12.5,2.027027027027027,1.3513513513513513,1.0135135135135136
E00043638,329,272,45,2,5,5,82.67477203647417,13.677811550151976,0.60790273556231,1.5197568389057752,1.5197568389057752
E00043643,233,198,26,3,3,3,84.97854077253218,11.158798283261802,1.2875536480686696,1.2875536480686696,1.2875536480686696
E00043645,282,234,26,1,2,19,82.97872340425532,9.219858156028367,0.3546099290780142,0.7092198581560284,6.73758865248227
E00043661,331,285,33,0,3,10,86.10271903323263,9.969788519637463,0,0.906344410876133,3.0211480362537766
E00043642,332,289,32,5,3,3,87.04819277108435,9.63855421686747,1.5060240963855422,0.9036144578313252,0.9036144578313252
E00043644,163,160,3,0,0,0,98.15950920245399,1.8404907975460123,0,0,0
E00043646,264,184,49,5,18,8,69.6969696969697,18.560606060606062,1.893939393939394,6.8181818181818175,3.0303030303030303
E00043647,222,188,21,6,3,4,84.68468468468468,9.45945945945946,2.7027027027027026,1.3513513513513513,1.8018018018018018
E00043660,208,198,4,2,3,1,95.1923076923077,1.9230769230769231,0.9615384615384616,1.4423076923076923,0.4807692307692308
E00043662,253,229,15,0,6,3,90.51383399209486,5.928853754940711,0,2.371541501976284,1.185770750988142
E00043984,346,321,15,3,0,7,92.77456647398844,4.335260115606936,0.8670520231213872,0,2.023121387283237
E00043985,269,208,37,7,6,11,77.32342007434944,13.754646840148698,2.6022304832713754,2.2304832713754648,4.089219330855019
E00043990,181,145,17,2,17,0,80.11049723756905,9.392265193370166,1.1049723756906076,9.392265193370166,0
E00043996,212,170,18,4,6,14,80.18867924528303,8.49056603773585,1.8867924528301887,2.8301886792452833,6.60377358490566
E00043997,204,173,19,0,4,8,84.80392156862744,9.313725490196079,0,1.9607843137254901,3.9215686274509802
E00043986,189,158,13,5,2,11,83.5978835978836,6.878306878306878,2.6455026455026456,1.0582010582010581,5.82010582010582
E00043995,239,229,7,1,1,1,95.81589958158996,2.928870292887029,0.41841004184100417,0.41841004184100417,0.41841004184100417
E00043998,208,171,14,4,4,15,82.21153846153845,6.730769230769231,1.9230769230769231,1.9230769230769231,7.211538461538461
E00043999,188,175,5,3,1,4,93.08510638297872,2.6595744680851063,1.5957446808510638,0.5319148936170213,2.127659574468085
E00044001,236,205,14,13,2,2,86.86440677966102,5.932203389830509,5.508474576271186,0.847457627118644,0.847457627118644
E00044002,196,181,7,3,2,3,92.3469387755102,3.571428571428571,1.530612244897959,1.0204081632653061,1.530612244897959
E00043988,277,242,27,0,6,2,87.36462093862815,9.747292418772563,0,2.166064981949458,0.7220216606498195
E00043989,235,176,29,21,3,6,74.8936170212766,12.340425531914894,8.936170212765958,1.276595744680851,2.553191489361702
E00044000,200,173,21,3,0,3,86.5,10.5,1.5,0,1.5
E00044009,172,131,25,9,3,4,76.16279069767442,14.534883720930234,5.232558139534884,1.744186046511628,2.3255813953488373
E00044013,212,145,27,13,22,5,68.39622641509435,12.735849056603774,6.132075471698113,10.377358490566039,2.358490566037736
E00182900,176,148,21,2,2,3,84.0909090909091,11.931818181818182,1.1363636363636365,1.1363636363636365,1.7045454545454544
E00182911,196,187,4,5,0,0,95.40816326530613,2.0408163265306123,2.5510204081632653,0,0
E00182915,376,346,19,4,6,1,92.02127659574468,5.053191489361701,1.0638297872340425,1.5957446808510638,0.26595744680851063
E00044003,332,308,11,6,5,2,92.7710843373494,3.313253012048193,1.8072289156626504,1.5060240963855422,0.6024096385542169
E00044004,178,168,8,0,2,0,94.3820224719101,4.49438202247191,0,1.1235955056179776,0
E00044005,340,325,6,4,1,4,95.58823529411765,1.7647058823529411,1.1764705882352942,0.29411764705882354,1.1764705882352942
E00044007,230,182,23,16,4,5,79.13043478260869,10,6.956521739130435,1.7391304347826086,2.1739130434782608
E00044010,271,216,30,8,8,9,79.70479704797047,11.07011070110701,2.952029520295203,2.952029520295203,3.3210332103321036
E00170196,353,328,14,3,6,2,92.91784702549575,3.9660056657223794,0.84985835694051,1.69971671388102,0.56657223796034
E00043987,198,176,13,2,3,4,88.88888888888889,6.565656565656567,1.0101010101010102,1.5151515151515151,2.0202020202020203
E00043991,209,203,3,1,0,2,97.1291866028708,1.4354066985645932,0.4784688995215311,0,0.9569377990430622
E00043992,193,179,11,2,1,0,92.74611398963731,5.699481865284974,1.0362694300518136,0.5181347150259068,0
E00043993,215,178,11,3,7,16,82.7906976744186,5.116279069767442,1.3953488372093024,3.255813953488372,7.441860465116279
E00044008,283,218,50,12,2,1,77.03180212014135,17.6678445229682,4.240282685512367,0.7067137809187279,0.35335689045936397
E00044011,300,269,27,4,0,0,89.66666666666666,9,1.3333333333333335,0,0
E00044039,363,362,0,0,1,0,99.72451790633609,0,0,0.27548209366391185,0
E00044040,249,241,4,4,0,0,96.78714859437751,1.6064257028112447,1.6064257028112447,0,0
E00044044,276,259,13,3,0,1,93.84057971014492,4.710144927536232,1.0869565217391304,0,0.36231884057971014
E00044050,245,239,4,1,0,1,97.55102040816327,1.6326530612244898,0.40816326530612246,0,0.40816326530612246
E00044036,209,200,6,2,1,0,95.69377990430623,2.8708133971291865,0.9569377990430622,0.4784688995215311,0
E00044054,201,188,8,5,0,0,93.53233830845771,3.9800995024875623,2.4875621890547266,0,0
E00044055,207,193,5,2,0,7,93.23671497584542,2.4154589371980677,0.966183574879227,0,3.3816425120772946
E00044056,205,197,2,0,2,4,96.09756097560975,0.975609756097561,0,0.975609756097561,1.951219512195122
E00044058,176,166,5,0,2,3,94.31818181818183,2.840909090909091,0,1.1363636363636365,1.7045454545454544
E00044062,235,219,10,2,3,1,93.19148936170212,4.25531914893617,0.851063829787234,1.276595744680851,0.425531914893617
E00044037,243,236,6,0,0,1,97.11934156378601,2.4691358024691357,0,0,0.411522633744856
E00044057,267,256,6,3,0,2,95.88014981273409,2.247191011235955,1.1235955056179776,0,0.7490636704119851
E00044060,344,326,16,0,0,2,94.76744186046511,4.651162790697675,0,0,0.5813953488372093
E00044063,315,289,20,0,1,5,91.74603174603175,6.349206349206349,0,0.31746031746031744,1.5873015873015872
E00044041,309,302,6,1,0,0,97.73462783171522,1.9417475728155338,0.3236245954692557,0,0
E00044042,305,286,6,2,5,6,93.77049180327869,1.9672131147540985,0.6557377049180327,1.639344262295082,1.9672131147540985
E00044043,237,221,8,1,2,5,93.24894514767934,3.375527426160337,0.42194092827004215,0.8438818565400843,2.109704641350211
E00044059,208,200,3,1,1,3,96.15384615384616,1.4423076923076923,0.4807692307692308,0.4807692307692308,1.4423076923076923
E00044061,243,242,1,0,0,0,99.58847736625515,0.411522633744856,0,0,0
E00044038,242,228,10,4,0,0,94.21487603305785,4.132231404958678,1.6528925619834711,0,0
E00044045,264,253,1,2,6,2,95.83333333333334,0.3787878787878788,0.7575757575757576,2.272727272727273,0.7575757575757576
E00044046,202,186,9,4,3,0,92.07920792079209,4.455445544554455,1.9801980198019802,1.4851485148514851,0
E00044047,212,205,5,0,2,0,96.69811320754717,2.358490566037736,0,0.9433962264150944,0
E00044049,188,180,2,0,0,6,95.74468085106383,1.0638297872340425,0,0,3.1914893617021276
E00043901,321,317,3,0,1,0,98.75389408099689,0.9345794392523363,0,0.3115264797507788,0
E00043908,228,220,7,0,0,1,96.49122807017544,3.070175438596491,0,0,0.43859649122807015
E00043909,306,298,5,0,0,3,97.38562091503267,1.6339869281045754,0,0,0.9803921568627451
