OA,ts0200001,ts0200002,ts0200003,ts0200002_PCT,ts0200003_PCT
E00044587,0,0,0,NA,NA
E00044602,0,0,0,NA,NA
E00044611,0,0,0,NA,NA
E00044856,0,0,0,NA,NA
E00044858,2,0,2,0,100
E00044860,2,2,0,100,0
E00044862,1,0,1,0,100
E00044810,0,0,0,NA,NA
E00044816,0,0,0,NA,NA
E00044819,0,0,0,NA,NA
E00044822,0,0,0,NA,NA
E00044827,0,0,0,NA,NA
E00044821,0,0,0,NA,NA
E00044823,0,0,0,NA,NA
E00044824,0,0,0,NA,NA
E00044825,0,0,0,NA,NA
E00044826,0,0,0,NA,NA
E00044799,0,0,0,NA,NA
E00044801,0,0,0,NA,NA
E00044802,0,0,0,NA,NA
E00044828,0,0,0,NA,NA
E00044830,0,0,0,NA,NA
E00044831,0,0,0,NA,NA
E00044800,0,0,0,NA,NA
E00044803,0,0,0,NA,NA
E00044804,0,0,0,NA,NA
E00044829,0,0,0,NA,NA
E00044832,0,0,0,NA,NA
E00044811,0,0,0,NA,NA
E00044812,0,0,0,NA,NA
E00044813,0,0,0,NA,NA
E00044817,0,0,0,NA,NA
E00044798,0,0,0,NA,NA
E00044805,0,0,0,NA,NA
E00044806,0,0,0,NA,NA
E00044808,0,0,0,NA,NA
E00044815,0,0,0,NA,NA
E00044807,0,0,0,NA,NA
E00044809,0,0,0,NA,NA
E00044814,0,0,0,NA,NA
E00044818,0,0,0,NA,NA
E00044820,0,0,0,NA,NA
E00044363,0,0,0,NA,NA
E00044364,0,0,0,NA,NA
E00044365,0,0,0,NA,NA
E00044367,0,0,0,NA,NA
E00044368,0,0,0,NA,NA
E00044354,0,0,0,NA,NA
E00044369,0,0,0,NA,NA
E00044370,0,0,0,NA,NA
E00044371,0,0,0,NA,NA
E00044372,0,0,0,NA,NA
E00044585,0,0,0,NA,NA
E00044589,0,0,0,NA,NA
E00044590,0,0,0,NA,NA
E00044593,0,0,0,NA,NA
E00044596,0,0,0,NA,NA
E00044578,0,0,0,NA,NA
E00044592,0,0,0,NA,NA
E00044594,0,0,0,NA,NA
E00044595,0,0,0,NA,NA
E00182871,0,0,0,NA,NA
E00182909,0,0,0,NA,NA
E00044683,0,0,0,NA,NA
E00044684,0,0,0,NA,NA
E00044687,0,0,0,NA,NA
E00170216,0,0,0,NA,NA
E00170217,0,0,0,NA,NA
E00045017,0,0,0,NA,NA
E00045018,0,0,0,NA,NA
E00045020,0,0,0,NA,NA
E00045022,0,0,0,NA,NA
E00045026,0,0,0,NA,NA
E00045009,0,0,0,NA,NA
E00045016,0,0,0,NA,NA
E00045019,0,0,0,NA,NA
E00045021,0,0,0,NA,NA
E00045025,0,0,0,NA,NA
E00045029,0,0,0,NA,NA
E00045035,0,0,0,NA,NA
E00045037,0,0,0,NA,NA
E00045038,0,0,0,NA,NA
E00045032,0,0,0,NA,NA
E00045036,0,0,0,NA,NA
E00045039,0,0,0,NA,NA
E00045040,1,1,0,100,0
E00045013,0,0,0,NA,NA
E00045024,0,0,0,NA,NA
E00045027,0,0,0,NA,NA
E00045028,0,0,0,NA,NA
E00045034,0,0,0,NA,NA
E00045015,0,0,0,NA,NA
E00045023,0,0,0,NA,NA
E00045030,0,0,0,NA,NA
E00045031,0,0,0,NA,NA
E00045033,0,0,0,NA,NA
E00044543,0,0,0,NA,NA
E00044549,0,0,0,NA,NA
E00044550,0,0,0,NA,NA
E00044576,1,1,0,100,0
E00044577,0,0,0,NA,NA
E00044559,0,0,0,NA,NA
E00044560,0,0,0,NA,NA
E00044561,0,0,0,NA,NA
E00044562,0,0,0,NA,NA
E00044545,0,0,0,NA,NA
E00044563,0,0,0,NA,NA
E00044566,0,0,0,NA,NA
E00044570,0,0,0,NA,NA
E00044571,0,0,0,NA,NA
E00044574,0,0,0,NA,NA
E00044575,0,0,0,NA,NA
E00044564,0,0,0,NA,NA
E00044567,0,0,0,NA,NA
E00044568,0,0,0,NA,NA
E00044569,0,0,0,NA,NA
E00044573,0,0,0,NA,NA
E00044699,0,0,0,NA,NA
E00044700,0,0,0,NA,NA
E00044703,0,0,0,NA,NA
E00044704,0,0,0,NA,NA
E00044733,0,0,0,NA,NA
E00044735,0,0,0,NA,NA
E00044695,0,0,0,NA,NA
E00044701,0,0,0,NA,NA
E00044707,0,0,0,NA,NA
E00044711,0,0,0,NA,NA
E00044734,0,0,0,NA,NA
E00044696,0,0,0,NA,NA
E00044702,0,0,0,NA,NA
E00044705,0,0,0,NA,NA
E00044712,0,0,0,NA,NA
E00044716,0,0,0,NA,NA
E00044697,0,0,0,NA,NA
E00044706,0,0,0,NA,NA
E00044710,0,0,0,NA,NA
E00044714,0,0,0,NA,NA
E00044715,0,0,0,NA,NA
E00044698,0,0,0,NA,NA
E00044717,0,0,0,NA,NA
E00044720,0,0,0,NA,NA
E00044721,0,0,0,NA,NA
E00044728,0,0,0,NA,NA
E00170248,0,0,0,NA,NA
E00182878,0,0,0,NA,NA
E00182920,0,0,0,NA,NA
E00044516,0,0,0,NA,NA
E00044517,0,0,0,NA,NA
E00044518,0,0,0,NA,NA
E00044522,0,0,0,NA,NA
E00044523,0,0,0,NA,NA
E00044498,0,0,0,NA,NA
E00044519,0,0,0,NA,NA
E00044520,0,0,0,NA,NA
E00044521,0,0,0,NA,NA
E00044524,0,0,0,NA,NA
E00044525,0,0,0,NA,NA
E00044529,0,0,0,NA,NA
E00044530,0,0,0,NA,NA
E00044531,0,0,0,NA,NA
E00170212,0,0,0,NA,NA
E00170213,0,0,0,NA,NA
E00170229,0,0,0,NA,NA
E00182879,0,0,0,NA,NA
E00182888,0,0,0,NA,NA
E00044532,0,0,0,NA,NA
E00044535,0,0,0,NA,NA
E00170235,0,0,0,NA,NA
E00170236,0,0,0,NA,NA
E00170247,0,0,0,NA,NA
E00044502,0,0,0,NA,NA
E00044533,0,0,0,NA,NA
E00044534,0,0,0,NA,NA
E00044537,0,0,0,NA,NA
E00044538,0,0,0,NA,NA
E00044542,0,0,0,NA,NA
E00044544,0,0,0,NA,NA
E00044547,0,0,0,NA,NA
E00044554,0,0,0,NA,NA
E00044565,0,0,0,NA,NA
E00044546,0,0,0,NA,NA
E00044548,0,0,0,NA,NA
E00044551,0,0,0,NA,NA
E00044555,0,0,0,NA,NA
E00044572,0,0,0,NA,NA
E00044552,0,0,0,NA,NA
E00044553,0,0,0,NA,NA
E00044556,0,0,0,NA,NA
E00044557,0,0,0,NA,NA
E00044558,0,0,0,NA,NA
E00044708,0,0,0,NA,NA
E00044709,0,0,0,NA,NA
E00044713,0,0,0,NA,NA
E00044724,0,0,0,NA,NA
E00044726,0,0,0,NA,NA
E00044718,0,0,0,NA,NA
E00044725,0,0,0,NA,NA
E00044730,0,0,0,NA,NA
E00044731,0,0,0,NA,NA
E00044732,0,0,0,NA,NA
E00044655,0,0,0,NA,NA
E00044659,0,0,0,NA,NA
E00044662,0,0,0,NA,NA
E00044666,0,0,0,NA,NA
E00044670,0,0,0,NA,NA
E00044671,0,0,0,NA,NA
E00044672,0,0,0,NA,NA
E00044656,0,0,0,NA,NA
E00044663,0,0,0,NA,NA
E00044664,0,0,0,NA,NA
E00044673,0,0,0,NA,NA
E00170209,0,0,0,NA,NA
E00170215,0,0,0,NA,NA
E00044649,0,0,0,NA,NA
E00044685,0,0,0,NA,NA
E00044689,0,0,0,NA,NA
E00044690,0,0,0,NA,NA
E00044692,0,0,0,NA,NA
E00044652,0,0,0,NA,NA
E00044653,0,0,0,NA,NA
E00044658,0,0,0,NA,NA
E00044660,0,0,0,NA,NA
E00044693,0,0,0,NA,NA
E00044674,0,0,0,NA,NA
E00044676,0,0,0,NA,NA
E00170207,0,0,0,NA,NA
E00170208,0,0,0,NA,NA
E00182923,0,0,0,NA,NA
E00182924,0,0,0,NA,NA
E00182925,0,0,0,NA,NA
E00182865,0,0,0,NA,NA
E00182867,0,0,0,NA,NA
E00182869,0,0,0,NA,NA
E00182875,0,0,0,NA,NA
E00182884,0,0,0,NA,NA
E00044500,0,0,0,NA,NA
E00044511,0,0,0,NA,NA
E00044528,0,0,0,NA,NA
E00044540,0,0,0,NA,NA
E00044541,0,0,0,NA,NA
E00044499,0,0,0,NA,NA
E00044501,0,0,0,NA,NA
E00044526,0,0,0,NA,NA
E00044527,0,0,0,NA,NA
E00044536,0,0,0,NA,NA
E00044497,0,0,0,NA,NA
E00044505,0,0,0,NA,NA
E00044508,0,0,0,NA,NA
E00044509,0,0,0,NA,NA
E00044513,0,0,0,NA,NA
E00044510,0,0,0,NA,NA
E00044512,0,0,0,NA,NA
E00044514,0,0,0,NA,NA
E00044515,1,0,1,0,100
E00044539,1,1,0,100,0
E00044243,0,0,0,NA,NA
E00044249,0,0,0,NA,NA
E00044250,0,0,0,NA,NA
E00044251,0,0,0,NA,NA
E00044252,0,0,0,NA,NA
E00044242,0,0,0,NA,NA
E00044246,0,0,0,NA,NA
E00044247,0,0,0,NA,NA
E00044248,0,0,0,NA,NA
E00044271,0,0,0,NA,NA
E00044651,0,0,0,NA,NA
E00044665,1,0,1,0,100
E00044669,0,0,0,NA,NA
E00044675,0,0,0,NA,NA
E00044677,0,0,0,NA,NA
E00044650,0,0,0,NA,NA
E00044657,2,2,0,100,0
E00044661,0,0,0,NA,NA
E00044668,0,0,0,NA,NA
E00165666,0,0,0,NA,NA
E00044682,0,0,0,NA,NA
E00044686,0,0,0,NA,NA
E00044688,0,0,0,NA,NA
E00044691,0,0,0,NA,NA
E00165667,0,0,0,NA,NA
E00044430,0,0,0,NA,NA
