OA,ts0670001,ts0670002,ts0670003,ts0670004,ts0670005,ts0670006,ts0670007,ts0670008,ts0670002_PCT,ts0670003_PCT,ts0670004_PCT,ts0670005_PCT,ts0670006_PCT,ts0670007_PCT,ts0670008_PCT
E00091386,226,34,16,27,16,48,74,11,15.04424778761062,7.079646017699115,11.946902654867257,7.079646017699115,21.238938053097346,32.743362831858406,4.867256637168142
E00091387,270,28,19,39,17,41,119,7,10.37037037037037,7.037037037037037,14.444444444444443,6.296296296296296,15.185185185185185,44.074074074074076,2.5925925925925926
E00091388,331,73,30,36,19,72,92,9,22.054380664652566,9.06344410876133,10.876132930513595,5.740181268882175,21.75226586102719,27.794561933534744,2.719033232628399
E00091389,222,64,18,35,9,43,43,10,28.82882882882883,8.108108108108109,15.765765765765765,4.054054054054054,19.36936936936937,19.36936936936937,4.504504504504505
E00091390,381,43,32,45,22,98,129,12,11.286089238845145,8.398950131233596,11.811023622047244,5.774278215223097,25.72178477690289,33.85826771653544,3.149606299212598
E00091391,276,48,18,33,18,57,92,10,17.391304347826086,6.521739130434782,11.956521739130435,6.521739130434782,20.652173913043477,33.33333333333333,3.6231884057971016
E00091392,297,66,53,34,24,42,72,6,22.22222222222222,17.845117845117844,11.447811447811448,8.080808080808081,14.14141414141414,24.242424242424242,2.0202020202020203
E00091395,315,84,21,35,13,47,109,6,26.666666666666668,6.666666666666667,11.11111111111111,4.1269841269841265,14.920634920634921,34.6031746031746,1.9047619047619049
E00091396,223,60,22,30,10,38,50,13,26.905829596412556,9.865470852017937,13.452914798206278,4.484304932735426,17.040358744394617,22.421524663677133,5.829596412556054
E00091397,291,18,33,27,16,41,152,4,6.185567010309279,11.34020618556701,9.278350515463918,5.498281786941581,14.0893470790378,52.23367697594502,1.3745704467353952
E00091398,210,44,33,34,13,26,56,4,20.952380952380953,15.714285714285714,16.19047619047619,6.190476190476191,12.380952380952381,26.666666666666668,1.9047619047619049
E00091399,215,20,13,39,17,29,87,10,9.30232558139535,6.046511627906977,18.13953488372093,7.906976744186046,13.488372093023257,40.46511627906977,4.651162790697675
E00091400,277,35,19,43,23,60,91,6,12.63537906137184,6.859205776173286,15.523465703971121,8.303249097472925,21.660649819494584,32.851985559566785,2.166064981949458
E00091401,336,58,30,43,18,49,128,10,17.261904761904763,8.928571428571429,12.797619047619047,5.357142857142857,14.583333333333334,38.095238095238095,2.976190476190476
E00091402,250,29,16,45,6,40,108,6,11.600000000000001,6.4,18,2.4,16,43.2,2.4
E00091403,302,44,25,43,20,54,106,10,14.56953642384106,8.27814569536424,14.23841059602649,6.622516556291391,17.880794701986755,35.099337748344375,3.3112582781456954
E00091404,246,34,20,33,17,45,92,5,13.821138211382115,8.130081300813007,13.414634146341465,6.910569105691057,18.29268292682927,37.39837398373984,2.0325203252032518
E00091407,401,32,43,60,8,80,174,4,7.98004987531172,10.723192019950124,14.962593516209477,1.99501246882793,19.950124688279303,43.391521197007485,0.997506234413965
E00091408,254,16,29,38,11,50,106,4,6.299212598425196,11.41732283464567,14.960629921259844,4.330708661417323,19.68503937007874,41.732283464566926,1.574803149606299
E00091409,214,41,17,34,6,32,78,6,19.158878504672895,7.943925233644859,15.887850467289718,2.803738317757009,14.953271028037381,36.44859813084112,2.803738317757009
E00091410,246,14,27,45,12,52,93,3,5.691056910569105,10.975609756097562,18.29268292682927,4.878048780487805,21.138211382113823,37.80487804878049,1.2195121951219512
E00091411,235,63,22,42,10,31,63,4,26.80851063829787,9.361702127659575,17.872340425531917,4.25531914893617,13.191489361702127,26.80851063829787,1.702127659574468
E00091412,276,31,25,31,16,55,115,3,11.231884057971014,9.057971014492754,11.231884057971014,5.797101449275362,19.92753623188406,41.66666666666667,1.0869565217391304
E00091413,241,16,17,25,16,51,108,8,6.639004149377594,7.053941908713693,10.37344398340249,6.639004149377594,21.16182572614108,44.81327800829876,3.319502074688797
E00091414,281,46,25,29,11,34,129,7,16.370106761565836,8.896797153024911,10.320284697508896,3.9145907473309607,12.099644128113878,45.90747330960854,2.491103202846975
E00091416,245,32,23,44,7,54,80,5,13.061224489795919,9.387755102040817,17.959183673469386,2.857142857142857,22.040816326530614,32.6530612244898,2.0408163265306123
E00091417,368,52,40,45,23,46,154,8,14.130434782608695,10.869565217391305,12.228260869565217,6.25,12.5,41.84782608695652,2.1739130434782608
E00091418,237,38,13,28,6,32,115,5,16.033755274261605,5.485232067510549,11.814345991561181,2.5316455696202533,13.502109704641349,48.52320675105485,2.109704641350211
E00091419,138,38,16,29,8,14,28,5,27.536231884057973,11.594202898550725,21.014492753623188,5.797101449275362,10.144927536231885,20.28985507246377,3.6231884057971016
E00091420,284,25,23,34,15,54,127,6,8.80281690140845,8.098591549295776,11.971830985915492,5.28169014084507,19.014084507042252,44.71830985915493,2.112676056338028
E00091421,217,27,13,37,10,41,83,6,12.442396313364055,5.990783410138248,17.050691244239633,4.6082949308755765,18.89400921658986,38.24884792626728,2.7649769585253456
E00091422,259,36,16,54,13,38,101,1,13.8996138996139,6.177606177606178,20.84942084942085,5.019305019305019,14.671814671814673,38.996138996138995,0.3861003861003861
E00091423,104,18,3,9,10,15,47,2,17.307692307692307,2.8846153846153846,8.653846153846153,9.615384615384617,14.423076923076922,45.19230769230769,1.9230769230769231
E00091424,225,38,15,23,10,39,90,10,16.88888888888889,6.666666666666667,10.222222222222223,4.444444444444445,17.333333333333336,40,4.444444444444445
E00091425,351,60,49,50,23,62,102,5,17.094017094017094,13.96011396011396,14.245014245014245,6.552706552706552,17.663817663817664,29.059829059829063,1.4245014245014245
