OA,ts0270001,ts0270002,ts0270003,ts0270004,ts0270005,ts0270006,ts0270007,ts0270008,ts0270009,ts0270010,ts0270011,ts0270012,ts0270013,ts0270014,ts0270015,ts0270016,ts0270017,ts0270018,ts0270019,ts0270020,ts0270002_PCT,ts0270003_PCT,ts0270004_PCT,ts0270005_PCT,ts0270006_PCT,ts0270007_PCT,ts0270008_PCT,ts0270009_PCT,ts0270010_PCT,ts0270011_PCT,ts0270012_PCT,ts0270013_PCT,ts0270014_PCT,ts0270015_PCT,ts0270016_PCT,ts0270017_PCT,ts0270018_PCT,ts0270019_PCT,ts0270020_PCT
E00162382,279,148,64,43,1,0,1,0,0,0,0,0,0,1,7,1,11,3,18,4,53.04659498207885,22.939068100358423,15.412186379928317,0.35842293906810035,0,0.35842293906810035,0,0,0,0,0,0,0.35842293906810035,2.5089605734767026,0.35842293906810035,3.942652329749104,1.0752688172043012,6.451612903225806,1.4336917562724014
E00162383,362,199,59,66,4,1,7,2,2,1,2,0,0,0,0,0,22,4,22,4,54.972375690607734,16.298342541436465,18.23204419889503,1.1049723756906076,0.2762430939226519,1.9337016574585635,0.5524861878453038,0.5524861878453038,0.2762430939226519,0.5524861878453038,0,0,0,0,0,6.077348066298343,1.1049723756906076,6.077348066298343,1.1049723756906076
E00162384,276,162,45,46,4,1,1,1,0,0,0,0,0,0,0,0,11,6,11,6,58.69565217391305,16.304347826086957,16.666666666666664,1.4492753623188406,0.36231884057971014,0.36231884057971014,0.36231884057971014,0,0,0,0,0,0,0,0,3.985507246376811,2.1739130434782608,3.985507246376811,2.1739130434782608
E00162385,261,159,45,37,1,1,5,3,1,0,0,0,0,1,0,0,9,4,9,4,60.91954022988506,17.24137931034483,14.17624521072797,0.38314176245210724,0.38314176245210724,1.9157088122605364,1.1494252873563218,0.38314176245210724,0,0,0,0,0.38314176245210724,0,0,3.4482758620689653,1.532567049808429,3.4482758620689653,1.532567049808429
E00162386,284,163,48,51,4,6,0,0,0,0,0,0,0,0,0,0,10,2,10,2,57.3943661971831,16.901408450704224,17.95774647887324,1.4084507042253522,2.112676056338028,0,0,0,0,0,0,0,0,0,0,3.5211267605633805,0.7042253521126761,3.5211267605633805,0.7042253521126761
E00162387,179,108,34,23,2,0,2,1,0,1,0,0,0,0,0,1,5,4,5,5,60.33519553072626,18.994413407821227,12.849162011173185,1.1173184357541899,0,1.1173184357541899,0.5586592178770949,0,0.5586592178770949,0,0,0,0,0,0.5586592178770949,2.793296089385475,2.2346368715083798,2.793296089385475,2.793296089385475
E00162388,225,133,46,35,2,0,0,0,0,0,0,0,0,0,1,0,4,4,5,4,59.111111111111114,20.444444444444446,15.555555555555555,0.8888888888888888,0,0,0,0,0,0,0,0,0,0.4444444444444444,0,1.7777777777777777,1.7777777777777777,2.2222222222222223,1.7777777777777777
E00162389,271,161,42,47,4,0,2,0,2,0,0,0,0,0,0,0,3,12,3,12,59.40959409594095,15.498154981549817,17.343173431734318,1.4760147601476015,0,0.7380073800738007,0,0.7380073800738007,0,0,0,0,0,0,0,1.107011070110701,4.428044280442804,1.107011070110701,4.428044280442804
E00162390,318,180,74,39,7,1,2,0,1,0,0,0,0,1,2,0,8,5,10,5,56.60377358490566,23.270440251572328,12.264150943396226,2.20125786163522,0.3144654088050315,0.628930817610063,0,0.3144654088050315,0,0,0,0,0.3144654088050315,0.628930817610063,0,2.515723270440252,1.5723270440251573,3.1446540880503147,1.5723270440251573
E00162391,151,80,46,21,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,52.980132450331126,30.4635761589404,13.90728476821192,0,0,0,0,0,0,0,0,0,0,0.6622516556291391,0,1.9867549668874174,0,2.6490066225165565,0
E00162392,414,257,70,61,2,2,5,3,0,0,0,0,0,2,7,0,8,2,15,2,62.07729468599034,16.908212560386474,14.734299516908212,0.4830917874396135,0.4830917874396135,1.2077294685990339,0.7246376811594203,0,0,0,0,0,0.4830917874396135,1.6908212560386473,0,1.932367149758454,0.4830917874396135,3.6231884057971016,0.4830917874396135
E00162393,122,85,19,13,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,2,69.67213114754098,15.573770491803279,10.655737704918032,0,0,0.819672131147541,0,0.819672131147541,0,0,0,0,0,0,0,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082
E00162394,458,273,94,76,0,2,5,1,3,0,0,0,0,1,0,1,4,3,4,4,59.60698689956332,20.52401746724891,16.593886462882097,0,0.43668122270742354,1.0917030567685588,0.21834061135371177,0.6550218340611353,0,0,0,0,0.21834061135371177,0,0.21834061135371177,0.8733624454148471,0.6550218340611353,0.8733624454148471,0.8733624454148471
E00162395,162,105,19,31,1,0,2,0,1,1,0,0,0,0,0,0,3,1,3,1,64.81481481481481,11.728395061728394,19.1358024691358,0.6172839506172839,0,1.2345679012345678,0,0.6172839506172839,0.6172839506172839,0,0,0,0,0,0,1.8518518518518516,0.6172839506172839,1.8518518518518516,0.6172839506172839
E00162396,159,96,37,20,0,0,3,1,1,1,0,0,0,0,0,1,1,1,1,2,60.37735849056604,23.270440251572328,12.578616352201259,0,0,1.8867924528301887,0.628930817610063,0.628930817610063,0.628930817610063,0,0,0,0,0,0.628930817610063,0.628930817610063,0.628930817610063,0.628930817610063,1.257861635220126
E00162397,304,188,54,35,1,2,12,2,5,1,1,0,0,3,1,0,4,7,5,7,61.8421052631579,17.763157894736842,11.513157894736842,0.3289473684210526,0.6578947368421052,3.9473684210526314,0.6578947368421052,1.644736842105263,0.3289473684210526,0.3289473684210526,0,0,0.9868421052631579,0.3289473684210526,0,1.3157894736842104,2.302631578947368,1.644736842105263,2.302631578947368
E00162398,264,163,55,37,0,0,3,1,0,0,0,0,0,2,0,0,6,0,6,0,61.74242424242424,20.833333333333336,14.015151515151514,0,0,1.1363636363636365,0.3787878787878788,0,0,0,0,0,0.7575757575757576,0,0,2.272727272727273,0,2.272727272727273,0
E00162399,165,104,25,27,0,2,0,0,0,0,0,0,0,0,0,0,3,4,3,4,63.030303030303024,15.151515151515152,16.363636363636363,0,1.2121212121212122,0,0,0,0,0,0,0,0,0,0,1.8181818181818181,2.4242424242424243,1.8181818181818181,2.4242424242424243
E00162400,338,219,50,47,2,0,3,2,0,0,1,0,0,0,3,0,6,8,9,8,64.79289940828401,14.792899408284024,13.905325443786982,0.591715976331361,0,0.8875739644970414,0.591715976331361,0,0,0.2958579881656805,0,0,0,0.8875739644970414,0,1.7751479289940828,2.366863905325444,2.6627218934911245,2.366863905325444
E00162401,285,182,50,43,1,2,3,1,1,1,0,0,0,0,1,0,2,1,3,1,63.859649122807014,17.543859649122805,15.087719298245613,0.3508771929824561,0.7017543859649122,1.0526315789473684,0.3508771929824561,0.3508771929824561,0.3508771929824561,0,0,0,0,0.3508771929824561,0,0.7017543859649122,0.3508771929824561,1.0526315789473684,0.3508771929824561
E00162402,268,166,51,31,2,1,3,1,1,0,1,0,0,0,1,0,3,10,4,10,61.940298507462686,19.029850746268657,11.567164179104477,0.7462686567164178,0.3731343283582089,1.1194029850746268,0.3731343283582089,0.3731343283582089,0,0.3731343283582089,0,0,0,0.3731343283582089,0,1.1194029850746268,3.731343283582089,1.4925373134328357,3.731343283582089
E00162403,362,213,58,71,1,1,9,3,3,0,1,1,0,1,1,2,6,0,7,2,58.83977900552486,16.022099447513813,19.613259668508288,0.2762430939226519,0.2762430939226519,2.4861878453038675,0.8287292817679558,0.8287292817679558,0,0.2762430939226519,0.2762430939226519,0,0.2762430939226519,0.2762430939226519,0.5524861878453038,1.6574585635359116,0,1.9337016574585635,0.5524861878453038
E00162404,215,132,32,39,1,1,0,0,0,0,0,0,0,0,0,0,7,3,7,3,61.395348837209305,14.883720930232558,18.13953488372093,0.46511627906976744,0.46511627906976744,0,0,0,0,0,0,0,0,0,0,3.255813953488372,1.3953488372093024,3.255813953488372,1.3953488372093024
