OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT,RGN23NM
E00099722,242,147,139,126,37,89,3,0,3,10,3,7,8,5,5,5,5,0,0,0,0,0,0,0,0,90,40,13,12,20,5,60.74380165289256,57.438016528925615,52.066115702479344,15.289256198347106,36.77685950413223,1.2396694214876034,0,1.2396694214876034,4.132231404958678,1.2396694214876034,2.8925619834710745,3.3057851239669422,2.066115702479339,2.066115702479339,2.066115702479339,2.066115702479339,0,0,0,0,0,0,0,0,37.1900826446281,16.528925619834713,5.371900826446281,4.958677685950414,8.264462809917356,2.066115702479339,East Midlands
E00099723,175,78,74,60,14,46,2,0,2,12,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,97,67,0,4,17,9,44.57142857142857,42.285714285714285,34.285714285714285,8,26.285714285714285,1.1428571428571428,0,1.1428571428571428,6.857142857142858,3.428571428571429,3.428571428571429,2.2857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,55.42857142857143,38.285714285714285,0,2.2857142857142856,9.714285714285714,5.142857142857142,East Midlands
E00099724,163,100,80,68,12,56,1,0,1,11,5,6,20,0,0,0,0,0,0,0,0,0,0,0,0,63,12,3,10,28,10,61.34969325153374,49.079754601226995,41.717791411042946,7.361963190184049,34.355828220858896,0.6134969325153374,0,0.6134969325153374,6.748466257668712,3.067484662576687,3.6809815950920246,12.269938650306749,0,0,0,0,0,0,0,0,0,0,0,0,38.65030674846626,7.361963190184049,1.8404907975460123,6.134969325153374,17.177914110429448,6.134969325153374,East Midlands
E00099725,225,129,126,111,30,81,0,0,0,15,8,7,3,6,6,6,5,1,0,0,0,0,0,0,0,90,54,10,4,16,6,57.333333333333336,56.00000000000001,49.333333333333336,13.333333333333334,36,0,0,0,6.666666666666667,3.5555555555555554,3.111111111111111,1.3333333333333335,2.666666666666667,2.666666666666667,2.666666666666667,2.2222222222222223,0.4444444444444444,0,0,0,0,0,0,0,40,24,4.444444444444445,1.7777777777777777,7.111111111111111,2.666666666666667,East Midlands
E00099726,210,131,129,110,30,80,2,0,2,17,10,7,2,7,6,6,3,3,0,0,0,0,0,0,1,72,50,7,3,4,8,62.38095238095238,61.42857142857143,52.38095238095239,14.285714285714285,38.095238095238095,0.9523809523809524,0,0.9523809523809524,8.095238095238095,4.761904761904762,3.3333333333333335,0.9523809523809524,3.3333333333333335,2.857142857142857,2.857142857142857,1.4285714285714286,1.4285714285714286,0,0,0,0,0,0,0.4761904761904762,34.285714285714285,23.809523809523807,3.3333333333333335,1.4285714285714286,1.9047619047619049,3.8095238095238098,East Midlands
E00099727,223,128,123,99,30,69,3,0,3,21,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,95,78,6,6,2,3,57.399103139013455,55.15695067264574,44.39461883408072,13.452914798206278,30.94170403587444,1.345291479820628,0,1.345291479820628,9.417040358744394,5.381165919282512,4.0358744394618835,2.242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,42.600896860986545,34.97757847533632,2.690582959641256,2.690582959641256,0.8968609865470852,1.345291479820628,East Midlands
E00099728,239,149,140,111,37,74,8,3,5,21,10,11,9,4,4,3,3,0,0,0,0,1,1,0,0,86,64,6,5,5,6,62.34309623430963,58.57740585774059,46.44351464435147,15.481171548117153,30.962343096234306,3.3472803347280333,1.2552301255230125,2.092050209205021,8.786610878661087,4.184100418410042,4.602510460251046,3.765690376569038,1.6736401673640167,1.6736401673640167,1.2552301255230125,1.2552301255230125,0,0,0,0,0.41841004184100417,0.41841004184100417,0,0,35.98326359832636,26.778242677824267,2.510460251046025,2.092050209205021,2.092050209205021,2.510460251046025,East Midlands
E00099730,201,131,128,96,28,68,3,0,3,29,13,16,3,0,0,0,0,0,0,0,0,0,0,0,0,70,52,4,5,4,5,65.17412935323384,63.681592039801,47.76119402985074,13.930348258706468,33.83084577114428,1.4925373134328357,0,1.4925373134328357,14.427860696517413,6.467661691542288,7.960199004975125,1.4925373134328357,0,0,0,0,0,0,0,0,0,0,0,0,34.82587064676617,25.870646766169152,1.9900497512437811,2.4875621890547266,1.9900497512437811,2.4875621890547266,East Midlands
E00099731,238,129,125,92,32,60,5,0,5,28,13,15,4,2,2,2,2,0,0,0,0,0,0,0,0,107,83,7,5,5,7,54.20168067226891,52.52100840336135,38.655462184873954,13.445378151260504,25.210084033613445,2.100840336134454,0,2.100840336134454,11.76470588235294,5.46218487394958,6.302521008403361,1.680672268907563,0.8403361344537815,0.8403361344537815,0.8403361344537815,0.8403361344537815,0,0,0,0,0,0,0,0,44.957983193277315,34.87394957983193,2.941176470588235,2.100840336134454,2.100840336134454,2.941176470588235,East Midlands
E00099732,220,115,112,68,29,39,10,0,10,34,13,21,3,0,0,0,0,0,0,0,0,0,0,0,0,105,86,6,9,0,4,52.27272727272727,50.90909090909091,30.909090909090907,13.18181818181818,17.727272727272727,4.545454545454546,0,4.545454545454546,15.454545454545453,5.909090909090909,9.545454545454547,1.3636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,47.72727272727273,39.09090909090909,2.727272727272727,4.090909090909091,0,1.8181818181818181,East Midlands
