OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00002975,506,6,0,4,1,0,1,0,0,0,0,5,2,0,0,3,495,489,1,0,0,5,0,0,0,1.185770750988142,0,0.7905138339920948,0.1976284584980237,0,0.1976284584980237,0,0,0,0,0.9881422924901186,0.3952569169960474,0,0,0.592885375494071,97.82608695652173,96.6403162055336,0.1976284584980237,0,0,0.9881422924901186,0,0,0
W00002976,380,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,374,363,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5789473684210527,0,0,1.0526315789473684,0.5263157894736842,98.42105263157895,95.52631578947368,0,1.8421052631578945,0,1.0526315789473684,0,0,0
W00002977,348,8,7,0,1,0,0,1,1,0,0,9,2,1,2,4,330,321,3,0,0,6,0,0,0,2.2988505747126435,2.0114942528735633,0,0.28735632183908044,0,0,0.28735632183908044,0.28735632183908044,0,0,2.586206896551724,0.5747126436781609,0.28735632183908044,0.5747126436781609,1.1494252873563218,94.82758620689656,92.24137931034483,0.8620689655172413,0,0,1.7241379310344827,0,0,0
W00002978,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.73890339425587,0.26109660574412535,0,0,0,0,0,0
W00002979,301,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,294,281,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3255813953488373,2.3255813953488373,0,0,0,97.67441860465115,93.35548172757476,0.6644518272425249,0.33222591362126247,0,3.322259136212625,0,0,0
W00002980,284,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,281,276,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7042253521126761,0.35211267605633806,0,0,0.35211267605633806,98.94366197183099,97.1830985915493,0.35211267605633806,0,0,1.4084507042253522,0.35211267605633806,0,0.35211267605633806
W00002981,305,2,1,0,1,0,0,0,0,0,0,6,3,2,0,1,297,290,1,1,0,5,0,0,0,0.6557377049180327,0.32786885245901637,0,0.32786885245901637,0,0,0,0,0,0,1.9672131147540985,0.9836065573770493,0.6557377049180327,0,0.32786885245901637,97.37704918032787,95.08196721311475,0.32786885245901637,0.32786885245901637,0,1.639344262295082,0,0,0
W00002982,296,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,295,289,1,0,0,5,0,0,0,0,0,0,0,0,0,0.33783783783783783,0.33783783783783783,0,0,0,0,0,0,0,99.66216216216216,97.63513513513513,0.33783783783783783,0,0,1.6891891891891893,0,0,0
W00002983,282,1,0,0,0,0,1,0,0,0,0,3,2,0,0,1,278,269,1,0,0,8,0,0,0,0.3546099290780142,0,0,0,0,0.3546099290780142,0,0,0,0,1.0638297872340425,0.7092198581560284,0,0,0.3546099290780142,98.581560283687935,95.39007092198581,0.3546099290780142,0,0,2.8368794326241136,0,0,0
W00002984,268,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,264,262,0,0,0,2,0,0,0,1.4925373134328357,0,0,0,0,1.4925373134328357,0,0,0,0,0,0,0,0,0,98.50746268656717,97.76119402985076,0,0,0,0.7462686567164178,0,0,0
