OA,ts0250001,ts0250002,ts0250003,ts0250004,ts0250005,ts0250002_PCT,ts0250003_PCT,ts0250004_PCT,ts0250005_PCT
E00113968,167,156,2,2,7,93.41317365269461,1.1976047904191618,1.1976047904191618,4.191616766467066
E00113970,182,176,5,0,1,96.7032967032967,2.7472527472527473,0,0.5494505494505495
E00113971,152,143,5,0,4,94.07894736842105,3.289473684210526,0,2.631578947368421
E00113973,227,223,1,1,2,98.23788546255507,0.4405286343612335,0.4405286343612335,0.881057268722467
E00113976,88,87,1,0,0,98.86363636363636,1.1363636363636365,0,0
E00113977,161,158,3,0,0,98.13664596273291,1.8633540372670807,0,0
E00113978,103,101,0,1,1,98.05825242718447,0,0.9708737864077669,0.9708737864077669
E00113979,109,105,2,0,2,96.3302752293578,1.834862385321101,0,1.834862385321101
E00113980,112,110,2,0,0,98.21428571428571,1.7857142857142856,0,0
E00113981,63,63,0,0,0,100,0,0,0
E00113982,151,151,0,0,0,100,0,0,0
E00113983,109,109,0,0,0,100,0,0,0
E00113984,133,122,5,1,5,91.72932330827066,3.7593984962406015,0.7518796992481203,3.7593984962406015
E00113985,136,127,4,3,2,93.38235294117648,2.941176470588235,2.2058823529411766,1.4705882352941175
E00113987,128,120,5,3,0,93.75,3.90625,2.34375,0
E00113988,178,174,3,0,1,97.75280898876404,1.6853932584269662,0,0.5617977528089888
E00113989,139,134,5,0,0,96.40287769784173,3.5971223021582732,0,0
E00113990,122,119,2,0,1,97.54098360655738,1.639344262295082,0,0.819672131147541
E00113991,119,116,3,0,0,97.47899159663865,2.5210084033613445,0,0
E00113992,173,167,2,2,2,96.53179190751445,1.1560693641618496,1.1560693641618496,1.1560693641618496
E00113994,110,107,3,0,0,97.27272727272728,2.727272727272727,0,0
E00113995,123,119,2,1,1,96.7479674796748,1.6260162601626018,0.8130081300813009,0.8130081300813009
E00113996,109,100,1,1,7,91.74311926605505,0.9174311926605505,0.9174311926605505,6.422018348623854
E00113997,130,126,2,0,2,96.92307692307692,1.5384615384615385,0,1.5384615384615385
E00113998,113,109,0,1,3,96.46017699115043,0,0.8849557522123894,2.6548672566371683
