OA,ts0270001,ts0270002,ts0270003,ts0270004,ts0270005,ts0270006,ts0270007,ts0270008,ts0270009,ts0270010,ts0270011,ts0270012,ts0270013,ts0270014,ts0270015,ts0270016,ts0270017,ts0270018,ts0270019,ts0270020,ts0270002_PCT,ts0270003_PCT,ts0270004_PCT,ts0270005_PCT,ts0270006_PCT,ts0270007_PCT,ts0270008_PCT,ts0270009_PCT,ts0270010_PCT,ts0270011_PCT,ts0270012_PCT,ts0270013_PCT,ts0270014_PCT,ts0270015_PCT,ts0270016_PCT,ts0270017_PCT,ts0270018_PCT,ts0270019_PCT,ts0270020_PCT
W00004706,387,51,9,2,279,40,2,1,0,1,0,0,0,0,1,0,1,2,2,2,13.178294573643413,2.3255813953488373,0.516795865633075,72.09302325581395,10.335917312661499,0.516795865633075,0.2583979328165375,0,0.2583979328165375,0,0,0,0,0.2583979328165375,0,0.2583979328165375,0.516795865633075,0.516795865633075,0.516795865633075
W00004707,335,71,14,1,204,28,1,0,0,0,0,0,0,1,0,0,12,4,12,4,21.19402985074627,4.179104477611941,0.2985074626865672,60.895522388059696,8.358208955223882,0.2985074626865672,0,0,0,0,0,0,0.2985074626865672,0,0,3.582089552238806,1.1940298507462688,3.582089552238806,1.1940298507462688
W00004709,306,29,15,0,192,22,12,2,0,0,0,0,0,10,5,0,21,10,26,10,9.477124183006536,4.901960784313726,0,62.745098039215684,7.18954248366013,3.9215686274509802,0.6535947712418301,0,0,0,0,0,3.2679738562091507,1.6339869281045754,0,6.862745098039216,3.2679738562091507,8.49673202614379,3.2679738562091507
W00004710,341,46,14,5,197,24,11,1,1,0,0,2,0,7,3,0,39,2,42,2,13.48973607038123,4.105571847507331,1.466275659824047,57.77126099706745,7.038123167155426,3.225806451612903,0.2932551319648094,0.2932551319648094,0,0,0.5865102639296188,0,2.0527859237536656,0.8797653958944283,0,11.436950146627565,0.5865102639296188,12.316715542521994,0.5865102639296188
W00004711,331,49,20,14,200,26,4,0,0,0,0,0,0,4,0,1,17,0,17,1,14.803625377643503,6.042296072507553,4.229607250755287,60.42296072507553,7.854984894259818,1.2084592145015105,0,0,0,0,0,0,1.2084592145015105,0,0.3021148036253776,5.13595166163142,0,5.13595166163142,0.3021148036253776
W00004712,316,55,27,4,187,30,4,0,0,1,0,0,0,3,2,0,5,2,7,2,17.405063291139243,8.544303797468354,1.2658227848101267,59.17721518987342,9.49367088607595,1.2658227848101267,0,0,0.31645569620253167,0,0,0,0.949367088607595,0.6329113924050633,0,1.5822784810126582,0.6329113924050633,2.2151898734177213,0.6329113924050633
W00004713,300,34,20,1,200,27,8,3,0,0,0,0,0,5,0,0,8,2,8,2,11.333333333333332,6.666666666666667,0.33333333333333337,66.66666666666666,9,2.666666666666667,1,0,0,0,0,0,1.6666666666666667,0,0,2.666666666666667,0.6666666666666667,2.666666666666667,0.6666666666666667
W00004714,342,37,49,1,210,17,6,0,0,0,0,0,0,6,0,0,17,5,17,5,10.818713450292398,14.327485380116958,0.29239766081871343,61.40350877192983,4.970760233918129,1.7543859649122806,0,0,0,0,0,0,1.7543859649122806,0,0,4.970760233918129,1.461988304093567,4.970760233918129,1.461988304093567
W00004715,262,43,8,2,162,23,6,1,0,0,0,0,0,5,0,0,15,3,15,3,16.412213740458014,3.0534351145038165,0.7633587786259541,61.832061068702295,8.778625954198473,2.2900763358778624,0.38167938931297707,0,0,0,0,0,1.9083969465648856,0,0,5.7251908396946565,1.1450381679389312,5.7251908396946565,1.1450381679389312
W00004716,223,15,14,0,155,26,2,1,0,1,0,0,0,0,0,0,8,3,8,3,6.726457399103139,6.278026905829597,0,69.50672645739911,11.659192825112108,0.8968609865470852,0.4484304932735426,0,0.4484304932735426,0,0,0,0,0,0,3.587443946188341,1.345291479820628,3.587443946188341,1.345291479820628
W00004717,349,66,20,2,225,16,8,2,0,0,0,0,0,6,0,0,11,1,11,1,18.911174785100286,5.730659025787966,0.5730659025787965,64.46991404011462,4.584527220630372,2.292263610315186,0.5730659025787965,0,0,0,0,0,1.7191977077363898,0,0,3.151862464183381,0.28653295128939826,3.151862464183381,0.28653295128939826
W00004718,350,53,49,2,193,18,16,3,0,0,0,0,0,13,0,0,18,1,18,1,15.142857142857144,14.000000000000002,0.5714285714285714,55.14285714285714,5.142857142857142,4.571428571428571,0.8571428571428572,0,0,0,0,0,3.7142857142857144,0,0,5.142857142857142,0.2857142857142857,5.142857142857142,0.2857142857142857
W00004719,316,43,30,0,211,20,2,1,0,0,0,0,0,1,0,0,10,0,10,0,13.60759493670886,9.49367088607595,0,66.77215189873418,6.329113924050633,0.6329113924050633,0.31645569620253167,0,0,0,0,0,0.31645569620253167,0,0,3.1645569620253164,0,3.1645569620253164,0
W00004720,243,17,6,1,185,23,1,0,0,0,0,0,0,1,0,1,6,3,6,4,6.995884773662551,2.4691358024691357,0.411522633744856,76.13168724279835,9.465020576131687,0.411522633744856,0,0,0,0,0,0,0.411522633744856,0,0.411522633744856,2.4691358024691357,1.2345679012345678,2.4691358024691357,1.646090534979424
W00004721,279,15,9,6,209,31,3,2,0,0,0,0,0,1,1,1,3,1,4,2,5.376344086021505,3.225806451612903,2.1505376344086025,74.91039426523297,11.11111111111111,1.0752688172043012,0.7168458781362007,0,0,0,0,0,0.35842293906810035,0.35842293906810035,0.35842293906810035,1.0752688172043012,0.35842293906810035,1.4336917562724014,0.7168458781362007
