OA,ts0520001,ts0520002,ts0520003,ts0520004,ts0520005,ts0520006,ts0520002_PCT,ts0520003_PCT,ts0520004_PCT,ts0520005_PCT,ts0520006_PCT
E00019077,129,33,35,44,12,5,25.581395348837212,27.131782945736433,34.10852713178294,9.30232558139535,3.875968992248062
E00019078,179,73,55,46,5,0,40.78212290502793,30.726256983240223,25.69832402234637,2.793296089385475,0
E00019079,132,16,63,49,4,0,12.121212121212121,47.72727272727273,37.121212121212125,3.0303030303030303,0
E00019080,104,12,20,56,13,3,11.538461538461538,19.230769230769234,53.84615384615385,12.5,2.8846153846153846
E00019081,113,40,52,18,3,0,35.39823008849557,46.017699115044245,15.929203539823009,2.6548672566371683,0
E00019082,133,18,44,58,7,6,13.533834586466165,33.08270676691729,43.609022556390975,5.263157894736842,4.511278195488721
E00019083,142,76,28,33,2,3,53.52112676056338,19.718309859154928,23.239436619718308,1.4084507042253522,2.112676056338028
E00019084,120,16,50,40,14,0,13.333333333333334,41.66666666666667,33.33333333333333,11.666666666666666,0
E00019085,111,38,31,37,4,1,34.234234234234236,27.927927927927925,33.33333333333333,3.6036036036036037,0.9009009009009009
E00019086,125,35,36,43,10,1,28.000000000000004,28.799999999999997,34.4,8,0.8
E00019087,138,61,33,37,7,0,44.20289855072464,23.91304347826087,26.811594202898554,5.072463768115942,0
E00019088,117,33,41,34,8,1,28.205128205128204,35.04273504273504,29.059829059829063,6.837606837606838,0.8547008547008548
E00019089,115,53,35,23,3,1,46.08695652173913,30.434782608695656,20,2.608695652173913,0.8695652173913043
E00019090,118,34,40,41,3,0,28.8135593220339,33.89830508474576,34.74576271186441,2.5423728813559325,0
E00019091,115,17,73,23,2,0,14.782608695652174,63.47826086956522,20,1.7391304347826086,0
E00019092,101,23,18,58,2,0,22.772277227722775,17.82178217821782,57.42574257425742,1.9801980198019802,0
E00019093,108,9,16,77,5,1,8.333333333333332,14.814814814814813,71.29629629629629,4.62962962962963,0.9259259259259258
E00019094,108,72,10,25,0,1,66.66666666666666,9.25925925925926,23.14814814814815,0,0.9259259259259258
E00019095,124,62,27,31,4,0,50,21.774193548387096,25,3.225806451612903,0
E00019096,145,101,26,18,0,0,69.6551724137931,17.93103448275862,12.413793103448276,0,0
E00019097,124,92,19,10,3,0,74.19354838709677,15.32258064516129,8.064516129032258,2.4193548387096775,0
E00019098,128,112,11,4,1,0,87.5,8.59375,3.125,0.78125,0
E00019099,122,88,17,17,0,0,72.1311475409836,13.934426229508196,13.934426229508196,0,0
E00019100,125,95,23,6,1,0,76,18.4,4.8,0.8,0
E00019101,132,83,25,22,2,0,62.878787878787875,18.939393939393938,16.666666666666664,1.5151515151515151,0
E00019102,121,64,27,28,1,1,52.892561983471076,22.31404958677686,23.140495867768596,0.8264462809917356,0.8264462809917356
E00019103,154,52,54,44,3,1,33.76623376623377,35.064935064935064,28.57142857142857,1.948051948051948,0.6493506493506493
E00019104,147,41,44,55,6,1,27.89115646258503,29.931972789115648,37.41496598639456,4.081632653061225,0.6802721088435374
E00019105,141,35,53,48,4,1,24.822695035460992,37.5886524822695,34.04255319148936,2.8368794326241136,0.7092198581560284
E00019106,123,89,27,7,0,0,72.35772357723577,21.951219512195124,5.691056910569105,0,0
E00019107,131,107,17,7,0,0,81.67938931297711,12.977099236641221,5.343511450381679,0,0
E00019108,123,66,41,14,1,1,53.65853658536586,33.33333333333333,11.38211382113821,0.8130081300813009,0.8130081300813009
E00019109,123,51,40,31,1,0,41.46341463414634,32.52032520325203,25.203252032520325,0.8130081300813009,0
E00019110,122,104,10,7,1,0,85.24590163934425,8.19672131147541,5.737704918032787,0.819672131147541,0
E00019111,119,75,21,21,2,0,63.02521008403361,17.647058823529413,17.647058823529413,1.680672268907563,0
E00019112,136,101,20,11,3,1,74.26470588235294,14.705882352941178,8.088235294117647,2.2058823529411766,0.7352941176470588
E00019113,149,30,26,86,7,0,20.13422818791946,17.449664429530202,57.71812080536913,4.697986577181208,0
