OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
W00000228,252,9,16,11,14,7,11,15,11,13,14,24,21,16,14,24,16,6,10,3.571428571428571,6.349206349206349,4.365079365079365,5.555555555555555,2.7777777777777777,4.365079365079365,5.952380952380952,4.365079365079365,5.158730158730158,5.555555555555555,9.523809523809524,8.333333333333332,6.349206349206349,5.555555555555555,9.523809523809524,6.349206349206349,2.380952380952381,3.968253968253968
W00000229,352,22,20,17,25,17,17,16,15,12,18,28,33,21,27,32,18,5,9,6.25,5.681818181818182,4.829545454545454,7.1022727272727275,4.829545454545454,4.829545454545454,4.545454545454546,4.261363636363636,3.4090909090909087,5.113636363636364,7.954545454545454,9.375,5.965909090909091,7.670454545454546,9.090909090909092,5.113636363636364,1.4204545454545454,2.556818181818182
W00000230,295,16,18,12,6,11,19,17,7,18,11,16,26,28,29,21,22,11,7,5.423728813559322,6.101694915254238,4.067796610169491,2.0338983050847457,3.728813559322034,6.440677966101695,5.762711864406779,2.3728813559322033,6.101694915254238,3.728813559322034,5.423728813559322,8.813559322033898,9.491525423728813,9.830508474576272,7.118644067796611,7.457627118644068,3.728813559322034,2.3728813559322033
W00000231,200,2,4,2,5,8,2,12,9,10,8,11,19,26,18,28,17,11,8,1,2,1,2.5,4,1,6,4.5,5,4,5.5,9.5,13,9,14.000000000000002,8.5,5.5,4
W00000232,226,6,6,10,10,3,12,6,5,10,12,14,21,20,23,25,14,15,14,2.6548672566371683,2.6548672566371683,4.424778761061947,4.424778761061947,1.3274336283185841,5.3097345132743365,2.6548672566371683,2.2123893805309733,4.424778761061947,5.3097345132743365,6.1946902654867255,9.29203539823009,8.849557522123893,10.176991150442479,11.061946902654867,6.1946902654867255,6.637168141592921,6.1946902654867255
W00000233,144,5,6,5,8,9,5,6,6,3,11,12,13,21,11,8,5,3,7,3.4722222222222223,4.166666666666666,3.4722222222222223,5.555555555555555,6.25,3.4722222222222223,4.166666666666666,4.166666666666666,2.083333333333333,7.638888888888889,8.333333333333332,9.027777777777777,14.583333333333334,7.638888888888889,5.555555555555555,3.4722222222222223,2.083333333333333,4.861111111111112
W00000234,114,1,2,1,1,4,9,6,6,3,8,3,11,15,11,12,11,3,7,0.8771929824561403,1.7543859649122806,0.8771929824561403,0.8771929824561403,3.508771929824561,7.894736842105263,5.263157894736842,5.263157894736842,2.631578947368421,7.017543859649122,2.631578947368421,9.649122807017543,13.157894736842104,9.649122807017543,10.526315789473683,9.649122807017543,2.631578947368421,6.140350877192982
W00000235,334,12,6,13,10,12,17,15,17,10,23,21,37,33,31,30,19,11,17,3.592814371257485,1.7964071856287425,3.8922155688622757,2.9940119760479043,3.592814371257485,5.089820359281437,4.491017964071856,5.089820359281437,2.9940119760479043,6.88622754491018,6.287425149700598,11.077844311377245,9.880239520958083,9.281437125748502,8.982035928143713,5.688622754491018,3.293413173652695,5.089820359281437
W00000236,280,10,12,11,13,14,16,8,13,15,12,22,39,30,21,18,9,11,6,3.571428571428571,4.285714285714286,3.9285714285714284,4.642857142857143,5,5.714285714285714,2.857142857142857,4.642857142857143,5.357142857142857,4.285714285714286,7.857142857142857,13.928571428571429,10.714285714285714,7.5,6.428571428571428,3.214285714285714,3.9285714285714284,2.142857142857143
W00000237,268,11,12,18,14,15,15,13,6,8,20,16,18,18,20,16,25,12,11,4.104477611940299,4.477611940298507,6.7164179104477615,5.223880597014925,5.597014925373134,5.597014925373134,4.850746268656716,2.2388059701492535,2.9850746268656714,7.462686567164178,5.970149253731343,6.7164179104477615,6.7164179104477615,7.462686567164178,5.970149253731343,9.328358208955224,4.477611940298507,4.104477611940299
W00000238,278,20,23,16,15,12,23,16,15,13,15,23,18,19,8,15,12,6,9,7.1942446043165464,8.273381294964029,5.755395683453238,5.39568345323741,4.316546762589928,8.273381294964029,5.755395683453238,5.39568345323741,4.676258992805756,5.39568345323741,8.273381294964029,6.474820143884892,6.83453237410072,2.877697841726619,5.39568345323741,4.316546762589928,2.158273381294964,3.237410071942446
W00000239,259,8,16,13,6,7,5,11,15,10,16,19,13,17,18,37,23,11,14,3.088803088803089,6.177606177606178,5.019305019305019,2.3166023166023164,2.7027027027027026,1.9305019305019304,4.247104247104247,5.7915057915057915,3.861003861003861,6.177606177606178,7.335907335907336,5.019305019305019,6.563706563706563,6.94980694980695,14.285714285714285,8.880308880308881,4.247104247104247,5.405405405405405
W00000240,179,10,8,13,7,7,13,11,8,6,13,11,19,11,12,10,11,5,4,5.58659217877095,4.4692737430167595,7.262569832402235,3.910614525139665,3.910614525139665,7.262569832402235,6.145251396648044,4.4692737430167595,3.35195530726257,7.262569832402235,6.145251396648044,10.614525139664805,6.145251396648044,6.70391061452514,5.58659217877095,6.145251396648044,2.793296089385475,2.2346368715083798
W00000241,234,6,13,17,14,9,15,17,12,11,21,19,30,14,7,16,5,6,2,2.564102564102564,5.555555555555555,7.264957264957266,5.982905982905983,3.8461538461538463,6.41025641025641,7.264957264957266,5.128205128205128,4.700854700854701,8.974358974358974,8.11965811965812,12.82051282051282,5.982905982905983,2.9914529914529915,6.837606837606838,2.1367521367521367,2.564102564102564,0.8547008547008548
W00000242,224,6,9,18,13,12,10,7,15,13,18,14,18,22,14,5,13,11,6,2.6785714285714284,4.017857142857143,8.035714285714286,5.803571428571429,5.357142857142857,4.464285714285714,3.125,6.696428571428571,5.803571428571429,8.035714285714286,6.25,8.035714285714286,9.821428571428571,6.25,2.232142857142857,5.803571428571429,4.910714285714286,2.6785714285714284
W00000243,229,6,14,18,13,18,2,6,12,14,11,10,9,20,14,17,11,20,14,2.6200873362445414,6.11353711790393,7.860262008733625,5.676855895196507,7.860262008733625,0.8733624454148471,2.6200873362445414,5.240174672489083,6.11353711790393,4.8034934497816595,4.366812227074235,3.9301310043668125,8.73362445414847,6.11353711790393,7.423580786026202,4.8034934497816595,8.73362445414847,6.11353711790393
