OA,ts0020001,ts0020002,ts0020003,ts0020004,ts0020005,ts0020006,ts0020007,ts0020008,ts0020009,ts0020010,ts0020011,ts0020012,ts0020013,ts0020014,ts0020015,ts0020016,ts0020017,ts0020018,ts0020002_PCT,ts0020003_PCT,ts0020004_PCT,ts0020005_PCT,ts0020006_PCT,ts0020007_PCT,ts0020008_PCT,ts0020009_PCT,ts0020010_PCT,ts0020011_PCT,ts0020012_PCT,ts0020013_PCT,ts0020014_PCT,ts0020015_PCT,ts0020016_PCT,ts0020017_PCT,ts0020018_PCT
E00137165,374,149,79,79,79,0,0,0,0,5,5,0,59,59,0,82,82,0,39.839572192513366,21.12299465240642,21.12299465240642,21.12299465240642,0,0,0,0,1.3368983957219251,1.3368983957219251,0,15.775401069518717,15.775401069518717,0,21.92513368983957,21.92513368983957,0
E00137167,229,104,86,86,86,0,0,0,0,2,2,0,26,26,0,11,11,0,45.414847161572055,37.55458515283843,37.55458515283843,37.55458515283843,0,0,0,0,0.8733624454148471,0.8733624454148471,0,11.353711790393014,11.353711790393014,0,4.8034934497816595,4.8034934497816595,0
E00137178,260,116,99,99,97,2,0,0,0,9,9,0,27,27,0,9,9,0,44.61538461538462,38.07692307692307,38.07692307692307,37.30769230769231,0.7692307692307693,0,0,0,3.4615384615384617,3.4615384615384617,0,10.384615384615385,10.384615384615385,0,3.4615384615384617,3.4615384615384617,0
E00137183,384,113,223,221,221,0,2,0,2,8,8,0,23,23,0,17,17,0,29.427083333333332,58.072916666666664,57.552083333333336,57.552083333333336,0,0.5208333333333333,0,0.5208333333333333,2.083333333333333,2.083333333333333,0,5.989583333333334,5.989583333333334,0,4.427083333333334,4.427083333333334,0
E00137184,261,76,132,132,131,1,0,0,0,6,6,0,28,28,0,19,19,0,29.118773946360154,50.57471264367817,50.57471264367817,50.191570881226056,0.38314176245210724,0,0,0,2.2988505747126435,2.2988505747126435,0,10.727969348659004,10.727969348659004,0,7.2796934865900385,7.2796934865900385,0
E00137214,277,82,154,152,152,0,2,0,2,8,8,0,13,13,0,20,20,0,29.602888086642597,55.5956678700361,54.87364620938629,54.87364620938629,0,0.7220216606498195,0,0.7220216606498195,2.888086642599278,2.888086642599278,0,4.693140794223827,4.693140794223827,0,7.2202166064981945,7.2202166064981945,0
E00137215,276,70,159,157,155,2,2,0,2,5,5,0,24,24,0,18,18,0,25.36231884057971,57.608695652173914,56.88405797101449,56.15942028985508,0.7246376811594203,0.7246376811594203,0,0.7246376811594203,1.8115942028985508,1.8115942028985508,0,8.695652173913043,8.695652173913043,0,6.521739130434782,6.521739130434782,0
E00137216,454,113,260,260,260,0,0,0,0,15,15,0,41,41,0,25,25,0,24.88986784140969,57.268722466960355,57.268722466960355,57.268722466960355,0,0,0,0,3.303964757709251,3.303964757709251,0,9.030837004405285,9.030837004405285,0,5.506607929515418,5.506607929515418,0
E00137217,242,63,144,144,144,0,0,0,0,5,5,0,17,17,0,13,13,0,26.033057851239672,59.50413223140496,59.50413223140496,59.50413223140496,0,0,0,0,2.066115702479339,2.066115702479339,0,7.024793388429752,7.024793388429752,0,5.371900826446281,5.371900826446281,0
E00137218,105,32,42,40,40,0,2,0,2,5,5,0,19,19,0,7,7,0,30.476190476190478,40,38.095238095238095,38.095238095238095,0,1.9047619047619049,0,1.9047619047619049,4.761904761904762,4.761904761904762,0,18.095238095238095,18.095238095238095,0,6.666666666666667,6.666666666666667,0
E00137219,282,96,142,142,142,0,0,0,0,7,7,0,22,22,0,15,15,0,34.04255319148936,50.35460992907801,50.35460992907801,50.35460992907801,0,0,0,0,2.4822695035460995,2.4822695035460995,0,7.801418439716312,7.801418439716312,0,5.319148936170213,5.319148936170213,0
E00137220,259,72,144,144,144,0,0,0,0,11,11,0,20,20,0,12,12,0,27.7992277992278,55.5984555984556,55.5984555984556,55.5984555984556,0,0,0,0,4.247104247104247,4.247104247104247,0,7.722007722007722,7.722007722007722,0,4.633204633204633,4.633204633204633,0
E00137221,285,67,172,172,172,0,0,0,0,2,2,0,31,31,0,13,13,0,23.50877192982456,60.35087719298245,60.35087719298245,60.35087719298245,0,0,0,0,0.7017543859649122,0.7017543859649122,0,10.87719298245614,10.87719298245614,0,4.56140350877193,4.56140350877193,0
E00137222,229,58,132,130,130,0,2,0,2,2,2,0,23,23,0,14,14,0,25.327510917030565,57.64192139737992,56.76855895196506,56.76855895196506,0,0.8733624454148471,0,0.8733624454148471,0.8733624454148471,0.8733624454148471,0,10.043668122270741,10.043668122270741,0,6.11353711790393,6.11353711790393,0
