OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
W00001832,225,130,124,115,35,80,2,1,1,7,5,2,6,8,5,4,3,1,0,0,0,1,1,0,3,87,50,11,10,11,5,57.77777777777777,55.111111111111114,51.11111111111111,15.555555555555555,35.55555555555556,0.8888888888888888,0.4444444444444444,0.4444444444444444,3.111111111111111,2.2222222222222223,0.8888888888888888,2.666666666666667,3.5555555555555554,2.2222222222222223,1.7777777777777777,1.3333333333333335,0.4444444444444444,0,0,0,0.4444444444444444,0.4444444444444444,0,1.3333333333333335,38.666666666666664,22.22222222222222,4.888888888888889,4.444444444444445,4.888888888888889,2.2222222222222223
W00001833,162,99,94,85,23,62,0,0,0,9,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,63,30,6,7,14,6,61.111111111111114,58.0246913580247,52.46913580246913,14.19753086419753,38.2716049382716,0,0,0,5.555555555555555,1.2345679012345678,4.320987654320987,3.0864197530864197,0,0,0,0,0,0,0,0,0,0,0,0,38.88888888888889,18.51851851851852,3.7037037037037033,4.320987654320987,8.641975308641975,3.7037037037037033
W00001834,185,108,101,92,28,64,4,0,4,5,1,4,7,3,1,1,1,0,0,0,0,0,0,0,2,74,37,8,9,18,2,58.37837837837838,54.59459459459459,49.72972972972973,15.135135135135137,34.5945945945946,2.1621621621621623,0,2.1621621621621623,2.7027027027027026,0.5405405405405406,2.1621621621621623,3.783783783783784,1.6216216216216217,0.5405405405405406,0.5405405405405406,0.5405405405405406,0,0,0,0,0,0,0,1.0810810810810811,40,20,4.324324324324325,4.864864864864865,9.72972972972973,1.0810810810810811
W00001835,235,140,132,115,33,82,1,0,1,16,4,12,8,8,3,3,3,0,0,0,0,0,0,0,5,87,54,8,9,13,3,59.57446808510638,56.17021276595745,48.93617021276596,14.042553191489363,34.8936170212766,0.425531914893617,0,0.425531914893617,6.808510638297872,1.702127659574468,5.106382978723404,3.404255319148936,3.404255319148936,1.276595744680851,1.276595744680851,1.276595744680851,0,0,0,0,0,0,0,2.127659574468085,37.02127659574468,22.97872340425532,3.404255319148936,3.829787234042553,5.531914893617021,1.276595744680851
W00001836,248,157,149,134,36,98,4,1,3,11,4,7,8,4,4,4,4,0,0,0,0,0,0,0,0,87,38,20,14,12,3,63.306451612903224,60.08064516129033,54.03225806451613,14.516129032258066,39.516129032258064,1.6129032258064515,0.4032258064516129,1.2096774193548387,4.435483870967742,1.6129032258064515,2.82258064516129,3.225806451612903,1.6129032258064515,1.6129032258064515,1.6129032258064515,1.6129032258064515,0,0,0,0,0,0,0,0,35.08064516129033,15.32258064516129,8.064516129032258,5.64516129032258,4.838709677419355,1.2096774193548387
W00001837,327,169,160,137,32,105,5,1,4,18,5,13,9,8,7,7,5,2,0,0,0,0,0,0,1,150,111,12,8,12,7,51.681957186544345,48.92966360856269,41.896024464831804,9.785932721712538,32.11009174311927,1.529051987767584,0.3058103975535168,1.2232415902140672,5.5045871559633035,1.529051987767584,3.9755351681957185,2.7522935779816518,2.4464831804281344,2.1406727828746175,2.1406727828746175,1.529051987767584,0.6116207951070336,0,0,0,0,0,0,0.3058103975535168,45.87155963302752,33.94495412844037,3.669724770642202,2.4464831804281344,3.669724770642202,2.1406727828746175
W00001838,193,98,91,83,15,68,1,0,1,7,2,5,7,10,10,10,8,2,0,0,0,0,0,0,0,85,48,10,7,15,5,50.77720207253886,47.15025906735752,43.005181347150256,7.772020725388601,35.233160621761655,0.5181347150259068,0,0.5181347150259068,3.6269430051813467,1.0362694300518136,2.5906735751295336,3.6269430051813467,5.181347150259067,5.181347150259067,5.181347150259067,4.145077720207254,1.0362694300518136,0,0,0,0,0,0,0,44.04145077720207,24.870466321243523,5.181347150259067,3.6269430051813467,7.772020725388601,2.5906735751295336
W00001839,225,146,135,126,37,89,1,1,0,8,3,5,11,11,7,5,3,2,0,0,0,2,2,0,4,68,31,10,7,16,4,64.88888888888889,60,56.00000000000001,16.444444444444446,39.55555555555556,0.4444444444444444,0.4444444444444444,0,3.5555555555555554,1.3333333333333335,2.2222222222222223,4.888888888888889,4.888888888888889,3.111111111111111,2.2222222222222223,1.3333333333333335,0.8888888888888888,0,0,0,0.8888888888888888,0.8888888888888888,0,1.7777777777777777,30.22222222222222,13.777777777777779,4.444444444444445,3.111111111111111,7.111111111111111,1.7777777777777777
W00001840,233,149,145,125,29,96,3,1,2,17,5,12,4,6,1,1,1,0,0,0,0,0,0,0,5,78,33,8,13,18,6,63.94849785407726,62.231759656652365,53.648068669527895,12.446351931330472,41.201716738197426,1.2875536480686696,0.4291845493562232,0.8583690987124464,7.296137339055794,2.1459227467811157,5.150214592274678,1.7167381974248928,2.575107296137339,0.4291845493562232,0.4291845493562232,0.4291845493562232,0,0,0,0,0,0,0,2.1459227467811157,33.47639484978541,14.163090128755366,3.4334763948497855,5.579399141630901,7.725321888412018,2.575107296137339
W00001841,214,103,98,82,30,52,1,0,1,15,5,10,5,5,4,4,3,1,0,0,0,0,0,0,1,106,68,6,10,14,8,48.13084112149533,45.794392523364486,38.31775700934579,14.018691588785046,24.299065420560748,0.46728971962616817,0,0.46728971962616817,7.009345794392523,2.336448598130841,4.672897196261682,2.336448598130841,2.336448598130841,1.8691588785046727,1.8691588785046727,1.4018691588785046,0.46728971962616817,0,0,0,0,0,0,0.46728971962616817,49.532710280373834,31.775700934579437,2.803738317757009,4.672897196261682,6.5420560747663545,3.7383177570093453
W00001842,217,128,121,110,30,80,1,1,0,10,2,8,7,6,6,6,4,2,0,0,0,0,0,0,0,83,37,6,9,25,6,58.986175115207374,55.76036866359447,50.69124423963134,13.82488479262673,36.86635944700461,0.4608294930875576,0.4608294930875576,0,4.6082949308755765,0.9216589861751152,3.686635944700461,3.225806451612903,2.7649769585253456,2.7649769585253456,2.7649769585253456,1.8433179723502304,0.9216589861751152,0,0,0,0,0,0,0,38.24884792626728,17.050691244239633,2.7649769585253456,4.147465437788019,11.52073732718894,2.7649769585253456
W00001843,219,122,117,106,24,82,3,0,3,8,2,6,5,4,3,2,1,1,0,0,0,1,0,1,1,93,76,7,6,0,4,55.70776255707762,53.42465753424658,48.401826484018265,10.95890410958904,37.44292237442922,1.36986301369863,0,1.36986301369863,3.65296803652968,0.91324200913242,2.73972602739726,2.28310502283105,1.82648401826484,1.36986301369863,0.91324200913242,0.45662100456621,0.45662100456621,0,0,0,0.45662100456621,0,0.45662100456621,0.45662100456621,42.465753424657535,34.70319634703196,3.1963470319634704,2.73972602739726,0,1.82648401826484
W00001844,236,94,94,83,19,64,0,0,0,11,5,6,0,4,3,3,3,0,0,0,0,0,0,0,1,138,123,10,3,2,0,39.83050847457627,39.83050847457627,35.16949152542373,8.050847457627118,27.11864406779661,0,0,0,4.661016949152542,2.11864406779661,2.5423728813559325,0,1.694915254237288,1.2711864406779663,1.2711864406779663,1.2711864406779663,0,0,0,0,0,0,0,0.423728813559322,58.47457627118644,52.118644067796616,4.23728813559322,1.2711864406779663,0.847457627118644,0
W00001845,200,83,82,73,30,43,5,1,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,116,102,6,4,2,2,41.5,41,36.5,15,21.5,2.5,0.5,2,2,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,57.99999999999999,51,3,2,1,1
W00001846,231,102,101,85,30,55,0,0,0,16,8,8,1,1,0,0,0,0,0,0,0,0,0,0,1,128,105,9,6,5,3,44.15584415584416,43.722943722943725,36.79653679653679,12.987012987012985,23.809523809523807,0,0,0,6.926406926406926,3.463203463203463,3.463203463203463,0.4329004329004329,0.4329004329004329,0,0,0,0,0,0,0,0,0,0,0.4329004329004329,55.41125541125541,45.45454545454545,3.896103896103896,2.5974025974025974,2.1645021645021645,1.2987012987012987
W00001847,209,118,114,105,33,72,1,0,1,8,3,5,4,3,1,1,1,0,0,0,0,0,0,0,2,88,76,5,0,7,0,56.45933014354066,54.54545454545454,50.23923444976076,15.789473684210526,34.44976076555024,0.4784688995215311,0,0.4784688995215311,3.827751196172249,1.4354066985645932,2.3923444976076556,1.9138755980861244,1.4354066985645932,0.4784688995215311,0.4784688995215311,0.4784688995215311,0,0,0,0,0,0,0,0.9569377990430622,42.10526315789473,36.36363636363637,2.3923444976076556,0,3.349282296650718,0
W00001848,201,103,99,87,32,55,2,0,2,10,6,4,4,4,1,1,1,0,0,0,0,0,0,0,3,94,82,4,3,2,3,51.243781094527364,49.25373134328358,43.28358208955223,15.92039800995025,27.363184079601986,0.9950248756218906,0,0.9950248756218906,4.975124378109453,2.9850746268656714,1.9900497512437811,1.9900497512437811,1.9900497512437811,0.4975124378109453,0.4975124378109453,0.4975124378109453,0,0,0,0,0,0,0,1.4925373134328357,46.766169154228855,40.79601990049751,1.9900497512437811,1.4925373134328357,0.9950248756218906,1.4925373134328357
W00001849,224,110,105,96,22,74,0,0,0,9,4,5,5,2,1,1,1,0,0,0,0,0,0,0,1,112,80,8,9,10,5,49.107142857142854,46.875,42.857142857142854,9.821428571428571,33.035714285714285,0,0,0,4.017857142857143,1.7857142857142856,2.232142857142857,2.232142857142857,0.8928571428571428,0.4464285714285714,0.4464285714285714,0.4464285714285714,0,0,0,0,0,0,0,0.4464285714285714,50,35.714285714285715,3.571428571428571,4.017857142857143,4.464285714285714,2.232142857142857
W00001850,270,159,157,136,41,95,6,2,4,15,4,11,2,7,6,5,5,0,0,0,0,1,1,0,1,104,78,12,6,8,0,58.88888888888889,58.14814814814815,50.37037037037037,15.185185185185185,35.18518518518518,2.2222222222222223,0.7407407407407408,1.4814814814814816,5.555555555555555,1.4814814814814816,4.074074074074074,0.7407407407407408,2.5925925925925926,2.2222222222222223,1.8518518518518516,1.8518518518518516,0,0,0,0,0.3703703703703704,0.3703703703703704,0,0.3703703703703704,38.51851851851852,28.888888888888886,4.444444444444445,2.2222222222222223,2.9629629629629632,0
W00001851,182,67,65,63,20,43,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,114,103,0,4,6,1,36.81318681318682,35.714285714285715,34.61538461538461,10.989010989010989,23.626373626373624,0,0,0,1.098901098901099,1.098901098901099,0,1.098901098901099,0.5494505494505495,0,0,0,0,0,0,0,0,0,0,0.5494505494505495,62.637362637362635,56.59340659340659,0,2.197802197802198,3.296703296703297,0.5494505494505495
W00001852,223,119,119,106,23,83,3,0,3,10,5,5,0,2,1,1,1,0,0,0,0,0,0,0,1,102,62,17,7,9,7,53.36322869955157,53.36322869955157,47.53363228699551,10.31390134529148,37.219730941704036,1.345291479820628,0,1.345291479820628,4.484304932735426,2.242152466367713,2.242152466367713,0,0.8968609865470852,0.4484304932735426,0.4484304932735426,0.4484304932735426,0,0,0,0,0,0,0,0.4484304932735426,45.73991031390135,27.802690582959645,7.623318385650224,3.1390134529147984,4.0358744394618835,3.1390134529147984
W00001853,280,130,127,98,31,67,9,1,8,20,7,13,3,1,0,0,0,0,0,0,0,0,0,0,1,149,114,12,7,10,6,46.42857142857143,45.357142857142854,35,11.071428571428571,23.92857142857143,3.214285714285714,0.35714285714285715,2.857142857142857,7.142857142857142,2.5,4.642857142857143,1.0714285714285714,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0.35714285714285715,53.214285714285715,40.714285714285715,4.285714285714286,2.5,3.571428571428571,2.142857142857143
W00001854,226,130,126,106,24,82,5,0,5,15,10,5,4,1,1,1,1,0,0,0,0,0,0,0,0,95,82,3,8,1,1,57.52212389380531,55.75221238938053,46.902654867256636,10.619469026548673,36.283185840707965,2.2123893805309733,0,2.2123893805309733,6.637168141592921,4.424778761061947,2.2123893805309733,1.7699115044247788,0.4424778761061947,0.4424778761061947,0.4424778761061947,0.4424778761061947,0,0,0,0,0,0,0,0,42.0353982300885,36.283185840707965,1.3274336283185841,3.5398230088495577,0.4424778761061947,0.4424778761061947
W00001855,222,81,81,66,17,49,3,0,3,12,6,6,0,3,3,2,1,1,0,0,0,1,1,0,0,138,121,5,3,5,4,36.486486486486484,36.486486486486484,29.72972972972973,7.657657657657657,22.07207207207207,1.3513513513513513,0,1.3513513513513513,5.405405405405405,2.7027027027027026,2.7027027027027026,0,1.3513513513513513,1.3513513513513513,0.9009009009009009,0.45045045045045046,0.45045045045045046,0,0,0,0.45045045045045046,0.45045045045045046,0,0,62.16216216216216,54.5045045045045,2.2522522522522523,1.3513513513513513,2.2522522522522523,1.8018018018018018
W00001856,254,133,132,99,28,71,4,1,3,29,16,13,1,3,2,2,2,0,0,0,0,0,0,0,1,118,93,3,8,7,7,52.362204724409445,51.96850393700787,38.976377952755904,11.023622047244094,27.95275590551181,1.574803149606299,0.39370078740157477,1.1811023622047243,11.41732283464567,6.299212598425196,5.118110236220472,0.39370078740157477,1.1811023622047243,0.7874015748031495,0.7874015748031495,0.7874015748031495,0,0,0,0,0,0,0,0.39370078740157477,46.45669291338583,36.61417322834646,1.1811023622047243,3.149606299212598,2.7559055118110236,2.7559055118110236
W00001857,240,145,140,83,31,52,17,3,14,40,9,31,5,2,0,0,0,0,0,0,0,0,0,0,2,93,63,6,13,5,6,60.416666666666664,58.333333333333336,34.583333333333336,12.916666666666668,21.666666666666668,7.083333333333333,1.25,5.833333333333333,16.666666666666664,3.75,12.916666666666668,2.083333333333333,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,38.75,26.25,2.5,5.416666666666667,2.083333333333333,2.5
W00001858,235,138,133,90,32,58,10,2,8,33,21,12,5,0,0,0,0,0,0,0,0,0,0,0,0,97,83,5,0,5,4,58.723404255319146,56.59574468085107,38.297872340425535,13.617021276595745,24.680851063829788,4.25531914893617,0.851063829787234,3.404255319148936,14.042553191489363,8.936170212765958,5.106382978723404,2.127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,41.27659574468085,35.319148936170215,2.127659574468085,0,2.127659574468085,1.702127659574468
W00001859,247,152,146,98,31,67,14,5,9,34,14,20,6,6,6,6,6,0,0,0,0,0,0,0,0,89,60,6,13,4,6,61.53846153846154,59.10931174089069,39.67611336032389,12.550607287449392,27.125506072874494,5.668016194331984,2.0242914979757085,3.643724696356275,13.765182186234817,5.668016194331984,8.097165991902834,2.42914979757085,2.42914979757085,2.42914979757085,2.42914979757085,2.42914979757085,0,0,0,0,0,0,0,0,36.032388663967616,24.291497975708502,2.42914979757085,5.263157894736842,1.6194331983805668,2.42914979757085
W00001860,298,169,160,116,32,84,6,2,4,38,11,27,9,0,0,0,0,0,0,0,0,0,0,0,0,129,85,15,17,7,5,56.711409395973156,53.691275167785236,38.92617449664429,10.738255033557047,28.187919463087248,2.013422818791946,0.6711409395973155,1.342281879194631,12.751677852348994,3.691275167785235,9.060402684563758,3.0201342281879198,0,0,0,0,0,0,0,0,0,0,0,0,43.288590604026844,28.523489932885905,5.033557046979865,5.704697986577181,2.348993288590604,1.6778523489932886
W00001861,407,259,253,187,47,140,12,5,7,54,20,34,6,8,5,5,5,0,0,0,0,0,0,0,3,140,100,19,12,3,6,63.63636363636363,62.16216216216216,45.94594594594595,11.547911547911548,34.3980343980344,2.9484029484029484,1.2285012285012284,1.71990171990172,13.267813267813267,4.914004914004914,8.353808353808354,1.4742014742014742,1.9656019656019657,1.2285012285012284,1.2285012285012284,1.2285012285012284,0,0,0,0,0,0,0,0.7371007371007371,34.3980343980344,24.57002457002457,4.668304668304668,2.9484029484029484,0.7371007371007371,1.4742014742014742
