OA,ts0460001,ts0460002,ts0460003,ts0460004,ts0460005,ts0460006,ts0460007,ts0460008,ts0460009,ts0460010,ts0460011,ts0460012,ts0460013,ts0460002_PCT,ts0460003_PCT,ts0460004_PCT,ts0460005_PCT,ts0460006_PCT,ts0460007_PCT,ts0460008_PCT,ts0460009_PCT,ts0460010_PCT,ts0460011_PCT,ts0460012_PCT,ts0460013_PCT
E00069547,157,5,9,5,27,70,0,3,12,0,1,22,3,3.1847133757961785,5.7324840764331215,3.1847133757961785,17.197452229299362,44.5859872611465,0,1.910828025477707,7.643312101910828,0,0.6369426751592357,14.012738853503185,1.910828025477707
E00069548,216,2,12,12,26,119,2,1,7,0,0,28,7,0.9259259259259258,5.555555555555555,5.555555555555555,12.037037037037036,55.092592592592595,0.9259259259259258,0.4629629629629629,3.2407407407407405,0,0,12.962962962962962,3.2407407407407405
E00069549,94,1,68,1,2,8,0,0,0,0,0,14,0,1.0638297872340425,72.3404255319149,1.0638297872340425,2.127659574468085,8.51063829787234,0,0,0,0,0,14.893617021276595,0
E00069550,107,2,19,4,6,54,2,4,3,0,0,12,1,1.8691588785046727,17.75700934579439,3.7383177570093453,5.607476635514018,50.467289719626166,1.8691588785046727,3.7383177570093453,2.803738317757009,0,0,11.214953271028037,0.9345794392523363
E00069551,99,1,80,3,5,0,0,0,0,0,0,8,2,1.0101010101010102,80.8080808080808,3.0303030303030303,5.05050505050505,0,0,0,0,0,0,8.080808080808081,2.0202020202020203
E00069552,114,1,91,0,1,11,0,0,0,0,0,10,0,0.8771929824561403,79.82456140350878,0,0.8771929824561403,9.649122807017543,0,0,0,0,0,8.771929824561402,0
E00069553,125,0,88,0,9,18,0,0,0,0,0,10,0,0,70.39999999999999,0,7.199999999999999,14.399999999999999,0,0,0,0,0,8,0
E00069554,143,0,92,0,3,32,1,0,0,0,1,13,1,0,64.33566433566433,0,2.097902097902098,22.377622377622377,0.6993006993006993,0,0,0,0.6993006993006993,9.090909090909092,0.6993006993006993
E00069556,97,0,67,3,5,1,0,0,0,0,1,20,0,0,69.0721649484536,3.0927835051546393,5.154639175257731,1.0309278350515463,0,0,0,0,1.0309278350515463,20.618556701030926,0
E00069557,129,2,70,1,7,16,0,1,2,13,0,16,1,1.550387596899225,54.263565891472865,0.7751937984496124,5.426356589147287,12.4031007751938,0,0.7751937984496124,1.550387596899225,10.077519379844961,0,12.4031007751938,0.7751937984496124
E00069558,134,0,94,1,3,14,0,0,2,1,2,15,2,0,70.1492537313433,0.7462686567164178,2.2388059701492535,10.44776119402985,0,0,1.4925373134328357,0.7462686567164178,1.4925373134328357,11.194029850746269,1.4925373134328357
E00069559,104,2,66,2,10,6,1,1,0,0,0,14,2,1.9230769230769231,63.46153846153846,1.9230769230769231,9.615384615384617,5.769230769230769,0.9615384615384616,0.9615384615384616,0,0,0,13.461538461538462,1.9230769230769231
E00069560,126,2,68,0,5,22,3,4,0,0,0,21,1,1.5873015873015872,53.96825396825397,0,3.968253968253968,17.46031746031746,2.380952380952381,3.1746031746031744,0,0,0,16.666666666666664,0.7936507936507936
E00069561,155,1,80,2,10,36,3,1,0,0,0,19,3,0.6451612903225806,51.61290322580645,1.2903225806451613,6.451612903225806,23.225806451612904,1.935483870967742,0.6451612903225806,0,0,0,12.258064516129032,1.935483870967742
E00069562,126,3,56,0,16,27,1,0,0,0,0,20,3,2.380952380952381,44.44444444444444,0,12.698412698412698,21.428571428571427,0.7936507936507936,0,0,0,0,15.873015873015872,2.380952380952381
E00069563,132,3,90,1,14,7,1,4,0,0,0,10,2,2.272727272727273,68.18181818181817,0.7575757575757576,10.606060606060606,5.303030303030303,0.7575757575757576,3.0303030303030303,0,0,0,7.575757575757576,1.5151515151515151
E00069564,85,0,27,4,6,30,0,0,4,0,0,11,3,0,31.76470588235294,4.705882352941177,7.0588235294117645,35.294117647058826,0,0,4.705882352941177,0,0,12.941176470588237,3.5294117647058822
E00069565,83,0,9,4,2,49,0,0,0,0,0,16,3,0,10.843373493975903,4.819277108433735,2.4096385542168677,59.036144578313255,0,0,0,0,0,19.27710843373494,3.614457831325301
E00069566,160,3,92,18,5,15,1,1,0,1,0,23,1,1.875,57.49999999999999,11.25,3.125,9.375,0.625,0.625,0,0.625,0,14.374999999999998,0.625
E00069567,177,0,123,0,5,24,2,1,0,0,1,15,6,0,69.49152542372882,0,2.824858757062147,13.559322033898304,1.1299435028248588,0.5649717514124294,0,0,0.5649717514124294,8.47457627118644,3.389830508474576
E00069569,214,1,159,0,4,14,0,0,4,0,0,30,2,0.46728971962616817,74.29906542056075,0,1.8691588785046727,6.5420560747663545,0,0,1.8691588785046727,0,0,14.018691588785046,0.9345794392523363
E00069570,167,3,125,0,3,6,1,1,4,6,0,18,0,1.7964071856287425,74.8502994011976,0,1.7964071856287425,3.592814371257485,0.5988023952095809,0.5988023952095809,2.3952095808383236,3.592814371257485,0,10.778443113772456,0
E00069571,121,1,86,0,18,3,0,0,0,0,0,12,1,0.8264462809917356,71.07438016528926,0,14.87603305785124,2.479338842975207,0,0,0,0,0,9.917355371900827,0.8264462809917356
E00069572,148,2,99,1,12,17,0,1,0,0,0,16,0,1.3513513513513513,66.8918918918919,0.6756756756756757,8.108108108108109,11.486486486486488,0,0.6756756756756757,0,0,0,10.81081081081081,0
E00069573,123,1,85,1,4,13,0,0,0,0,0,19,0,0.8130081300813009,69.10569105691057,0.8130081300813009,3.2520325203252036,10.569105691056912,0,0,0,0,0,15.447154471544716,0
E00069574,161,0,110,0,0,33,0,0,2,0,0,11,5,0,68.32298136645963,0,0,20.496894409937887,0,0,1.2422360248447204,0,0,6.832298136645963,3.1055900621118013
E00069575,119,1,79,0,3,20,0,1,0,0,0,12,3,0.8403361344537815,66.38655462184873,0,2.5210084033613445,16.80672268907563,0,0.8403361344537815,0,0,0,10.084033613445378,2.5210084033613445
E00069576,91,2,10,16,8,42,3,3,0,0,0,6,1,2.197802197802198,10.989010989010989,17.582417582417584,8.791208791208792,46.15384615384615,3.296703296703297,3.296703296703297,0,0,0,6.593406593406594,1.098901098901099
E00069577,71,0,18,1,42,4,1,0,0,0,0,5,0,0,25.352112676056336,1.4084507042253522,59.154929577464785,5.633802816901409,1.4084507042253522,0,0,0,0,7.042253521126761,0
E00069578,139,1,112,0,1,11,0,0,0,0,0,13,1,0.7194244604316548,80.57553956834532,0,0.7194244604316548,7.913669064748201,0,0,0,0,0,9.352517985611511,0.7194244604316548
E00069579,158,0,113,30,3,1,0,0,0,0,0,10,1,0,71.51898734177216,18.9873417721519,1.89873417721519,0.6329113924050633,0,0,0,0,0,6.329113924050633,0.6329113924050633
E00069580,192,4,87,55,8,12,2,0,2,0,1,21,0,2.083333333333333,45.3125,28.645833333333332,4.166666666666666,6.25,1.0416666666666665,0,1.0416666666666665,0,0.5208333333333333,10.9375,0
E00069581,147,0,115,0,2,8,0,1,1,0,0,19,1,0,78.2312925170068,0,1.3605442176870748,5.442176870748299,0,0.6802721088435374,0.6802721088435374,0,0,12.925170068027212,0.6802721088435374
E00069582,100,2,59,0,6,16,0,0,6,0,0,11,0,2,59,0,6,16,0,0,6,0,0,11,0
E00069583,131,0,92,0,3,16,0,1,0,0,1,17,1,0,70.22900763358778,0,2.2900763358778624,12.213740458015266,0,0.7633587786259541,0,0,0.7633587786259541,12.977099236641221,0.7633587786259541
E00069584,87,0,60,0,3,10,0,2,1,0,0,9,2,0,68.96551724137932,0,3.4482758620689653,11.494252873563218,0,2.2988505747126435,1.1494252873563218,0,0,10.344827586206897,2.2988505747126435
E00069585,171,0,114,1,4,23,1,0,0,0,0,27,1,0,66.66666666666666,0.5847953216374269,2.3391812865497075,13.450292397660817,0.5847953216374269,0,0,0,0,15.789473684210526,0.5847953216374269
E00069586,113,0,66,1,6,17,0,1,2,0,0,18,2,0,58.4070796460177,0.8849557522123894,5.3097345132743365,15.04424778761062,0,0.8849557522123894,1.7699115044247788,0,0,15.929203539823009,1.7699115044247788
E00069587,57,0,9,0,2,32,0,0,4,0,0,10,0,0,15.789473684210526,0,3.508771929824561,56.14035087719298,0,0,7.017543859649122,0,0,17.543859649122805,0
E00069588,165,1,116,1,9,18,0,0,4,1,1,12,2,0.6060606060606061,70.3030303030303,0.6060606060606061,5.454545454545454,10.909090909090908,0,0,2.4242424242424243,0.6060606060606061,0.6060606060606061,7.2727272727272725,1.2121212121212122
E00069589,152,0,93,0,3,25,0,0,2,0,0,28,1,0,61.18421052631579,0,1.9736842105263157,16.447368421052634,0,0,1.3157894736842104,0,0,18.421052631578945,0.6578947368421052
E00069590,140,1,10,7,18,68,0,5,8,0,0,18,5,0.7142857142857143,7.142857142857142,5,12.857142857142856,48.57142857142857,0,3.571428571428571,5.714285714285714,0,0,12.857142857142856,3.571428571428571
E00069591,207,2,158,1,9,14,0,0,2,0,0,20,1,0.966183574879227,76.32850241545893,0.4830917874396135,4.3478260869565215,6.763285024154589,0,0,0.966183574879227,0,0,9.66183574879227,0.4830917874396135
E00069593,124,0,74,0,2,34,1,0,0,0,0,13,0,0,59.67741935483871,0,1.6129032258064515,27.419354838709676,0.8064516129032258,0,0,0,0,10.483870967741936,0
E00069594,139,0,100,3,6,16,1,0,0,0,0,10,3,0,71.94244604316546,2.158273381294964,4.316546762589928,11.510791366906476,0.7194244604316548,0,0,0,0,7.1942446043165464,2.158273381294964
E00069595,134,1,98,1,6,18,0,0,0,0,0,10,0,0.7462686567164178,73.13432835820896,0.7462686567164178,4.477611940298507,13.432835820895523,0,0,0,0,0,7.462686567164178,0
E00069596,166,0,121,3,7,9,0,1,7,0,0,15,3,0,72.89156626506023,1.8072289156626504,4.216867469879518,5.421686746987952,0,0.6024096385542169,4.216867469879518,0,0,9.036144578313253,1.8072289156626504
E00069597,166,0,114,0,6,21,1,0,2,0,0,18,4,0,68.67469879518072,0,3.614457831325301,12.650602409638553,0.6024096385542169,0,1.2048192771084338,0,0,10.843373493975903,2.4096385542168677
E00069598,95,2,66,1,2,10,2,0,0,0,0,11,1,2.1052631578947367,69.47368421052632,1.0526315789473684,2.1052631578947367,10.526315789473683,2.1052631578947367,0,0,0,0,11.578947368421053,1.0526315789473684
E00069599,116,0,83,0,4,7,0,0,3,0,0,17,2,0,71.55172413793103,0,3.4482758620689653,6.0344827586206895,0,0,2.586206896551724,0,0,14.655172413793101,1.7241379310344827
E00069600,137,0,121,0,0,2,0,0,0,0,1,8,5,0,88.32116788321169,0,0,1.4598540145985401,0,0,0,0,0.7299270072992701,5.839416058394161,3.64963503649635
E00069601,134,5,97,0,20,2,0,1,0,0,0,9,0,3.731343283582089,72.38805970149254,0,14.925373134328357,1.4925373134328357,0,0.7462686567164178,0,0,0,6.7164179104477615,0
E00069602,169,0,130,0,13,5,0,0,0,4,2,15,0,0,76.92307692307693,0,7.6923076923076925,2.9585798816568047,0,0,0,2.366863905325444,1.183431952662722,8.875739644970414,0
E00069603,131,0,117,0,1,2,1,0,1,0,0,7,2,0,89.31297709923665,0,0.7633587786259541,1.5267175572519083,0.7633587786259541,0,0.7633587786259541,0,0,5.343511450381679,1.5267175572519083
E00069604,151,1,128,1,4,3,0,0,3,0,0,8,3,0.6622516556291391,84.76821192052981,0.6622516556291391,2.6490066225165565,1.9867549668874174,0,0,1.9867549668874174,0,0,5.298013245033113,1.9867549668874174
E00069607,165,0,146,2,0,1,0,0,0,0,0,13,3,0,88.48484848484848,1.2121212121212122,0,0.6060606060606061,0,0,0,0,0,7.878787878787878,1.8181818181818181
E00069609,111,0,101,0,4,0,0,0,0,0,0,6,0,0,90.990990990991,0,3.6036036036036037,0,0,0,0,0,0,5.405405405405405,0
E00069610,135,0,119,0,1,0,0,2,1,0,1,10,1,0,88.14814814814815,0,0.7407407407407408,0,0,1.4814814814814816,0.7407407407407408,0,0.7407407407407408,7.4074074074074066,0.7407407407407408
E00069611,124,0,101,0,5,3,0,0,0,0,0,13,2,0,81.45161290322581,0,4.032258064516129,2.4193548387096775,0,0,0,0,0,10.483870967741936,1.6129032258064515
E00069612,119,4,95,0,7,0,0,0,1,1,1,10,0,3.361344537815126,79.83193277310924,0,5.88235294117647,0,0,0,0.8403361344537815,0.8403361344537815,0.8403361344537815,8.403361344537815,0
E00069613,226,4,187,2,5,1,0,0,0,0,0,27,0,1.7699115044247788,82.7433628318584,0.8849557522123894,2.2123893805309733,0.4424778761061947,0,0,0,0,0,11.946902654867257,0
E00069614,157,0,137,1,5,1,0,0,0,0,0,13,0,0,87.26114649681529,0.6369426751592357,3.1847133757961785,0.6369426751592357,0,0,0,0,0,8.280254777070063,0
E00069615,120,1,78,0,28,1,0,0,0,0,1,11,0,0.8333333333333334,65,0,23.333333333333332,0.8333333333333334,0,0,0,0,0.8333333333333334,9.166666666666666,0
E00069616,143,0,122,0,3,0,1,0,0,0,0,14,3,0,85.3146853146853,0,2.097902097902098,0,0.6993006993006993,0,0,0,0,9.79020979020979,2.097902097902098
E00069617,169,2,150,0,4,1,0,0,0,0,3,9,0,1.183431952662722,88.75739644970415,0,2.366863905325444,0.591715976331361,0,0,0,0,1.7751479289940828,5.325443786982249,0
E00069618,112,0,101,0,2,1,0,0,0,0,0,6,2,0,90.17857142857143,0,1.7857142857142856,0.8928571428571428,0,0,0,0,0,5.357142857142857,1.7857142857142856
E00069619,136,3,112,0,5,0,1,0,0,0,1,12,2,2.2058823529411766,82.35294117647058,0,3.6764705882352944,0,0.7352941176470588,0,0,0,0.7352941176470588,8.823529411764707,1.4705882352941175
E00069620,146,6,103,0,19,0,0,0,1,0,0,16,1,4.10958904109589,70.54794520547945,0,13.013698630136986,0,0,0,0.684931506849315,0,0,10.95890410958904,0.684931506849315
E00069621,214,1,193,0,3,1,0,0,0,0,0,11,5,0.46728971962616817,90.18691588785047,0,1.4018691588785046,0.46728971962616817,0,0,0,0,0,5.14018691588785,2.336448598130841
E00069622,136,1,104,0,17,2,0,0,1,2,1,7,1,0.7352941176470588,76.47058823529412,0,12.5,1.4705882352941175,0,0,0.7352941176470588,1.4705882352941175,0.7352941176470588,5.147058823529411,0.7352941176470588
E00069623,201,0,185,0,1,1,0,0,0,0,1,12,1,0,92.03980099502488,0,0.4975124378109453,0.4975124378109453,0,0,0,0,0.4975124378109453,5.970149253731343,0.4975124378109453
E00069625,196,0,111,0,23,2,1,0,43,0,1,9,6,0,56.63265306122449,0,11.73469387755102,1.0204081632653061,0.5102040816326531,0,21.93877551020408,0,0.5102040816326531,4.591836734693878,3.061224489795918
E00069626,152,0,104,0,22,3,0,0,2,0,1,16,4,0,68.42105263157895,0,14.473684210526317,1.9736842105263157,0,0,1.3157894736842104,0,0.6578947368421052,10.526315789473683,2.631578947368421
E00069627,131,0,120,0,4,3,0,0,0,0,1,3,0,0,91.6030534351145,0,3.0534351145038165,2.2900763358778624,0,0,0,0,0.7633587786259541,2.2900763358778624,0
E00069628,177,1,139,0,10,2,0,0,1,3,2,15,4,0.5649717514124294,78.53107344632768,0,5.649717514124294,1.1299435028248588,0,0,0.5649717514124294,1.694915254237288,1.1299435028248588,8.47457627118644,2.2598870056497176
E00069629,144,0,127,0,1,3,0,0,2,0,0,11,0,0,88.19444444444444,0,0.6944444444444444,2.083333333333333,0,0,1.3888888888888888,0,0,7.638888888888889,0
E00069630,146,0,132,1,0,3,0,0,0,0,0,7,3,0,90.41095890410958,0.684931506849315,0,2.054794520547945,0,0,0,0,0,4.794520547945205,2.054794520547945
E00069631,134,0,119,0,4,1,0,0,0,0,0,8,2,0,88.80597014925374,0,2.9850746268656714,0.7462686567164178,0,0,0,0,0,5.970149253731343,1.4925373134328357
E00069632,136,0,109,0,3,5,0,0,0,0,0,16,3,0,80.14705882352942,0,2.2058823529411766,3.6764705882352944,0,0,0,0,0,11.76470588235294,2.2058823529411766
E00069633,182,0,11,3,45,95,0,2,6,1,0,16,3,0,6.043956043956044,1.6483516483516485,24.725274725274726,52.197802197802204,0,1.098901098901099,3.296703296703297,0.5494505494505495,0,8.791208791208792,1.6483516483516485
E00069634,211,2,136,0,11,35,0,1,3,0,0,21,2,0.9478672985781991,64.45497630331754,0,5.213270142180095,16.587677725118482,0,0.47393364928909953,1.4218009478672986,0,0,9.95260663507109,0.9478672985781991
E00069635,104,1,55,0,2,31,1,1,1,0,0,12,0,0.9615384615384616,52.88461538461539,0,1.9230769230769231,29.807692307692307,0.9615384615384616,0.9615384615384616,0.9615384615384616,0,0,11.538461538461538,0
E00069636,131,2,94,1,3,15,0,1,0,0,2,13,0,1.5267175572519083,71.7557251908397,0.7633587786259541,2.2900763358778624,11.450381679389313,0,0.7633587786259541,0,0,1.5267175572519083,9.923664122137405,0
