OA,ts0050001,ts0050002,ts0050003,ts0050004,ts0050005,ts0050006,ts0050007,ts0050008,ts0050009,ts0050010,ts0050011,ts0050012,ts0050013,ts0050014,ts0050015,ts0050016,ts0050017,ts0050018,ts0050019,ts0050020,ts0050021,ts0050022,ts0050023,ts0050024,ts0050025,ts0050026,ts0050027,ts0050028,ts0050029,ts0050030,ts0050031,ts0050032,ts0050033,ts0050034,ts0050002_PCT,ts0050003_PCT,ts0050004_PCT,ts0050005_PCT,ts0050006_PCT,ts0050007_PCT,ts0050008_PCT,ts0050009_PCT,ts0050010_PCT,ts0050011_PCT,ts0050012_PCT,ts0050013_PCT,ts0050014_PCT,ts0050015_PCT,ts0050016_PCT,ts0050017_PCT,ts0050018_PCT,ts0050019_PCT,ts0050020_PCT,ts0050021_PCT,ts0050022_PCT,ts0050023_PCT,ts0050024_PCT,ts0050025_PCT,ts0050026_PCT,ts0050027_PCT,ts0050028_PCT,ts0050029_PCT,ts0050030_PCT,ts0050031_PCT,ts0050032_PCT,ts0050033_PCT,ts0050034_PCT
W00009177,330,300,295,1,4,4,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,28,90.9090909090909,89.39393939393939,0.30303030303030304,1.2121212121212122,1.2121212121212122,0,0.30303030303030304,0.30303030303030304,0,0,0,0,0,0.6060606060606061,0,0,0,0.30303030303030304,0,0,0.30303030303030304,0.30303030303030304,0,0.30303030303030304,0,0,0,0,0,0,0,0,8.484848484848486
W00009178,244,238,227,4,7,6,0,1,0,0,0,0,5,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,97.54098360655738,93.0327868852459,1.639344262295082,2.8688524590163933,2.459016393442623,0,0.4098360655737705,0,0,0,0,2.0491803278688523,0,0,0.4098360655737705,0.4098360655737705,0,0.4098360655737705,0,0.4098360655737705,0,0,0,0,0,0,0,0,0,0,0,0,2.0491803278688523
W00009180,339,319,318,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,94.10029498525073,93.80530973451327,0,0.2949852507374631,0.2949852507374631,0.2949852507374631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2949852507374631,0,5.604719764011799
W00009181,533,495,484,5,6,6,0,0,0,0,0,1,0,0,5,0,0,0,8,5,3,0,9,0,2,7,0,0,0,0,0,0,0,21,92.87054409005628,90.80675422138836,0.9380863039399625,1.125703564727955,1.125703564727955,0,0,0,0,0,0.18761726078799248,0,0,0.9380863039399625,0,0,0,1.5009380863039399,0.9380863039399625,0.5628517823639775,0,1.6885553470919326,0,0.37523452157598497,1.3133208255159476,0,0,0,0,0,0,0,3.9399624765478425
W00009184,306,288,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,94.11764705882352,93.79084967320262,0.32679738562091504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88235294117647
W00009175,331,317,313,1,3,3,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,95.77039274924472,94.5619335347432,0.3021148036253776,0.906344410876133,0.906344410876133,0,0,0,0.3021148036253776,0.3021148036253776,0,0,0,0.3021148036253776,0,0,0,1.2084592145015105,0,0,1.2084592145015105,0,0,0,0,0,0,0,0,0,0,0,3.0211480362537766
W00009176,363,350,337,9,4,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,96.41873278236915,92.8374655647383,2.479338842975207,1.1019283746556474,1.1019283746556474,0,0,0,0,0,0,0.27548209366391185,0,0.8264462809917356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27548209366391185,0.27548209366391185,0,0,0,3.3057851239669422
W00009179,319,296,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,1,0,0,1,0,0,0,0,0,0,0,16,92.78996865203762,92.47648902821317,0.3134796238244514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8808777429467085,1.5673981191222568,0,0.3134796238244514,0.3134796238244514,0,0,0.3134796238244514,0,0,0,0,0,0,0,5.015673981191222
W00009182,310,300,291,5,4,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,8,96.7741935483871,93.87096774193549,1.6129032258064515,1.2903225806451613,1.2903225806451613,0,0,0.6451612903225806,0,0,0,0,0,0.6451612903225806,0,0,0,0,0,0,0,0.3225806451612903,0,0,0.3225806451612903,0,0,0.3225806451612903,0.3225806451612903,0,0,0,2.5806451612903225
W00009183,421,398,394,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,1,0,16,94.53681710213777,93.58669833729216,0.23752969121140144,0.7125890736342043,0.7125890736342043,0,0.23752969121140144,0.4750593824228029,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4251781472684086,0,0.4750593824228029,0.9501187648456058,0,0,0,0,0,0.23752969121140144,0,3.800475059382423
W00009264,290,278,264,4,10,10,0,0,3,0,2,0,3,0,2,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,9,95.86206896551724,91.0344827586207,1.3793103448275863,3.4482758620689653,3.4482758620689653,0,0,1.0344827586206897,0,0.6896551724137931,0,1.0344827586206897,0,0.6896551724137931,0,0,0,0,0,0,0,1.0344827586206897,0,0.3448275862068966,0.6896551724137931,0,0,0,0,0,0,0,3.103448275862069
W00009265,274,245,235,0,10,9,0,0,2,2,0,0,4,0,1,1,0,1,2,0,0,2,6,0,6,0,0,0,0,0,0,0,0,21,89.41605839416059,85.76642335766424,0,3.64963503649635,3.2846715328467155,0,0,0.7299270072992701,0.7299270072992701,0,0,1.4598540145985401,0,0.36496350364963503,0.36496350364963503,0,0.36496350364963503,0.7299270072992701,0,0,0.7299270072992701,2.18978102189781,0,2.18978102189781,0,0,0,0,0,0,0,0,7.664233576642336
W00009266,256,237,230,3,4,3,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,92.578125,89.84375,1.171875,1.5625,1.171875,0,0,0,0,0,0,0,0,1.171875,0.390625,0,0.390625,0,0,0,0,0.390625,0,0,0,0.390625,0,0,0,0,0,0,7.03125
W00009268,238,205,194,1,10,10,0,1,1,0,0,0,3,1,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,86.1344537815126,81.5126050420168,0.42016806722689076,4.201680672268908,4.201680672268908,0,0.42016806722689076,0.42016806722689076,0,0,0,1.2605042016806722,0.42016806722689076,1.680672268907563,0,0,0,1.2605042016806722,0,0,1.2605042016806722,0,0,0,0,0,0,0,0,0,0,0,12.605042016806722
W00009272,281,263,259,1,3,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,93.59430604982207,92.17081850533808,0.3558718861209964,1.0676156583629894,1.0676156583629894,0,0,0.7117437722419928,0,0,0,0,0.3558718861209964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.405693950177936
W00009249,297,278,270,1,7,7,0,0,0,0,0,0,1,2,4,0,0,0,2,0,1,1,4,1,0,0,3,0,2,2,0,3,0,8,93.60269360269359,90.9090909090909,0.33670033670033667,2.356902356902357,2.356902356902357,0,0,0,0,0,0,0.33670033670033667,0.6734006734006733,1.3468013468013467,0,0,0,0.6734006734006733,0,0.33670033670033667,0.33670033670033667,1.3468013468013467,0.33670033670033667,0,0,1.0101010101010102,0,0.6734006734006733,0.6734006734006733,0,1.0101010101010102,0,2.6936026936026933
W00009276,341,320,313,4,3,3,1,1,0,0,0,0,0,0,1,0,0,0,4,2,0,2,2,0,1,1,0,0,0,0,0,0,0,15,93.841642228739,91.78885630498533,1.1730205278592376,0.8797653958944283,0.8797653958944283,0.2932551319648094,0.2932551319648094,0,0,0,0,0,0,0.2932551319648094,0,0,0,1.1730205278592376,0.5865102639296188,0,0.5865102639296188,0.5865102639296188,0,0.2932551319648094,0.2932551319648094,0,0,0,0,0,0,0,4.398826979472141
