OA,ts0020001,ts0020002,ts0020003,ts0020004,ts0020005,ts0020006,ts0020007,ts0020008,ts0020009,ts0020010,ts0020011,ts0020012,ts0020013,ts0020014,ts0020015,ts0020016,ts0020017,ts0020018,ts0020002_PCT,ts0020003_PCT,ts0020004_PCT,ts0020005_PCT,ts0020006_PCT,ts0020007_PCT,ts0020008_PCT,ts0020009_PCT,ts0020010_PCT,ts0020011_PCT,ts0020012_PCT,ts0020013_PCT,ts0020014_PCT,ts0020015_PCT,ts0020016_PCT,ts0020017_PCT,ts0020018_PCT
W00009177,270,81,145,145,143,2,0,0,0,11,11,0,16,16,0,17,17,0,30,53.70370370370371,53.70370370370371,52.96296296296297,0.7407407407407408,0,0,0,4.074074074074074,4.074074074074074,0,5.9259259259259265,5.9259259259259265,0,6.296296296296296,6.296296296296296,0
W00009178,219,46,134,132,130,2,2,0,2,1,1,0,29,29,0,9,9,0,21.00456621004566,61.18721461187214,60.273972602739725,59.3607305936073,0.91324200913242,0.91324200913242,0,0.91324200913242,0.45662100456621,0.45662100456621,0,13.24200913242009,13.24200913242009,0,4.10958904109589,4.10958904109589,0
W00009180,272,64,166,166,166,0,0,0,0,3,3,0,17,17,0,22,22,0,23.52941176470588,61.029411764705884,61.029411764705884,61.029411764705884,0,0,0,0,1.1029411764705883,1.1029411764705883,0,6.25,6.25,0,8.088235294117647,8.088235294117647,0
W00009181,425,107,270,270,270,0,0,0,0,5,5,0,25,25,0,18,18,0,25.176470588235293,63.52941176470588,63.52941176470588,63.52941176470588,0,0,0,0,1.1764705882352942,1.1764705882352942,0,5.88235294117647,5.88235294117647,0,4.235294117647059,4.235294117647059,0
W00009184,250,48,168,166,166,0,2,0,2,4,4,0,6,6,0,24,24,0,19.2,67.2,66.4,66.4,0,0.8,0,0.8,1.6,1.6,0,2.4,2.4,0,9.6,9.6,0
W00009175,277,66,172,172,170,2,0,0,0,2,2,0,18,18,0,19,19,0,23.826714801444044,62.093862815884485,62.093862815884485,61.371841155234655,0.7220216606498195,0,0,0,0.7220216606498195,0.7220216606498195,0,6.4981949458483745,6.4981949458483745,0,6.859205776173286,6.859205776173286,0
W00009176,312,71,201,201,201,0,0,0,0,3,3,0,16,16,0,21,21,0,22.756410256410255,64.42307692307693,64.42307692307693,64.42307692307693,0,0,0,0,0.9615384615384616,0.9615384615384616,0,5.128205128205128,5.128205128205128,0,6.730769230769231,6.730769230769231,0
W00009179,272,65,171,169,169,0,2,0,2,2,2,0,10,10,0,24,24,0,23.897058823529413,62.86764705882353,62.13235294117647,62.13235294117647,0,0.7352941176470588,0,0.7352941176470588,0.7352941176470588,0.7352941176470588,0,3.6764705882352944,3.6764705882352944,0,8.823529411764707,8.823529411764707,0
W00009182,266,44,190,190,190,0,0,0,0,0,0,0,10,10,0,22,22,0,16.541353383458645,71.42857142857143,71.42857142857143,71.42857142857143,0,0,0,0,0,0,0,3.7593984962406015,3.7593984962406015,0,8.270676691729323,8.270676691729323,0
W00009183,346,58,258,258,258,0,0,0,0,3,3,0,14,14,0,13,13,0,16.76300578034682,74.56647398843931,74.56647398843931,74.56647398843931,0,0,0,0,0.8670520231213872,0.8670520231213872,0,4.046242774566474,4.046242774566474,0,3.7572254335260116,3.7572254335260116,0
W00009264,243,67,144,144,144,0,0,0,0,8,8,0,13,13,0,11,11,0,27.572016460905353,59.25925925925925,59.25925925925925,59.25925925925925,0,0,0,0,3.292181069958848,3.292181069958848,0,5.349794238683128,5.349794238683128,0,4.526748971193416,4.526748971193416,0
W00009265,222,98,85,85,83,2,0,0,0,4,4,0,28,28,0,7,7,0,44.14414414414414,38.288288288288285,38.288288288288285,37.38738738738739,0.9009009009009009,0,0,0,1.8018018018018018,1.8018018018018018,0,12.612612612612612,12.612612612612612,0,3.153153153153153,3.153153153153153,0
W00009266,212,97,85,85,83,2,0,0,0,4,4,0,23,23,0,3,3,0,45.75471698113208,40.09433962264151,40.09433962264151,39.15094339622642,0.9433962264150944,0,0,0,1.8867924528301887,1.8867924528301887,0,10.849056603773585,10.849056603773585,0,1.4150943396226416,1.4150943396226416,0
W00009268,194,104,63,62,61,1,1,1,0,3,3,0,20,20,0,4,4,0,53.608247422680414,32.47422680412371,31.958762886597935,31.443298969072163,0.5154639175257731,0.5154639175257731,0.5154639175257731,0,1.5463917525773196,1.5463917525773196,0,10.309278350515463,10.309278350515463,0,2.0618556701030926,2.0618556701030926,0
W00009272,240,74,131,129,129,0,2,0,2,4,4,0,20,20,0,11,11,0,30.833333333333336,54.58333333333333,53.75,53.75,0,0.8333333333333334,0,0.8333333333333334,1.6666666666666667,1.6666666666666667,0,8.333333333333332,8.333333333333332,0,4.583333333333333,4.583333333333333,0
W00009249,268,75,154,151,151,0,3,0,3,1,1,0,17,17,0,21,21,0,27.985074626865668,57.46268656716418,56.343283582089555,56.343283582089555,0,1.1194029850746268,0,1.1194029850746268,0.3731343283582089,0.3731343283582089,0,6.343283582089552,6.343283582089552,0,7.835820895522389,7.835820895522389,0
W00009276,295,68,182,180,180,0,2,0,2,1,1,0,25,25,0,19,19,0,23.050847457627118,61.694915254237294,61.016949152542374,61.016949152542374,0,0.6779661016949152,0,0.6779661016949152,0.3389830508474576,0.3389830508474576,0,8.47457627118644,8.47457627118644,0,6.440677966101695,6.440677966101695,0
W00009287,240,45,148,148,148,0,0,0,0,0,0,0,20,20,0,27,26,1,18.75,61.66666666666667,61.66666666666667,61.66666666666667,0,0,0,0,0,0,0,8.333333333333332,8.333333333333332,0,11.25,10.833333333333334,0.4166666666666667
W00009292,308,70,126,126,126,0,0,0,0,1,1,0,28,28,0,83,83,0,22.727272727272727,40.909090909090914,40.909090909090914,40.909090909090914,0,0,0,0,0.3246753246753247,0.3246753246753247,0,9.090909090909092,9.090909090909092,0,26.948051948051948,26.948051948051948,0
W00009242,262,103,122,120,120,0,2,0,2,7,7,0,26,26,0,4,4,0,39.31297709923664,46.56488549618321,45.80152671755725,45.80152671755725,0,0.7633587786259541,0,0.7633587786259541,2.6717557251908395,2.6717557251908395,0,9.923664122137405,9.923664122137405,0,1.5267175572519083,1.5267175572519083,0
W00009243,276,64,184,184,184,0,0,0,0,5,5,0,11,11,0,12,12,0,23.18840579710145,66.66666666666666,66.66666666666666,66.66666666666666,0,0,0,0,1.8115942028985508,1.8115942028985508,0,3.985507246376811,3.985507246376811,0,4.3478260869565215,4.3478260869565215,0
W00009262,237,77,136,136,136,0,0,0,0,0,0,0,15,15,0,9,9,0,32.48945147679325,57.383966244725734,57.383966244725734,57.383966244725734,0,0,0,0,0,0,0,6.329113924050633,6.329113924050633,0,3.79746835443038,3.79746835443038,0
W00009263,338,148,141,141,138,3,0,0,0,7,7,0,36,36,0,6,6,0,43.786982248520715,41.71597633136095,41.71597633136095,40.828402366863905,0.8875739644970414,0,0,0,2.0710059171597637,2.0710059171597637,0,10.650887573964498,10.650887573964498,0,1.7751479289940828,1.7751479289940828,0
W00009244,217,92,107,107,105,2,0,0,0,1,1,0,14,14,0,3,3,0,42.3963133640553,49.30875576036866,49.30875576036866,48.38709677419355,0.9216589861751152,0,0,0,0.4608294930875576,0.4608294930875576,0,6.451612903225806,6.451612903225806,0,1.3824884792626728,1.3824884792626728,0
W00009245,385,107,237,236,234,2,1,0,1,6,6,0,24,24,0,11,11,0,27.79220779220779,61.55844155844156,61.298701298701296,60.77922077922078,0.5194805194805194,0.2597402597402597,0,0.2597402597402597,1.5584415584415585,1.5584415584415585,0,6.233766233766234,6.233766233766234,0,2.857142857142857,2.857142857142857,0
W00009269,223,103,83,83,83,0,0,0,0,7,7,0,28,28,0,2,2,0,46.18834080717489,37.219730941704036,37.219730941704036,37.219730941704036,0,0,0,0,3.1390134529147984,3.1390134529147984,0,12.556053811659194,12.556053811659194,0,0.8968609865470852,0.8968609865470852,0
W00009270,232,57,150,150,150,0,0,0,0,1,1,0,13,13,0,11,11,0,24.568965517241377,64.65517241379311,64.65517241379311,64.65517241379311,0,0,0,0,0.43103448275862066,0.43103448275862066,0,5.603448275862069,5.603448275862069,0,4.741379310344827,4.741379310344827,0
W00009273,198,79,75,75,73,2,0,0,0,3,3,0,37,37,0,4,4,0,39.8989898989899,37.878787878787875,37.878787878787875,36.868686868686865,1.0101010101010102,0,0,0,1.5151515151515151,1.5151515151515151,0,18.68686868686869,18.68686868686869,0,2.0202020202020203,2.0202020202020203,0
W00009246,277,91,141,141,141,0,0,0,0,6,6,0,26,26,0,13,13,0,32.851985559566785,50.90252707581227,50.90252707581227,50.90252707581227,0,0,0,0,2.166064981949458,2.166064981949458,0,9.386281588447654,9.386281588447654,0,4.693140794223827,4.693140794223827,0
W00009247,246,97,104,104,104,0,0,0,0,1,1,0,29,29,0,15,15,0,39.43089430894309,42.27642276422765,42.27642276422765,42.27642276422765,0,0,0,0,0.40650406504065045,0.40650406504065045,0,11.788617886178862,11.788617886178862,0,6.097560975609756,6.097560975609756,0
W00009267,199,90,76,72,70,2,4,0,4,2,2,0,25,25,0,6,6,0,45.22613065326633,38.19095477386934,36.18090452261307,35.175879396984925,1.0050251256281406,2.0100502512562812,0,2.0100502512562812,1.0050251256281406,1.0050251256281406,0,12.562814070351758,12.562814070351758,0,3.015075376884422,3.015075376884422,0
W00009274,247,46,161,159,159,0,2,2,0,2,2,0,12,12,0,26,26,0,18.62348178137652,65.18218623481782,64.37246963562752,64.37246963562752,0,0.8097165991902834,0.8097165991902834,0,0.8097165991902834,0.8097165991902834,0,4.8582995951417,4.8582995951417,0,10.526315789473683,10.526315789473683,0
W00009279,216,88,90,90,90,0,0,0,0,5,5,0,23,23,0,10,10,0,40.74074074074074,41.66666666666667,41.66666666666667,41.66666666666667,0,0,0,0,2.314814814814815,2.314814814814815,0,10.648148148148149,10.648148148148149,0,4.62962962962963,4.62962962962963,0
W00009248,249,85,121,121,121,0,0,0,0,1,1,0,20,20,0,22,22,0,34.13654618473896,48.59437751004016,48.59437751004016,48.59437751004016,0,0,0,0,0.4016064257028112,0.4016064257028112,0,8.032128514056225,8.032128514056225,0,8.835341365461847,8.835341365461847,0
W00009277,227,53,125,125,125,0,0,0,0,5,3,2,27,27,0,17,17,0,23.348017621145374,55.06607929515418,55.06607929515418,55.06607929515418,0,0,0,0,2.2026431718061676,1.3215859030837005,0.881057268722467,11.894273127753303,11.894273127753303,0,7.488986784140969,7.488986784140969,0
