OA,ts0530001,ts0530002,ts0530003,ts0530004,ts0530005,ts0530006,ts0530002_PCT,ts0530003_PCT,ts0530004_PCT,ts0530005_PCT,ts0530006_PCT
E00013385,145,10,40,71,18,6,6.896551724137931,27.586206896551722,48.96551724137931,12.413793103448276,4.137931034482759
E00013386,114,72,21,14,5,2,63.1578947368421,18.421052631578945,12.280701754385964,4.385964912280701,1.7543859649122806
E00013387,107,15,14,69,8,1,14.018691588785046,13.084112149532709,64.48598130841121,7.476635514018691,0.9345794392523363
E00013388,134,25,33,52,21,3,18.65671641791045,24.62686567164179,38.80597014925373,15.671641791044777,2.2388059701492535
E00013389,105,45,33,21,6,0,42.857142857142854,31.428571428571427,20,5.714285714285714,0
E00013390,188,14,82,65,26,1,7.446808510638298,43.61702127659575,34.57446808510639,13.829787234042554,0.5319148936170213
E00013391,123,3,39,66,12,3,2.4390243902439024,31.70731707317073,53.65853658536586,9.75609756097561,2.4390243902439024
E00013392,153,17,28,49,42,17,11.11111111111111,18.30065359477124,32.02614379084967,27.450980392156865,11.11111111111111
E00013393,104,17,20,43,17,7,16.346153846153847,19.230769230769234,41.34615384615385,16.346153846153847,6.730769230769231
E00013395,98,5,13,61,15,4,5.1020408163265305,13.26530612244898,62.244897959183675,15.306122448979592,4.081632653061225
E00013397,217,38,51,95,27,6,17.51152073732719,23.502304147465438,43.77880184331797,12.442396313364055,2.7649769585253456
E00013398,156,25,41,80,9,1,16.025641025641026,26.282051282051285,51.28205128205128,5.769230769230769,0.641025641025641
E00013399,218,9,46,123,38,2,4.128440366972478,21.100917431192663,56.42201834862385,17.431192660550458,0.9174311926605505
E00013400,108,14,20,57,16,1,12.962962962962962,18.51851851851852,52.77777777777778,14.814814814814813,0.9259259259259258
E00013401,110,47,24,33,5,1,42.72727272727273,21.818181818181817,30,4.545454545454546,0.9090909090909091
E00013402,110,8,9,59,32,2,7.2727272727272725,8.181818181818182,53.63636363636364,29.09090909090909,1.8181818181818181
E00013403,137,25,36,64,10,2,18.248175182481752,26.277372262773724,46.715328467153284,7.2992700729927,1.4598540145985401
E00013404,129,68,25,26,6,4,52.71317829457365,19.379844961240313,20.155038759689923,4.651162790697675,3.10077519379845
E00013405,124,24,35,51,13,1,19.35483870967742,28.225806451612907,41.12903225806452,10.483870967741936,0.8064516129032258
E00013406,150,48,37,51,14,0,32,24.666666666666668,34,9.333333333333334,0
E00013407,98,62,12,19,4,1,63.26530612244898,12.244897959183673,19.387755102040817,4.081632653061225,1.0204081632653061
E00013408,145,94,17,27,6,1,64.82758620689654,11.724137931034482,18.620689655172416,4.137931034482759,0.6896551724137931
E00013409,163,43,52,54,11,3,26.380368098159508,31.901840490797547,33.12883435582822,6.748466257668712,1.8404907975460123
E00013410,107,48,20,25,13,1,44.85981308411215,18.69158878504673,23.364485981308412,12.149532710280374,0.9345794392523363
E00013411,139,20,26,63,22,8,14.388489208633093,18.705035971223023,45.32374100719424,15.827338129496402,5.755395683453238
E00013412,130,51,26,38,14,1,39.23076923076923,20,29.230769230769234,10.76923076923077,0.7692307692307693
E00013413,101,47,30,20,2,2,46.53465346534654,29.7029702970297,19.801980198019802,1.9801980198019802,1.9801980198019802
E00013414,164,10,48,78,22,6,6.097560975609756,29.268292682926827,47.5609756097561,13.414634146341465,3.6585365853658534
E00013415,107,17,17,53,16,4,15.887850467289718,15.887850467289718,49.532710280373834,14.953271028037381,3.7383177570093453
E00013416,133,10,25,54,34,10,7.518796992481203,18.796992481203006,40.6015037593985,25.563909774436087,7.518796992481203
E00013417,140,13,28,62,34,3,9.285714285714286,20,44.285714285714285,24.285714285714285,2.142857142857143
E00013418,123,7,16,67,26,7,5.691056910569105,13.008130081300814,54.47154471544715,21.138211382113823,5.691056910569105
E00013419,180,15,26,110,26,3,8.333333333333332,14.444444444444443,61.111111111111114,14.444444444444443,1.6666666666666667
E00013420,177,28,63,73,12,1,15.819209039548024,35.59322033898305,41.24293785310734,6.779661016949152,0.5649717514124294
E00013421,139,12,40,76,7,4,8.633093525179856,28.776978417266186,54.67625899280576,5.0359712230215825,2.877697841726619
E00013422,149,5,32,71,38,3,3.3557046979865772,21.476510067114095,47.651006711409394,25.503355704697988,2.013422818791946
E00013423,121,5,32,74,9,1,4.132231404958678,26.446280991735538,61.15702479338842,7.43801652892562,0.8264462809917356
E00013424,127,20,32,51,23,1,15.748031496062993,25.196850393700785,40.15748031496063,18.11023622047244,0.7874015748031495
E00013425,249,6,43,135,64,1,2.4096385542168677,17.269076305220885,54.21686746987952,25.702811244979916,0.4016064257028112
E00013426,125,2,15,76,32,0,1.6,12,60.8,25.6,0
