OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
W00001017,107,20,0,0,1,0,1,62,6,1,16,0,18.69158878504673,0,0,0.9345794392523363,0,0.9345794392523363,57.943925233644855,5.607476635514018,0.9345794392523363,14.953271028037381,0
W00001018,143,33,0,1,0,0,0,80,12,0,17,0,23.076923076923077,0,0.6993006993006993,0,0,0,55.94405594405595,8.391608391608392,0,11.888111888111888,0
W00001019,95,23,0,1,2,0,1,57,5,1,5,0,24.210526315789473,0,1.0526315789473684,2.1052631578947367,0,1.0526315789473684,60,5.263157894736842,1.0526315789473684,5.263157894736842,0
W00001020,116,9,0,2,4,0,0,70,12,4,15,0,7.758620689655173,0,1.7241379310344827,3.4482758620689653,0,0,60.3448275862069,10.344827586206897,3.4482758620689653,12.931034482758621,0
W00001021,89,15,0,0,0,0,0,62,3,0,9,0,16.853932584269664,0,0,0,0,0,69.66292134831461,3.3707865168539324,0,10.112359550561797,0
W00001022,62,13,0,0,1,0,0,38,4,0,6,0,20.967741935483872,0,0,1.6129032258064515,0,0,61.29032258064516,6.451612903225806,0,9.67741935483871,0
W00001023,62,10,0,0,2,0,0,47,1,0,2,0,16.129032258064516,0,0,3.225806451612903,0,0,75.80645161290323,1.6129032258064515,0,3.225806451612903,0
W00001024,131,15,0,0,4,0,0,75,14,2,21,0,11.450381679389313,0,0,3.0534351145038165,0,0,57.25190839694656,10.687022900763358,1.5267175572519083,16.030534351145036,0
W00001025,206,37,0,0,5,0,0,109,4,0,48,3,17.96116504854369,0,0,2.4271844660194173,0,0,52.9126213592233,1.9417475728155338,0,23.300970873786408,1.4563106796116505
W00001026,99,9,0,0,3,0,0,65,14,1,3,4,9.090909090909092,0,0,3.0303030303030303,0,0,65.65656565656566,14.14141414141414,1.0101010101010102,3.0303030303030303,4.040404040404041
W00001027,92,2,0,0,2,0,1,52,9,3,23,0,2.1739130434782608,0,0,2.1739130434782608,0,1.0869565217391304,56.52173913043478,9.782608695652174,3.260869565217391,25,0
W00001028,140,40,0,0,0,0,0,89,4,2,3,2,28.57142857142857,0,0,0,0,0,63.57142857142857,2.857142857142857,1.4285714285714286,2.142857142857143,1.4285714285714286
W00001029,127,29,0,0,1,0,0,59,11,3,24,0,22.83464566929134,0,0,0.7874015748031495,0,0,46.45669291338583,8.661417322834646,2.3622047244094486,18.89763779527559,0
W00001030,115,21,0,0,2,0,0,72,6,2,11,1,18.26086956521739,0,0,1.7391304347826086,0,0,62.60869565217392,5.217391304347826,1.7391304347826086,9.565217391304348,0.8695652173913043
W00001031,121,26,0,1,1,0,1,71,6,1,14,0,21.487603305785125,0,0.8264462809917356,0.8264462809917356,0,0.8264462809917356,58.67768595041323,4.958677685950414,0.8264462809917356,11.570247933884298,0
W00001032,146,36,0,0,3,0,2,91,5,0,9,0,24.65753424657534,0,0,2.054794520547945,0,1.36986301369863,62.328767123287676,3.4246575342465753,0,6.164383561643835,0
W00001033,196,58,0,0,1,2,0,122,6,1,5,1,29.591836734693878,0,0,0.5102040816326531,1.0204081632653061,0,62.244897959183675,3.061224489795918,0.5102040816326531,2.5510204081632653,0.5102040816326531
W00001034,131,24,0,0,10,0,0,70,10,2,14,1,18.3206106870229,0,0,7.633587786259542,0,0,53.43511450381679,7.633587786259542,1.5267175572519083,10.687022900763358,0.7633587786259541
W00001035,124,27,1,0,2,1,0,78,4,0,11,0,21.774193548387096,0.8064516129032258,0,1.6129032258064515,0.8064516129032258,0,62.903225806451616,3.225806451612903,0,8.870967741935484,0
W00001036,135,29,0,0,6,0,0,83,4,0,12,1,21.48148148148148,0,0,4.444444444444445,0,0,61.48148148148148,2.9629629629629632,0,8.88888888888889,0.7407407407407408
W00001037,113,23,1,0,7,0,0,57,3,1,18,3,20.353982300884958,0.8849557522123894,0,6.1946902654867255,0,0,50.442477876106196,2.6548672566371683,0.8849557522123894,15.929203539823009,2.6548672566371683
W00001038,125,32,0,1,11,0,0,59,5,1,16,0,25.6,0,0.8,8.799999999999999,0,0,47.199999999999996,4,0.8,12.8,0
W00001039,138,32,0,1,4,0,2,66,3,1,27,2,23.18840579710145,0,0.7246376811594203,2.898550724637681,0,1.4492753623188406,47.82608695652174,2.1739130434782608,0.7246376811594203,19.565217391304348,1.4492753623188406
