OA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011,ts0580002_PCT,ts0580003_PCT,ts0580004_PCT,ts0580005_PCT,ts0580006_PCT,ts0580007_PCT,ts0580008_PCT,ts0580009_PCT,ts0580010_PCT,ts0580011_PCT
W00001017,106,28,11,11,11,5,4,5,5,20,6,26.41509433962264,10.377358490566039,10.377358490566039,10.377358490566039,4.716981132075472,3.7735849056603774,4.716981132075472,4.716981132075472,18.867924528301888,5.660377358490567
W00001018,143,32,10,18,14,13,5,7,1,33,10,22.377622377622377,6.993006993006993,12.587412587412588,9.79020979020979,9.090909090909092,3.4965034965034967,4.895104895104895,0.6993006993006993,23.076923076923077,6.993006993006993
W00001019,98,7,13,10,8,10,4,3,7,23,13,7.142857142857142,13.26530612244898,10.204081632653061,8.16326530612245,10.204081632653061,4.081632653061225,3.061224489795918,7.142857142857142,23.46938775510204,13.26530612244898
W00001020,117,35,15,19,9,7,1,1,2,9,19,29.914529914529915,12.82051282051282,16.23931623931624,7.6923076923076925,5.982905982905983,0.8547008547008548,0.8547008547008548,1.7094017094017095,7.6923076923076925,16.23931623931624
W00001021,90,28,6,13,7,5,3,2,4,15,7,31.11111111111111,6.666666666666667,14.444444444444443,7.777777777777778,5.555555555555555,3.3333333333333335,2.2222222222222223,4.444444444444445,16.666666666666664,7.777777777777778
W00001022,64,10,7,5,7,4,1,3,2,13,12,15.625,10.9375,7.8125,10.9375,6.25,1.5625,4.6875,3.125,20.3125,18.75
W00001023,62,7,9,6,8,3,2,2,1,10,14,11.29032258064516,14.516129032258066,9.67741935483871,12.903225806451612,4.838709677419355,3.225806451612903,3.225806451612903,1.6129032258064515,16.129032258064516,22.58064516129032
W00001024,128,42,15,11,11,4,2,8,3,15,17,32.8125,11.71875,8.59375,8.59375,3.125,1.5625,6.25,2.34375,11.71875,13.28125
W00001025,204,39,14,35,22,6,5,9,5,37,32,19.11764705882353,6.862745098039216,17.15686274509804,10.784313725490197,2.941176470588235,2.450980392156863,4.411764705882353,2.450980392156863,18.137254901960784,15.686274509803921
W00001026,101,26,4,3,4,13,10,2,6,9,24,25.742574257425744,3.9603960396039604,2.9702970297029703,3.9603960396039604,12.871287128712872,9.900990099009901,1.9801980198019802,5.9405940594059405,8.91089108910891,23.762376237623762
