OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
E00149527,300,16,7,10,11,11,3,13,18,20,13,20,39,27,13,23,24,20,12,5.333333333333334,2.3333333333333335,3.3333333333333335,3.6666666666666665,3.6666666666666665,1,4.333333333333334,6,6.666666666666667,4.333333333333334,6.666666666666667,13,9,4.333333333333334,7.666666666666666,8,6.666666666666667,4
E00149528,356,16,8,22,19,20,19,35,15,14,32,30,29,21,11,20,12,15,18,4.49438202247191,2.247191011235955,6.179775280898876,5.337078651685393,5.617977528089887,5.337078651685393,9.831460674157304,4.213483146067416,3.932584269662921,8.98876404494382,8.426966292134832,8.146067415730338,5.8988764044943816,3.089887640449438,5.617977528089887,3.3707865168539324,4.213483146067416,5.056179775280898
E00149529,307,17,23,23,26,30,11,20,28,15,17,18,21,21,9,7,7,11,3,5.537459283387622,7.491856677524431,7.491856677524431,8.469055374592834,9.77198697068404,3.5830618892508146,6.514657980456026,9.120521172638437,4.88599348534202,5.537459283387622,5.863192182410423,6.840390879478828,6.840390879478828,2.9315960912052117,2.2801302931596092,2.2801302931596092,3.5830618892508146,0.9771986970684038
E00149530,384,20,13,22,26,18,23,19,13,17,30,36,38,21,27,25,24,7,5,5.208333333333334,3.3854166666666665,5.729166666666666,6.770833333333333,4.6875,5.989583333333334,4.947916666666666,3.3854166666666665,4.427083333333334,7.8125,9.375,9.895833333333332,5.46875,7.03125,6.510416666666667,6.25,1.8229166666666667,1.3020833333333335
E00149531,345,16,11,19,11,12,21,24,20,15,22,26,25,28,28,17,25,11,14,4.63768115942029,3.1884057971014492,5.507246376811594,3.1884057971014492,3.4782608695652173,6.086956521739131,6.956521739130435,5.797101449275362,4.3478260869565215,6.3768115942028984,7.536231884057972,7.246376811594203,8.115942028985506,8.115942028985506,4.9275362318840585,7.246376811594203,3.1884057971014492,4.057971014492753
E00149532,369,21,25,31,27,20,34,28,20,16,24,36,20,17,13,15,8,5,9,5.691056910569105,6.775067750677506,8.401084010840108,7.317073170731707,5.420054200542006,9.214092140921409,7.588075880758807,5.420054200542006,4.336043360433604,6.504065040650407,9.75609756097561,5.420054200542006,4.607046070460704,3.523035230352303,4.0650406504065035,2.168021680216802,1.3550135501355014,2.4390243902439024
E00149533,262,11,5,7,4,10,7,13,6,5,24,13,18,15,30,30,30,16,18,4.198473282442748,1.9083969465648856,2.6717557251908395,1.5267175572519083,3.816793893129771,2.6717557251908395,4.961832061068702,2.2900763358778624,1.9083969465648856,9.16030534351145,4.961832061068702,6.870229007633588,5.7251908396946565,11.450381679389313,11.450381679389313,11.450381679389313,6.106870229007633,6.870229007633588
E00149534,306,13,12,19,14,13,14,16,12,16,20,23,12,22,28,29,14,17,12,4.248366013071895,3.9215686274509802,6.209150326797386,4.57516339869281,4.248366013071895,4.57516339869281,5.228758169934641,3.9215686274509802,5.228758169934641,6.535947712418301,7.516339869281046,3.9215686274509802,7.18954248366013,9.15032679738562,9.477124183006536,4.57516339869281,5.555555555555555,3.9215686274509802
E00149535,257,11,13,13,8,9,14,11,9,11,13,18,22,27,16,18,26,12,6,4.280155642023346,5.058365758754864,5.058365758754864,3.11284046692607,3.501945525291829,5.447470817120623,4.280155642023346,3.501945525291829,4.280155642023346,5.058365758754864,7.003891050583658,8.560311284046692,10.505836575875486,6.22568093385214,7.003891050583658,10.116731517509727,4.669260700389105,2.3346303501945527
E00149536,371,19,30,35,22,23,20,33,29,26,15,21,18,20,24,15,5,8,8,5.121293800539084,8.086253369272237,9.433962264150944,5.929919137466308,6.199460916442049,5.3908355795148255,8.89487870619946,7.816711590296496,7.008086253369273,4.0431266846361185,5.660377358490567,4.8517520215633425,5.3908355795148255,6.46900269541779,4.0431266846361185,1.3477088948787064,2.15633423180593,2.15633423180593
E00149537,321,16,26,23,18,14,18,34,23,15,16,25,33,20,9,13,10,4,4,4.984423676012461,8.09968847352025,7.165109034267912,5.607476635514018,4.361370716510903,5.607476635514018,10.59190031152648,7.165109034267912,4.672897196261682,4.984423676012461,7.78816199376947,10.2803738317757,6.230529595015576,2.803738317757009,4.049844236760125,3.115264797507788,1.2461059190031152,1.2461059190031152
