OA,ts0230001,ts0230002,ts0230003,ts0230004,ts0230005,ts0230006,ts0230002_PCT,ts0230003_PCT,ts0230004_PCT,ts0230005_PCT,ts0230006_PCT
E00110845,114,25,75,3,7,4,21.929824561403507,65.78947368421053,2.631578947368421,6.140350877192982,3.508771929824561
E00110846,128,39,77,1,7,4,30.46875,60.15625,0.78125,5.46875,3.125
E00110847,125,40,79,3,2,1,32,63.2,2.4,1.6,0.8
E00110848,135,19,101,5,7,3,14.074074074074074,74.81481481481481,3.7037037037037033,5.185185185185185,2.2222222222222223
E00110849,134,26,88,2,10,8,19.402985074626866,65.67164179104478,1.4925373134328357,7.462686567164178,5.970149253731343
E00110850,126,22,88,3,9,4,17.46031746031746,69.84126984126983,2.380952380952381,7.142857142857142,3.1746031746031744
E00110851,111,34,70,4,3,0,30.630630630630627,63.06306306306306,3.6036036036036037,2.7027027027027026,0
E00110852,122,26,78,3,12,3,21.311475409836063,63.934426229508205,2.459016393442623,9.836065573770492,2.459016393442623
E00110853,101,35,58,3,5,0,34.65346534653465,57.42574257425742,2.9702970297029703,4.9504950495049505,0
E00110854,107,29,66,2,10,0,27.102803738317753,61.6822429906542,1.8691588785046727,9.345794392523365,0
E00110855,147,56,67,8,11,5,38.095238095238095,45.57823129251701,5.442176870748299,7.482993197278912,3.4013605442176873
E00110856,161,34,113,0,11,3,21.11801242236025,70.1863354037267,0,6.832298136645963,1.8633540372670807
E00110857,127,42,70,3,11,1,33.07086614173229,55.118110236220474,2.3622047244094486,8.661417322834646,0.7874015748031495
E00110858,125,33,78,6,6,2,26.400000000000002,62.4,4.8,4.8,1.6
E00110859,134,56,60,3,11,4,41.7910447761194,44.776119402985074,2.2388059701492535,8.208955223880597,2.9850746268656714
E00110860,129,31,81,5,7,5,24.031007751937985,62.7906976744186,3.875968992248062,5.426356589147287,3.875968992248062
E00110861,108,58,38,3,8,1,53.70370370370371,35.18518518518518,2.7777777777777777,7.4074074074074066,0.9259259259259258
E00110862,127,19,100,0,3,5,14.960629921259844,78.74015748031496,0,2.3622047244094486,3.937007874015748
E00110863,103,25,68,3,6,1,24.271844660194176,66.01941747572816,2.912621359223301,5.825242718446602,0.9708737864077669
E00110864,140,39,89,3,5,4,27.857142857142858,63.57142857142857,2.142857142857143,3.571428571428571,2.857142857142857
E00110865,124,38,70,3,7,6,30.64516129032258,56.451612903225815,2.4193548387096775,5.64516129032258,4.838709677419355
E00110866,167,76,84,1,4,2,45.50898203592814,50.29940119760479,0.5988023952095809,2.3952095808383236,1.1976047904191618
E00110867,121,23,85,1,8,4,19.00826446280992,70.24793388429752,0.8264462809917356,6.6115702479338845,3.3057851239669422
E00110868,125,32,76,6,5,6,25.6,60.8,4.8,4,4.8
E00110869,117,40,60,3,9,5,34.18803418803419,51.28205128205128,2.564102564102564,7.6923076923076925,4.273504273504273
E00110870,128,37,74,4,7,6,28.90625,57.8125,3.125,5.46875,4.6875
E00110871,139,24,104,1,7,3,17.26618705035971,74.82014388489209,0.7194244604316548,5.0359712230215825,2.158273381294964
E00110872,100,31,61,1,4,3,31,61,1,4,3
E00110873,130,37,85,0,8,0,28.46153846153846,65.38461538461539,0,6.153846153846154,0
E00110874,137,21,95,6,12,3,15.328467153284672,69.34306569343066,4.37956204379562,8.75912408759124,2.18978102189781
E00110875,123,19,85,4,13,2,15.447154471544716,69.10569105691057,3.2520325203252036,10.569105691056912,1.6260162601626018
E00110876,120,28,81,2,8,1,23.333333333333332,67.5,1.6666666666666667,6.666666666666667,0.8333333333333334
E00110877,125,35,77,2,8,3,28.000000000000004,61.6,1.6,6.4,2.4
E00110878,110,40,59,0,9,2,36.36363636363637,53.63636363636364,0,8.181818181818182,1.8181818181818181
E00110879,92,15,66,0,9,2,16.304347826086957,71.73913043478261,0,9.782608695652174,2.1739130434782608
E00110880,123,25,82,2,14,0,20.32520325203252,66.66666666666666,1.6260162601626018,11.38211382113821,0
E00110881,125,26,86,0,12,1,20.8,68.8,0,9.6,0.8
E00110882,130,30,89,4,7,0,23.076923076923077,68.46153846153847,3.076923076923077,5.384615384615385,0
E00110883,122,37,69,2,10,4,30.327868852459016,56.557377049180324,1.639344262295082,8.19672131147541,3.278688524590164
E00110884,151,36,96,6,10,3,23.841059602649008,63.576158940397356,3.9735099337748347,6.622516556291391,1.9867549668874174
E00110885,112,21,74,4,10,3,18.75,66.07142857142857,3.571428571428571,8.928571428571429,2.6785714285714284
E00110886,120,15,81,4,15,5,12.5,67.5,3.3333333333333335,12.5,4.166666666666666
E00110887,136,39,77,6,11,3,28.676470588235293,56.61764705882353,4.411764705882353,8.088235294117647,2.2058823529411766
E00110888,83,9,62,3,6,3,10.843373493975903,74.69879518072288,3.614457831325301,7.228915662650602,3.614457831325301
E00110889,105,28,65,2,9,1,26.666666666666668,61.904761904761905,1.9047619047619049,8.571428571428571,0.9523809523809524
E00110890,134,38,68,4,23,1,28.35820895522388,50.74626865671642,2.9850746268656714,17.16417910447761,0.7462686567164178
E00110891,111,22,73,2,11,3,19.81981981981982,65.76576576576578,1.8018018018018018,9.90990990990991,2.7027027027027026
E00110892,130,30,84,5,10,1,23.076923076923077,64.61538461538461,3.8461538461538463,7.6923076923076925,0.7692307692307693
E00110893,117,17,84,4,10,2,14.529914529914532,71.7948717948718,3.418803418803419,8.547008547008547,1.7094017094017095
E00110894,133,31,88,2,8,4,23.308270676691727,66.16541353383458,1.5037593984962405,6.015037593984962,3.007518796992481
E00110895,137,26,91,8,9,3,18.97810218978102,66.42335766423358,5.839416058394161,6.569343065693431,2.18978102189781
E00110897,158,82,62,3,8,3,51.89873417721519,39.24050632911392,1.89873417721519,5.063291139240507,1.89873417721519
E00110898,127,26,90,1,6,4,20.47244094488189,70.86614173228347,0.7874015748031495,4.724409448818897,3.149606299212598
