OA,ts0180001,ts0180002,ts0180003,ts0180004,ts0180005,ts0180006,ts0180007,ts0180008,ts0180009,ts0180010,ts0180011,ts0180012,ts0180013,ts0180014,ts0180015,ts0180016,ts0180017,ts0180018,ts0180019,ts0180002_PCT,ts0180003_PCT,ts0180004_PCT,ts0180005_PCT,ts0180006_PCT,ts0180007_PCT,ts0180008_PCT,ts0180009_PCT,ts0180010_PCT,ts0180011_PCT,ts0180012_PCT,ts0180013_PCT,ts0180014_PCT,ts0180015_PCT,ts0180016_PCT,ts0180017_PCT,ts0180018_PCT,ts0180019_PCT
E00130368,246,217,29,4,2,1,1,1,2,3,5,4,3,3,0,0,0,0,0,88.21138211382113,11.788617886178862,1.6260162601626018,0.8130081300813009,0.40650406504065045,0.40650406504065045,0.40650406504065045,0.8130081300813009,1.2195121951219512,2.0325203252032518,1.6260162601626018,1.2195121951219512,1.2195121951219512,0,0,0,0,0
E00130369,437,386,51,5,6,4,8,0,1,4,0,6,13,1,3,0,0,0,0,88.32951945080092,11.670480549199084,1.1441647597254003,1.3729977116704806,0.9153318077803204,1.8306636155606408,0,0.2288329519450801,0.9153318077803204,0,1.3729977116704806,2.9748283752860414,0.2288329519450801,0.6864988558352403,0,0,0,0
E00173307,325,267,58,8,5,3,2,1,1,2,18,8,9,1,0,0,0,0,0,82.15384615384616,17.846153846153847,2.4615384615384617,1.5384615384615385,0.9230769230769231,0.6153846153846154,0.3076923076923077,0.3076923076923077,0.6153846153846154,5.538461538461538,2.4615384615384617,2.769230769230769,0.3076923076923077,0,0,0,0,0
E00173310,231,192,39,4,0,2,3,0,0,4,7,9,7,3,0,0,0,0,0,83.11688311688312,16.883116883116884,1.7316017316017316,0,0.8658008658008658,1.2987012987012987,0,0,1.7316017316017316,3.0303030303030303,3.896103896103896,3.0303030303030303,1.2987012987012987,0,0,0,0,0
E00173311,284,230,54,9,1,3,3,1,3,3,12,3,14,2,0,0,0,0,0,80.98591549295774,19.014084507042252,3.169014084507042,0.35211267605633806,1.056338028169014,1.056338028169014,0.35211267605633806,1.056338028169014,1.056338028169014,4.225352112676056,1.056338028169014,4.929577464788732,0.7042253521126761,0,0,0,0,0
E00173313,190,161,29,5,2,3,5,1,0,3,5,2,0,3,0,0,0,0,0,84.73684210526315,15.263157894736842,2.631578947368421,1.0526315789473684,1.5789473684210527,2.631578947368421,0.5263157894736842,0,1.5789473684210527,2.631578947368421,1.0526315789473684,0,1.5789473684210527,0,0,0,0,0
E00173314,297,256,41,2,2,0,5,1,1,6,11,7,3,3,0,0,0,0,0,86.19528619528619,13.804713804713806,0.6734006734006733,0.6734006734006733,0,1.6835016835016834,0.33670033670033667,0.33670033670033667,2.0202020202020203,3.7037037037037033,2.356902356902357,1.0101010101010102,1.0101010101010102,0,0,0,0,0
E00130372,484,441,43,3,3,3,7,4,2,3,4,5,8,1,0,0,0,0,0,91.11570247933885,8.884297520661157,0.6198347107438017,0.6198347107438017,0.6198347107438017,1.4462809917355373,0.8264462809917356,0.4132231404958678,0.6198347107438017,0.8264462809917356,1.0330578512396695,1.6528925619834711,0.2066115702479339,0,0,0,0,0
E00130373,421,387,34,5,2,2,1,1,2,2,6,8,4,1,0,0,0,0,0,91.92399049881234,8.076009501187649,1.187648456057007,0.4750593824228029,0.4750593824228029,0.23752969121140144,0.23752969121140144,0.4750593824228029,0.4750593824228029,1.4251781472684086,1.9002375296912115,0.9501187648456058,0.23752969121140144,0,0,0,0,0
E00130374,261,244,17,2,2,0,1,0,0,2,2,4,3,0,0,1,0,0,0,93.48659003831418,6.513409961685824,0.7662835249042145,0.7662835249042145,0,0.38314176245210724,0,0,0.7662835249042145,0.7662835249042145,1.532567049808429,1.1494252873563218,0,0,0.38314176245210724,0,0,0
E00130375,242,233,9,5,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,96.28099173553719,3.71900826446281,2.066115702479339,0,0,0,0,0,0,0.8264462809917356,0.4132231404958678,0,0.4132231404958678,0,0,0,0,0
E00130376,252,243,9,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,96.42857142857143,3.571428571428571,1.5873015873015872,0,0,0,0,0,0,0.7936507936507936,0.3968253968253968,0.7936507936507936,0,0,0,0,0,0
E00130377,265,248,17,6,2,0,0,0,1,1,2,3,2,0,0,0,0,0,0,93.58490566037736,6.415094339622642,2.2641509433962264,0.7547169811320755,0,0,0,0.37735849056603776,0.37735849056603776,0.7547169811320755,1.1320754716981132,0.7547169811320755,0,0,0,0,0,0
E00130378,430,409,21,6,3,0,1,0,1,1,6,1,2,0,0,0,0,0,0,95.11627906976744,4.883720930232558,1.3953488372093024,0.6976744186046512,0,0.23255813953488372,0,0.23255813953488372,0.23255813953488372,1.3953488372093024,0.23255813953488372,0.46511627906976744,0,0,0,0,0,0
E00130361,385,328,57,5,6,2,3,1,1,6,13,14,5,0,0,1,0,0,0,85.19480519480518,14.805194805194805,1.2987012987012987,1.5584415584415585,0.5194805194805194,0.7792207792207793,0.2597402597402597,0.2597402597402597,1.5584415584415585,3.3766233766233764,3.6363636363636362,1.2987012987012987,0,0,0.2597402597402597,0,0,0
