OA,ts0030001,ts0030002,ts0030003,ts0030004,ts0030005,ts0030006,ts0030007,ts0030008,ts0030009,ts0030010,ts0030011,ts0030012,ts0030013,ts0030014,ts0030015,ts0030016,ts0030017,ts0030018,ts0030019,ts0030020,ts0030021,ts0030022,ts0030002_PCT,ts0030003_PCT,ts0030004_PCT,ts0030005_PCT,ts0030006_PCT,ts0030007_PCT,ts0030008_PCT,ts0030009_PCT,ts0030010_PCT,ts0030011_PCT,ts0030012_PCT,ts0030013_PCT,ts0030014_PCT,ts0030015_PCT,ts0030016_PCT,ts0030017_PCT,ts0030018_PCT,ts0030019_PCT,ts0030020_PCT,ts0030021_PCT,ts0030022_PCT
E00102694,105,47,19,28,53,20,18,15,2,1,7,5,2,0,8,4,4,0,0,5,3,2,44.761904761904766,18.095238095238095,26.666666666666668,50.476190476190474,19.047619047619047,17.142857142857142,14.285714285714285,1.9047619047619049,0.9523809523809524,6.666666666666667,4.761904761904762,1.9047619047619049,0,7.6190476190476195,3.8095238095238098,3.8095238095238098,0,0,4.761904761904762,2.857142857142857,1.9047619047619049
E00102695,84,37,22,15,45,5,26,14,9,3,9,7,2,0,5,4,1,0,0,2,1,1,44.047619047619044,26.190476190476193,17.857142857142858,53.57142857142857,5.952380952380952,30.952380952380953,16.666666666666664,10.714285714285714,3.571428571428571,10.714285714285714,8.333333333333332,2.380952380952381,0,5.952380952380952,4.761904761904762,1.1904761904761905,0,0,2.380952380952381,1.1904761904761905,1.1904761904761905
E00102696,123,40,26,14,76,22,38,21,11,6,10,6,4,0,5,3,2,1,1,7,3,4,32.52032520325203,21.138211382113823,11.38211382113821,61.78861788617886,17.88617886178862,30.89430894308943,17.073170731707318,8.94308943089431,4.878048780487805,8.130081300813007,4.878048780487805,3.2520325203252036,0,4.0650406504065035,2.4390243902439024,1.6260162601626018,0.8130081300813009,0.8130081300813009,5.691056910569105,2.4390243902439024,3.2520325203252036
E00102698,108,41,16,25,65,10,23,9,8,6,14,9,4,1,15,9,6,3,3,2,0,2,37.96296296296296,14.814814814814813,23.14814814814815,60.18518518518518,9.25925925925926,21.296296296296298,8.333333333333332,7.4074074074074066,5.555555555555555,12.962962962962962,8.333333333333332,3.7037037037037033,0.9259259259259258,13.88888888888889,8.333333333333332,5.555555555555555,2.7777777777777777,2.7777777777777777,1.8518518518518516,0,1.8518518518518516
E00102700,100,39,16,23,59,11,28,11,8,9,11,7,4,0,9,3,6,0,0,2,1,1,39,16,23,59,11,28.000000000000004,11,8,9,11,7.000000000000001,4,0,9,3,6,0,0,2,1,1
E00102702,105,42,25,17,63,12,31,20,10,1,6,4,2,0,14,4,10,0,0,0,0,0,40,23.809523809523807,16.19047619047619,60,11.428571428571429,29.523809523809526,19.047619047619047,9.523809523809524,0.9523809523809524,5.714285714285714,3.8095238095238098,1.9047619047619049,0,13.333333333333334,3.8095238095238098,9.523809523809524,0,0,0,0,0
E00102697,121,51,35,16,67,20,32,15,7,10,11,8,1,2,4,1,3,0,0,3,2,1,42.14876033057851,28.92561983471074,13.223140495867769,55.371900826446286,16.528925619834713,26.446280991735538,12.396694214876034,5.785123966942149,8.264462809917356,9.090909090909092,6.6115702479338845,0.8264462809917356,1.6528925619834711,3.3057851239669422,0.8264462809917356,2.479338842975207,0,0,2.479338842975207,1.6528925619834711,0.8264462809917356
E00102699,112,42,28,14,67,16,34,10,12,12,7,3,4,0,10,3,7,0,0,3,1,2,37.5,25,12.5,59.82142857142857,14.285714285714285,30.357142857142854,8.928571428571429,10.714285714285714,10.714285714285714,6.25,2.6785714285714284,3.571428571428571,0,8.928571428571429,2.6785714285714284,6.25,0,0,2.6785714285714284,0.8928571428571428,1.7857142857142856
E00102701,214,60,34,26,149,25,72,24,32,16,31,15,14,2,21,19,2,0,0,5,1,4,28.037383177570092,15.887850467289718,12.149532710280374,69.62616822429906,11.682242990654206,33.64485981308411,11.214953271028037,14.953271028037381,7.476635514018691,14.485981308411214,7.009345794392523,6.5420560747663545,0.9345794392523363,9.813084112149532,8.878504672897195,0.9345794392523363,0,0,2.336448598130841,0.46728971962616817,1.8691588785046727
E00102703,114,37,27,10,71,26,32,14,14,4,10,5,4,1,3,1,2,0,0,6,0,6,32.45614035087719,23.684210526315788,8.771929824561402,62.28070175438597,22.807017543859647,28.07017543859649,12.280701754385964,12.280701754385964,3.508771929824561,8.771929824561402,4.385964912280701,3.508771929824561,0.8771929824561403,2.631578947368421,0.8771929824561403,1.7543859649122806,0,0,5.263157894736842,0,5.263157894736842
E00102704,127,36,26,10,84,31,33,16,13,4,8,5,3,0,11,6,5,1,1,7,1,6,28.346456692913385,20.47244094488189,7.874015748031496,66.14173228346458,24.409448818897637,25.984251968503933,12.598425196850393,10.236220472440944,3.149606299212598,6.299212598425196,3.937007874015748,2.3622047244094486,0,8.661417322834646,4.724409448818897,3.937007874015748,0.7874015748031495,0.7874015748031495,5.511811023622047,0.7874015748031495,4.724409448818897
