OA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005,ts0500002_PCT,ts0500003_PCT,ts0500004_PCT,ts0500005_PCT
E00151961,141,0,1,27,113,0,0.7092198581560284,19.148936170212767,80.1418439716312
E00151962,140,9,35,37,59,6.428571428571428,25,26.42857142857143,42.142857142857146
E00151963,95,2,19,67,7,2.1052631578947367,20,70.52631578947368,7.368421052631578
E00151964,136,14,10,98,14,10.294117647058822,7.352941176470589,72.05882352941177,10.294117647058822
E00151965,100,1,34,52,13,1,34,52,13
E00151967,205,9,36,121,39,4.390243902439024,17.560975609756095,59.02439024390244,19.024390243902438
E00151968,98,2,2,7,87,2.0408163265306123,2.0408163265306123,7.142857142857142,88.77551020408163
E00151971,105,0,5,73,27,0,4.761904761904762,69.52380952380952,25.71428571428571
E00151972,95,13,59,17,6,13.684210526315791,62.10526315789474,17.894736842105264,6.315789473684211
E00151973,99,1,0,19,79,1.0101010101010102,0,19.19191919191919,79.7979797979798
E00151974,150,3,23,23,101,2,15.333333333333332,15.333333333333332,67.33333333333333
E00151975,103,10,23,51,19,9.70873786407767,22.330097087378643,49.51456310679612,18.446601941747574
E00151976,98,1,24,52,21,1.0204081632653061,24.489795918367346,53.06122448979592,21.428571428571427
E00151977,99,8,13,69,9,8.080808080808081,13.131313131313133,69.6969696969697,9.090909090909092
E00151978,95,0,9,62,24,0,9.473684210526317,65.26315789473685,25.263157894736842
E00151979,115,4,2,100,9,3.4782608695652173,1.7391304347826086,86.95652173913044,7.82608695652174
E00151980,116,6,2,102,6,5.172413793103448,1.7241379310344827,87.93103448275862,5.172413793103448
E00151981,118,4,41,66,7,3.389830508474576,34.74576271186441,55.932203389830505,5.932203389830509
E00151982,118,4,27,60,27,3.389830508474576,22.88135593220339,50.847457627118644,22.88135593220339
E00151983,114,2,10,86,16,1.7543859649122806,8.771929824561402,75.43859649122807,14.035087719298245
E00151984,123,32,11,70,10,26.01626016260163,8.94308943089431,56.91056910569105,8.130081300813007
E00151985,161,62,45,49,5,38.50931677018634,27.95031055900621,30.434782608695656,3.1055900621118013
E00151986,82,14,3,55,10,17.073170731707318,3.6585365853658534,67.07317073170732,12.195121951219512
E00151987,114,1,13,87,13,0.8771929824561403,11.403508771929824,76.31578947368422,11.403508771929824
E00151988,110,25,1,80,4,22.727272727272727,0.9090909090909091,72.72727272727273,3.6363636363636362
E00151989,119,1,9,101,8,0.8403361344537815,7.563025210084033,84.87394957983193,6.722689075630252
E00151990,139,8,5,121,5,5.755395683453238,3.5971223021582732,87.05035971223022,3.5971223021582732
E00151991,130,1,7,102,20,0.7692307692307693,5.384615384615385,78.46153846153847,15.384615384615385
E00151992,131,0,14,108,9,0,10.687022900763358,82.44274809160305,6.870229007633588
E00151993,107,14,19,61,13,13.084112149532709,17.75700934579439,57.009345794392516,12.149532710280374
E00151994,141,26,26,76,13,18.439716312056735,18.439716312056735,53.90070921985816,9.219858156028367
E00151995,121,17,10,78,16,14.049586776859504,8.264462809917356,64.46280991735537,13.223140495867769
E00151996,107,11,6,70,20,10.2803738317757,5.607476635514018,65.42056074766354,18.69158878504673
E00151997,137,1,16,115,5,0.7299270072992701,11.678832116788321,83.94160583941606,3.64963503649635
E00151998,127,11,2,94,20,8.661417322834646,1.574803149606299,74.01574803149606,15.748031496062993
E00151999,195,8,40,108,39,4.102564102564102,20.51282051282051,55.38461538461539,20
E00152000,131,30,5,93,3,22.900763358778626,3.816793893129771,70.99236641221374,2.2900763358778624
E00152001,146,1,75,48,22,0.684931506849315,51.369863013698634,32.87671232876712,15.068493150684931
E00152002,167,1,12,128,26,0.5988023952095809,7.18562874251497,76.64670658682635,15.568862275449103
E00152003,124,6,29,72,17,4.838709677419355,23.387096774193548,58.06451612903226,13.709677419354838
E00152005,105,1,3,86,15,0.9523809523809524,2.857142857142857,81.9047619047619,14.285714285714285
E00152006,109,0,4,99,6,0,3.669724770642202,90.82568807339449,5.5045871559633035
E00152007,135,4,35,81,15,2.9629629629629632,25.925925925925924,60,11.11111111111111
E00152008,128,12,6,96,14,9.375,4.6875,75,10.9375
E00152009,130,2,8,102,18,1.5384615384615385,6.153846153846154,78.46153846153847,13.846153846153847
E00152010,122,0,7,97,18,0,5.737704918032787,79.50819672131148,14.754098360655737
E00152011,124,0,6,42,76,0,4.838709677419355,33.87096774193548,61.29032258064516
E00152012,130,15,47,61,7,11.538461538461538,36.15384615384615,46.92307692307692,5.384615384615385
E00152013,207,12,56,96,43,5.797101449275362,27.053140096618357,46.3768115942029,20.77294685990338
E00152014,207,9,19,116,63,4.3478260869565215,9.178743961352657,56.038647342995176,30.434782608695656
E00152015,123,4,19,84,16,3.2520325203252036,15.447154471544716,68.29268292682927,13.008130081300814
E00152016,113,28,59,14,12,24.778761061946902,52.21238938053098,12.389380530973451,10.619469026548673
E00152017,150,49,35,55,11,32.666666666666664,23.333333333333332,36.666666666666664,7.333333333333333
E00152018,119,3,13,86,17,2.5210084033613445,10.92436974789916,72.26890756302521,14.285714285714285
E00152019,139,6,61,61,11,4.316546762589928,43.884892086330936,43.884892086330936,7.913669064748201
E00152020,139,10,53,60,16,7.1942446043165464,38.1294964028777,43.16546762589928,11.510791366906476
E00152021,156,19,45,78,14,12.179487179487179,28.846153846153843,50,8.974358974358974
E00152022,142,9,46,76,11,6.338028169014084,32.3943661971831,53.52112676056338,7.746478873239436
E00152023,142,33,64,41,4,23.239436619718308,45.07042253521127,28.87323943661972,2.8169014084507045
E00152024,130,1,4,109,16,0.7692307692307693,3.076923076923077,83.84615384615385,12.307692307692308
E00152025,116,0,37,46,33,0,31.896551724137932,39.6551724137931,28.448275862068968
E00152026,116,6,26,80,4,5.172413793103448,22.413793103448278,68.96551724137932,3.4482758620689653
E00152027,122,44,9,67,2,36.0655737704918,7.377049180327869,54.91803278688525,1.639344262295082
E00152028,115,1,12,89,13,0.8695652173913043,10.434782608695652,77.39130434782608,11.304347826086957
E00152029,150,5,46,91,8,3.3333333333333335,30.666666666666664,60.66666666666667,5.333333333333334
E00152030,121,38,12,63,8,31.40495867768595,9.917355371900827,52.066115702479344,6.6115702479338845
E00152031,126,1,50,67,8,0.7936507936507936,39.682539682539684,53.17460317460318,6.349206349206349
E00152032,249,30,64,127,28,12.048192771084338,25.702811244979916,51.00401606425703,11.244979919678714
E00152033,134,7,81,42,4,5.223880597014925,60.447761194029844,31.343283582089555,2.9850746268656714
E00152034,148,1,45,65,37,0.6756756756756757,30.405405405405407,43.91891891891892,25
E00152037,144,95,40,6,3,65.97222222222221,27.77777777777778,4.166666666666666,2.083333333333333
E00152038,131,28,76,20,7,21.374045801526716,58.01526717557252,15.267175572519085,5.343511450381679
