OA,ts0590001,ts0590002,ts0590003,ts0590004,ts0590005,ts0590006,ts0590007,ts0590002_PCT,ts0590003_PCT,ts0590004_PCT,ts0590005_PCT,ts0590006_PCT,ts0590007_PCT
E00158950,106,36,10,26,70,56,14,33.9622641509434,9.433962264150944,24.528301886792452,66.0377358490566,52.83018867924528,13.20754716981132
E00158951,158,48,21,27,110,90,20,30.37974683544304,13.291139240506327,17.088607594936708,69.62025316455697,56.9620253164557,12.658227848101266
E00158952,121,42,17,25,79,66,13,34.710743801652896,14.049586776859504,20.66115702479339,65.28925619834712,54.54545454545454,10.743801652892563
E00158953,131,40,17,23,91,75,16,30.53435114503817,12.977099236641221,17.557251908396946,69.46564885496184,57.25190839694656,12.213740458015266
E00158954,112,34,11,23,78,60,18,30.357142857142854,9.821428571428571,20.535714285714285,69.64285714285714,53.57142857142857,16.071428571428573
E00158955,126,50,14,36,76,58,18,39.682539682539684,11.11111111111111,28.57142857142857,60.317460317460316,46.03174603174603,14.285714285714285
E00158956,123,40,20,20,83,65,18,32.52032520325203,16.260162601626014,16.260162601626014,67.47967479674797,52.84552845528455,14.634146341463413
E00158957,165,56,16,40,109,90,19,33.939393939393945,9.696969696969697,24.242424242424242,66.06060606060606,54.54545454545454,11.515151515151516
E00158958,141,41,14,27,100,81,19,29.078014184397162,9.929078014184398,19.148936170212767,70.92198581560284,57.446808510638306,13.47517730496454
E00158959,128,42,15,27,86,71,15,32.8125,11.71875,21.09375,67.1875,55.46875,11.71875
E00158960,45,19,6,13,26,22,4,42.22222222222222,13.333333333333334,28.888888888888886,57.77777777777777,48.888888888888886,8.88888888888889
E00158961,137,40,12,28,97,85,12,29.1970802919708,8.75912408759124,20.437956204379564,70.8029197080292,62.04379562043796,8.75912408759124
E00158962,151,49,22,27,102,81,21,32.450331125827816,14.56953642384106,17.880794701986755,67.54966887417218,53.64238410596026,13.90728476821192
E00158963,165,47,19,28,118,93,25,28.484848484848484,11.515151515151516,16.969696969696972,71.51515151515152,56.36363636363636,15.151515151515152
E00158964,164,52,11,41,112,95,17,31.70731707317073,6.707317073170732,25,68.29268292682927,57.92682926829268,10.365853658536585
E00158965,156,46,16,30,110,77,33,29.48717948717949,10.256410256410255,19.230769230769234,70.51282051282051,49.358974358974365,21.153846153846153
E00158966,160,47,12,35,113,100,13,29.375,7.5,21.875,70.625,62.5,8.125
E00158967,124,30,6,24,94,79,15,24.193548387096776,4.838709677419355,19.35483870967742,75.80645161290323,63.70967741935484,12.096774193548388
E00158968,117,33,9,24,84,70,14,28.205128205128204,7.6923076923076925,20.51282051282051,71.7948717948718,59.82905982905983,11.965811965811966
E00158969,149,47,14,33,102,84,18,31.543624161073826,9.395973154362416,22.14765100671141,68.45637583892618,56.375838926174495,12.080536912751679
E00158970,111,37,14,23,74,55,19,33.33333333333333,12.612612612612612,20.72072072072072,66.66666666666666,49.549549549549546,17.117117117117118
E00158971,172,60,20,40,112,83,29,34.883720930232556,11.627906976744185,23.25581395348837,65.11627906976744,48.25581395348838,16.86046511627907
E00158972,132,38,16,22,94,73,21,28.78787878787879,12.121212121212121,16.666666666666664,71.21212121212122,55.3030303030303,15.909090909090908
E00158973,141,45,25,20,96,78,18,31.914893617021278,17.73049645390071,14.184397163120568,68.08510638297872,55.319148936170215,12.76595744680851
E00158974,120,37,19,18,83,57,26,30.833333333333336,15.833333333333332,15,69.16666666666667,47.5,21.666666666666668
E00158975,38,13,5,8,25,19,6,34.21052631578947,13.157894736842104,21.052631578947366,65.78947368421053,50,15.789473684210526
E00158976,36,10,5,5,26,21,5,27.77777777777778,13.88888888888889,13.88888888888889,72.22222222222221,58.333333333333336,13.88888888888889
E00158977,120,34,13,21,86,73,13,28.333333333333332,10.833333333333334,17.5,71.66666666666667,60.83333333333333,10.833333333333334
E00158978,100,34,13,21,66,53,13,34,13,21,66,53,13
E00158979,180,63,21,42,117,97,20,35,11.666666666666666,23.333333333333332,65,53.888888888888886,11.11111111111111
E00158980,86,34,18,16,52,36,16,39.53488372093023,20.930232558139537,18.6046511627907,60.46511627906976,41.86046511627907,18.6046511627907
E00158981,127,46,20,26,81,64,17,36.22047244094488,15.748031496062993,20.47244094488189,63.77952755905512,50.39370078740157,13.385826771653544
E00158982,34,9,6,3,25,21,4,26.47058823529412,17.647058823529413,8.823529411764707,73.52941176470588,61.76470588235294,11.76470588235294
E00158984,135,42,14,28,93,75,18,31.11111111111111,10.37037037037037,20.74074074074074,68.88888888888889,55.55555555555556,13.333333333333334
E00158985,111,36,15,21,75,57,18,32.432432432432435,13.513513513513514,18.91891891891892,67.56756756756756,51.35135135135135,16.216216216216218
E00158986,221,69,21,48,152,121,31,31.221719457013574,9.502262443438914,21.71945701357466,68.77828054298642,54.75113122171946,14.027149321266968
E00158987,122,49,19,30,73,68,5,40.16393442622951,15.573770491803279,24.59016393442623,59.83606557377049,55.73770491803278,4.098360655737705
E00158988,296,90,40,50,206,180,26,30.405405405405407,13.513513513513514,16.89189189189189,69.5945945945946,60.810810810810814,8.783783783783784
E00158989,137,45,16,29,92,66,26,32.846715328467155,11.678832116788321,21.16788321167883,67.15328467153284,48.175182481751825,18.97810218978102
E00158990,165,46,17,29,119,95,24,27.878787878787882,10.303030303030303,17.575757575757574,72.12121212121212,57.57575757575758,14.545454545454545
E00158991,211,63,28,35,148,123,25,29.85781990521327,13.270142180094787,16.587677725118482,70.14218009478674,58.29383886255924,11.848341232227488
E00158992,220,74,33,41,146,119,27,33.63636363636363,15,18.636363636363637,66.36363636363637,54.090909090909086,12.272727272727273
