OA,ts0030001,ts0030002,ts0030003,ts0030004,ts0030005,ts0030006,ts0030007,ts0030008,ts0030009,ts0030010,ts0030011,ts0030012,ts0030013,ts0030014,ts0030015,ts0030016,ts0030017,ts0030018,ts0030019,ts0030020,ts0030021,ts0030022,ts0030002_PCT,ts0030003_PCT,ts0030004_PCT,ts0030005_PCT,ts0030006_PCT,ts0030007_PCT,ts0030008_PCT,ts0030009_PCT,ts0030010_PCT,ts0030011_PCT,ts0030012_PCT,ts0030013_PCT,ts0030014_PCT,ts0030015_PCT,ts0030016_PCT,ts0030017_PCT,ts0030018_PCT,ts0030019_PCT,ts0030020_PCT,ts0030021_PCT,ts0030022_PCT
W00005264,92,28,14,14,57,8,23,9,9,5,15,8,5,2,11,10,1,0,0,7,1,6,30.434782608695656,15.217391304347828,15.217391304347828,61.95652173913043,8.695652173913043,25,9.782608695652174,9.782608695652174,5.434782608695652,16.304347826086957,8.695652173913043,5.434782608695652,2.1739130434782608,11.956521739130435,10.869565217391305,1.0869565217391304,0,0,7.608695652173914,1.0869565217391304,6.521739130434782
W00005265,139,29,15,14,99,5,44,17,11,16,23,6,15,2,26,25,1,1,1,11,7,4,20.863309352517987,10.79136690647482,10.071942446043165,71.22302158273382,3.5971223021582732,31.654676258992804,12.23021582733813,7.913669064748201,11.510791366906476,16.546762589928058,4.316546762589928,10.79136690647482,1.4388489208633095,18.705035971223023,17.985611510791365,0.7194244604316548,0.7194244604316548,0.7194244604316548,7.913669064748201,5.0359712230215825,2.877697841726619
W00005266,116,44,22,22,67,4,23,7,9,7,16,4,12,0,24,15,9,0,0,5,3,2,37.93103448275862,18.96551724137931,18.96551724137931,57.758620689655174,3.4482758620689653,19.82758620689655,6.0344827586206895,7.758620689655173,6.0344827586206895,13.793103448275861,3.4482758620689653,10.344827586206897,0,20.689655172413794,12.931034482758621,7.758620689655173,0,0,4.310344827586207,2.586206896551724,1.7241379310344827
W00005273,114,41,15,26,72,0,19,7,6,6,16,6,7,3,34,21,13,3,3,1,1,0,35.96491228070175,13.157894736842104,22.807017543859647,63.1578947368421,0,16.666666666666664,6.140350877192982,5.263157894736842,5.263157894736842,14.035087719298245,5.263157894736842,6.140350877192982,2.631578947368421,29.82456140350877,18.421052631578945,11.403508771929824,2.631578947368421,2.631578947368421,0.8771929824561403,0.8771929824561403,0
W00005267,116,37,18,19,72,4,32,14,6,12,12,3,7,2,23,13,10,1,1,7,3,4,31.896551724137932,15.517241379310345,16.379310344827587,62.06896551724138,3.4482758620689653,27.586206896551722,12.068965517241379,5.172413793103448,10.344827586206897,10.344827586206897,2.586206896551724,6.0344827586206895,1.7241379310344827,19.82758620689655,11.206896551724139,8.620689655172415,0.8620689655172413,0.8620689655172413,6.0344827586206895,2.586206896551724,3.4482758620689653
W00005268,127,36,13,23,87,13,36,11,16,9,17,4,10,3,20,15,5,1,1,4,1,3,28.346456692913385,10.236220472440944,18.11023622047244,68.50393700787401,10.236220472440944,28.346456692913385,8.661417322834646,12.598425196850393,7.086614173228346,13.385826771653544,3.149606299212598,7.874015748031496,2.3622047244094486,15.748031496062993,11.811023622047244,3.937007874015748,0.7874015748031495,0.7874015748031495,3.149606299212598,0.7874015748031495,2.3622047244094486
W00005269,121,47,19,28,67,7,24,13,2,9,18,5,9,4,18,10,8,0,0,7,3,4,38.84297520661157,15.702479338842975,23.140495867768596,55.371900826446286,5.785123966942149,19.834710743801654,10.743801652892563,1.6528925619834711,7.43801652892562,14.87603305785124,4.132231404958678,7.43801652892562,3.3057851239669422,14.87603305785124,8.264462809917356,6.6115702479338845,0,0,5.785123966942149,2.479338842975207,3.3057851239669422
W00005271,119,32,8,24,77,11,27,9,11,7,25,9,14,2,13,8,5,1,1,10,4,6,26.89075630252101,6.722689075630252,20.168067226890756,64.70588235294117,9.243697478991598,22.689075630252102,7.563025210084033,9.243697478991598,5.88235294117647,21.008403361344538,7.563025210084033,11.76470588235294,1.680672268907563,10.92436974789916,6.722689075630252,4.201680672268908,0.8403361344537815,0.8403361344537815,8.403361344537815,3.361344537815126,5.042016806722689
W00005272,131,47,21,26,80,6,34,18,8,8,22,9,9,4,17,12,5,1,1,4,1,3,35.87786259541985,16.030534351145036,19.84732824427481,61.06870229007634,4.580152671755725,25.954198473282442,13.740458015267176,6.106870229007633,6.106870229007633,16.793893129770993,6.870229007633588,6.870229007633588,3.0534351145038165,12.977099236641221,9.16030534351145,3.816793893129771,0.7633587786259541,0.7633587786259541,3.0534351145038165,0.7633587786259541,2.2900763358778624
W00005256,111,40,15,25,63,13,22,12,4,6,20,10,9,1,7,6,1,1,1,8,4,4,36.03603603603604,13.513513513513514,22.52252252252252,56.75675675675676,11.711711711711711,19.81981981981982,10.81081081081081,3.6036036036036037,5.405405405405405,18.01801801801802,9.00900900900901,8.108108108108109,0.9009009009009009,6.306306306306306,5.405405405405405,0.9009009009009009,0.9009009009009009,0.9009009009009009,7.207207207207207,3.6036036036036037,3.6036036036036037
