OA,ts0160001,ts0160002,ts0160003,ts0160004,ts0160005,ts0160006,ts0160002_PCT,ts0160003_PCT,ts0160004_PCT,ts0160005_PCT,ts0160006_PCT
E00126658,303,269,23,5,6,0,88.77887788778878,7.590759075907591,1.65016501650165,1.9801980198019802,0
E00126661,231,202,14,7,6,2,87.44588744588745,6.0606060606060606,3.0303030303030303,2.5974025974025974,0.8658008658008658
E00126662,299,261,25,10,3,0,87.29096989966555,8.361204013377927,3.3444816053511706,1.0033444816053512,0
E00126664,343,311,18,5,3,6,90.67055393586006,5.247813411078718,1.4577259475218658,0.8746355685131195,1.749271137026239
E00126646,410,380,20,7,1,2,92.6829268292683,4.878048780487805,1.707317073170732,0.24390243902439024,0.4878048780487805
E00126648,449,429,12,8,0,0,95.54565701559021,2.6726057906458798,1.7817371937639197,0,0
E00126652,102,91,5,3,1,2,89.2156862745098,4.901960784313726,2.941176470588235,0.9803921568627451,1.9607843137254901
E00126654,260,229,15,6,4,6,88.07692307692308,5.769230769230769,2.307692307692308,1.5384615384615385,2.307692307692308
E00126642,399,331,41,13,8,6,82.95739348370927,10.275689223057643,3.258145363408521,2.0050125313283207,1.5037593984962405
E00126647,293,245,27,13,6,2,83.61774744027304,9.215017064846416,4.436860068259386,2.04778156996587,0.6825938566552902
E00126650,268,221,21,19,6,1,82.46268656716418,7.835820895522389,7.08955223880597,2.2388059701492535,0.3731343283582089
E00126659,173,146,16,5,5,1,84.39306358381504,9.248554913294797,2.8901734104046244,2.8901734104046244,0.5780346820809248
E00126660,248,233,11,1,3,0,93.95161290322581,4.435483870967742,0.4032258064516129,1.2096774193548387,0
E00126649,204,194,10,0,0,0,95.09803921568627,4.901960784313726,0,0,0
E00126651,360,296,35,18,8,3,82.22222222222221,9.722222222222223,5,2.2222222222222223,0.8333333333333334
E00126653,315,297,14,1,1,2,94.28571428571428,4.444444444444445,0.31746031746031744,0.31746031746031744,0.6349206349206349
E00126655,429,406,13,6,0,4,94.63869463869464,3.0303030303030303,1.3986013986013985,0,0.9324009324009324
