OA,ts0620001,ts0620002,ts0620003,ts0620004,ts0620005,ts0620006,ts0620007,ts0620008,ts0620009,ts0620010,ts0620002_PCT,ts0620003_PCT,ts0620004_PCT,ts0620005_PCT,ts0620006_PCT,ts0620007_PCT,ts0620008_PCT,ts0620009_PCT,ts0620010_PCT
E00158652,265,27,63,34,23,28,37,32,7,14,10.18867924528302,23.77358490566038,12.830188679245284,8.679245283018867,10.566037735849058,13.962264150943396,12.075471698113208,2.6415094339622645,5.283018867924529
E00158653,367,65,83,53,36,18,29,35,16,32,17.71117166212534,22.615803814713896,14.441416893732969,9.809264305177113,4.904632152588556,7.901907356948229,9.536784741144414,4.35967302452316,8.71934604904632
E00158654,238,20,43,38,21,19,32,42,12,11,8.403361344537815,18.067226890756302,15.966386554621847,8.823529411764707,7.9831932773109235,13.445378151260504,17.647058823529413,5.042016806722689,4.621848739495799
E00158655,237,23,49,37,16,11,33,45,11,12,9.70464135021097,20.675105485232066,15.611814345991561,6.751054852320674,4.641350210970464,13.924050632911392,18.9873417721519,4.641350210970464,5.063291139240507
E00158656,251,14,46,25,20,19,36,53,26,12,5.577689243027888,18.326693227091635,9.9601593625498,7.968127490039841,7.569721115537849,14.342629482071715,21.115537848605577,10.358565737051793,4.780876494023905
E00158657,224,25,43,34,23,13,31,34,15,6,11.160714285714286,19.196428571428573,15.178571428571427,10.267857142857142,5.803571428571429,13.839285714285715,15.178571428571427,6.696428571428571,2.6785714285714284
E00158658,387,86,96,53,24,13,45,25,6,39,22.22222222222222,24.8062015503876,13.695090439276486,6.2015503875969,3.359173126614987,11.627906976744185,6.459948320413436,1.550387596899225,10.077519379844961
E00158659,198,15,40,32,17,14,26,36,11,7,7.575757575757576,20.2020202020202,16.161616161616163,8.585858585858585,7.07070707070707,13.131313131313133,18.181818181818183,5.555555555555555,3.535353535353535
E00158660,236,12,53,30,30,25,23,47,9,7,5.084745762711865,22.45762711864407,12.711864406779661,12.711864406779661,10.59322033898305,9.745762711864407,19.915254237288135,3.8135593220338984,2.9661016949152543
E00158661,265,26,48,36,22,23,30,55,13,12,9.811320754716983,18.11320754716981,13.584905660377359,8.30188679245283,8.679245283018867,11.320754716981133,20.754716981132077,4.905660377358491,4.528301886792453
