OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
E00000001,176,5,0,4,0,1,0,3,0,3,0,6,5,0,0,1,155,112,0,0,4,39,7,0,7,2.840909090909091,0,2.272727272727273,0,0.5681818181818182,0,1.7045454545454544,0,1.7045454545454544,0,3.4090909090909087,2.840909090909091,0,0,0.5681818181818182,88.06818181818183,63.63636363636363,0,0,2.272727272727273,22.15909090909091,3.977272727272727,0,3.977272727272727
E00000003,255,24,0,6,11,0,7,5,5,0,0,13,6,0,0,7,209,174,0,0,0,35,4,1,3,9.411764705882353,0,2.3529411764705883,4.313725490196078,0,2.7450980392156863,1.9607843137254901,1.9607843137254901,0,0,5.098039215686274,2.3529411764705883,0,0,2.7450980392156863,81.96078431372548,68.23529411764706,0,0,0,13.725490196078432,1.5686274509803921,0.39215686274509803,1.1764705882352942
E00000005,112,13,0,4,4,0,5,0,0,0,0,6,2,2,0,2,85,65,0,0,0,20,8,1,7,11.607142857142858,0,3.571428571428571,3.571428571428571,0,4.464285714285714,0,0,0,0,5.357142857142857,1.7857142857142856,1.7857142857142856,0,1.7857142857142856,75.89285714285714,58.03571428571429,0,0,0,17.857142857142858,7.142857142857142,0.8928571428571428,6.25
E00000007,144,24,0,16,1,0,7,2,2,0,0,4,2,1,0,1,106,62,4,0,0,40,8,5,3,16.666666666666664,0,11.11111111111111,0.6944444444444444,0,4.861111111111112,1.3888888888888888,1.3888888888888888,0,0,2.7777777777777777,1.3888888888888888,0.6944444444444444,0,0.6944444444444444,73.61111111111111,43.05555555555556,2.7777777777777777,0,0,27.77777777777778,5.555555555555555,3.4722222222222223,2.083333333333333
E00000010,175,10,1,3,3,0,3,12,5,5,2,22,7,3,1,11,120,83,0,0,0,37,11,1,10,5.714285714285714,0.5714285714285714,1.7142857142857144,1.7142857142857144,0,1.7142857142857144,6.857142857142858,2.857142857142857,2.857142857142857,1.1428571428571428,12.571428571428573,4,1.7142857142857144,0.5714285714285714,6.2857142857142865,68.57142857142857,47.42857142857143,0,0,0,21.142857142857142,6.2857142857142865,0.5714285714285714,5.714285714285714
E00000013,246,28,0,11,7,1,9,2,1,0,1,18,9,0,0,9,183,123,2,0,0,58,15,4,11,11.38211382113821,0,4.471544715447155,2.8455284552845526,0.40650406504065045,3.6585365853658534,0.8130081300813009,0.40650406504065045,0,0.40650406504065045,7.317073170731707,3.6585365853658534,0,0,3.6585365853658534,74.39024390243902,50,0.8130081300813009,0,0,23.577235772357724,6.097560975609756,1.6260162601626018,4.471544715447155
E00000018,248,24,4,8,8,0,4,0,0,0,0,11,1,2,0,8,204,150,3,0,0,51,9,1,8,9.67741935483871,1.6129032258064515,3.225806451612903,3.225806451612903,0,1.6129032258064515,0,0,0,0,4.435483870967742,0.4032258064516129,0.8064516129032258,0,3.225806451612903,82.25806451612904,60.483870967741936,1.2096774193548387,0,0,20.56451612903226,3.6290322580645165,0.4032258064516129,3.225806451612903
E00000019,371,83,0,54,12,1,16,0,0,0,0,22,9,2,0,11,247,134,14,0,3,96,19,9,10,22.371967654986523,0,14.555256064690028,3.234501347708895,0.2695417789757413,4.31266846361186,0,0,0,0,5.929919137466308,2.4258760107816713,0.5390835579514826,0,2.964959568733154,66.57681940700809,36.118598382749326,3.7735849056603774,0,0.8086253369272237,25.87601078167116,5.121293800539084,2.4258760107816713,2.6954177897574128
E00000020,202,20,2,5,7,1,5,0,0,0,0,14,9,0,0,5,159,122,9,0,2,26,9,2,7,9.900990099009901,0.9900990099009901,2.4752475247524752,3.4653465346534658,0.49504950495049505,2.4752475247524752,0,0,0,0,6.9306930693069315,4.455445544554455,0,0,2.4752475247524752,78.71287128712872,60.396039603960396,4.455445544554455,0,0.9900990099009901,12.871287128712872,4.455445544554455,0.9900990099009901,3.4653465346534658
E00000021,347,46,0,32,8,0,6,6,4,2,0,7,3,0,2,2,280,190,9,0,1,80,8,1,7,13.256484149855908,0,9.221902017291066,2.3054755043227666,0,1.729106628242075,1.729106628242075,1.1527377521613833,0.57636887608069165,0,2.0172910662824206,0.8645533141210375,0,0.57636887608069165,0.57636887608069165,80.69164265129683,54.7550432276657,2.5936599423631126,0,0.2881844380403458,23.054755043227665,2.3054755043227666,0.2881844380403458,2.0172910662824206
E00000022,220,23,3,0,7,0,13,17,12,4,1,17,4,2,4,7,136,98,6,0,0,32,27,11,16,10.454545454545453,1.3636363636363635,0,3.1818181818181817,0,5.909090909090909,7.727272727272727,5.454545454545454,1.8181818181818181,0.45454545454545453,7.727272727272727,1.8181818181818181,0.9090909090909091,1.8181818181818181,3.1818181818181817,61.81818181818181,44.54545454545455,2.727272727272727,0,0,14.545454545454545,12.272727272727273,5,7.2727272727272725
E00000023,209,31,5,14,4,0,8,7,7,0,0,12,5,0,2,5,140,84,5,0,1,50,19,0,19,14.832535885167463,2.3923444976076556,6.698564593301436,1.9138755980861244,0,3.827751196172249,3.349282296650718,3.349282296650718,0,0,5.741626794258373,2.3923444976076556,0,0.9569377990430622,2.3923444976076556,66.98564593301435,40.19138755980861,2.3923444976076556,0,0.4784688995215311,23.923444976076556,9.090909090909092,0,9.090909090909092
E00000024,368,46,1,24,13,0,8,7,4,3,0,29,6,1,13,9,267,170,7,0,11,79,19,1,18,12.5,0.2717391304347826,6.521739130434782,3.532608695652174,0,2.1739130434782608,1.9021739130434785,1.0869565217391304,0.8152173913043478,0,7.880434782608696,1.6304347826086956,0.2717391304347826,3.532608695652174,2.4456521739130435,72.55434782608695,46.19565217391305,1.9021739130434785,0,2.989130434782609,21.467391304347828,5.163043478260869,0.2717391304347826,4.891304347826087
E00000025,332,61,0,36,8,3,14,4,2,2,0,24,7,3,2,12,239,127,9,0,0,103,4,1,3,18.373493975903614,0,10.843373493975903,2.4096385542168677,0.9036144578313252,4.216867469879518,1.2048192771084338,0.6024096385542169,0.6024096385542169,0,7.228915662650602,2.108433734939759,0.9036144578313252,0.6024096385542169,3.614457831325301,71.98795180722891,38.25301204819277,2.710843373493976,0,0,31.024096385542173,1.2048192771084338,0.30120481927710846,0.9036144578313252
E00000028,218,67,0,47,11,1,8,7,7,0,0,5,2,0,0,3,126,45,2,0,3,76,13,1,12,30.73394495412844,0,21.55963302752294,5.045871559633028,0.45871559633027525,3.669724770642202,3.211009174311927,3.211009174311927,0,0,2.293577981651376,0.9174311926605505,0,0,1.3761467889908259,57.798165137614674,20.642201834862387,0.9174311926605505,0,1.3761467889908259,34.862385321100916,5.963302752293578,0.45871559633027525,5.5045871559633035
E00000029,282,101,62,24,9,0,6,15,9,5,1,12,4,1,1,6,130,69,5,0,3,53,24,7,17,35.815602836879435,21.98581560283688,8.51063829787234,3.1914893617021276,0,2.127659574468085,5.319148936170213,3.1914893617021276,1.773049645390071,0.3546099290780142,4.25531914893617,1.4184397163120568,0.3546099290780142,0.3546099290780142,2.127659574468085,46.09929078014184,24.46808510638298,1.773049645390071,0,1.0638297872340425,18.79432624113475,8.51063829787234,2.4822695035460995,6.028368794326241
E00000030,313,50,26,5,7,0,12,38,21,12,5,32,9,5,11,7,142,80,7,0,3,52,51,6,45,15.974440894568689,8.30670926517572,1.5974440894568689,2.2364217252396164,0,3.8338658146964857,12.140575079872203,6.7092651757188495,3.8338658146964857,1.5974440894568689,10.223642172523961,2.8753993610223643,1.5974440894568689,3.5143769968051117,2.2364217252396164,45.367412140575084,25.559105431309902,2.2364217252396164,0,0.9584664536741214,16.61341853035144,16.293929712460063,1.9169329073482428,14.376996805111823
E00000031,151,25,6,6,7,1,5,15,10,2,3,15,0,2,3,10,69,45,5,0,0,19,27,5,22,16.55629139072848,3.9735099337748347,3.9735099337748347,4.635761589403973,0.6622516556291391,3.3112582781456954,9.933774834437086,6.622516556291391,1.3245033112582782,1.9867549668874174,9.933774834437086,0,1.3245033112582782,1.9867549668874174,6.622516556291391,45.6953642384106,29.80132450331126,3.3112582781456954,0,0,12.582781456953644,17.880794701986755,3.3112582781456954,14.56953642384106
E00000032,358,172,164,0,0,0,8,49,35,8,6,20,3,4,5,8,92,65,3,0,0,24,25,8,17,48.04469273743017,45.81005586592179,0,0,0,2.2346368715083798,13.687150837988826,9.776536312849162,2.2346368715083798,1.675977653631285,5.58659217877095,0.8379888268156425,1.1173184357541899,1.3966480446927374,2.2346368715083798,25.69832402234637,18.156424581005588,0.8379888268156425,0,0,6.70391061452514,6.983240223463687,2.2346368715083798,4.748603351955307
E00166755,348,63,1,11,40,7,4,3,3,0,0,24,5,0,2,17,240,126,5,0,4,105,18,6,12,18.103448275862068,0.28735632183908044,3.1609195402298855,11.494252873563218,2.0114942528735633,1.1494252873563218,0.8620689655172413,0.8620689655172413,0,0,6.896551724137931,1.4367816091954022,0,0.5747126436781609,4.885057471264368,68.96551724137932,36.206896551724135,1.4367816091954022,0,1.1494252873563218,30.17241379310345,5.172413793103448,1.7241379310344827,3.4482758620689653
E00166756,279,58,4,25,22,0,7,0,0,0,0,11,5,3,2,1,182,83,9,0,1,89,28,13,15,20.78853046594982,1.4336917562724014,8.960573476702509,7.885304659498208,0,2.5089605734767026,0,0,0,0,3.942652329749104,1.7921146953405016,1.0752688172043012,0.7168458781362007,0.35842293906810035,65.23297491039428,29.749103942652326,3.225806451612903,0,0.35842293906810035,31.899641577060933,10.03584229390681,4.659498207885305,5.376344086021505
E00166757,396,103,0,41,34,4,24,3,3,0,0,28,16,2,2,8,248,126,5,0,1,116,14,4,10,26.01010101010101,0,10.353535353535353,8.585858585858585,1.0101010101010102,6.0606060606060606,0.7575757575757576,0.7575757575757576,0,0,7.07070707070707,4.040404040404041,0.5050505050505051,0.5050505050505051,2.0202020202020203,62.62626262626263,31.818181818181817,1.2626262626262625,0,0.25252525252525254,29.292929292929294,3.535353535353535,1.0101010101010102,2.525252525252525
E00190348,216,8,0,4,2,0,2,3,3,0,0,6,3,0,0,3,195,139,7,0,0,49,4,0,4,3.7037037037037033,0,1.8518518518518516,0.9259259259259258,0,0.9259259259259258,1.3888888888888888,1.3888888888888888,0,0,2.7777777777777777,1.3888888888888888,0,0,1.3888888888888888,90.27777777777779,64.35185185185185,3.2407407407407405,0,0,22.685185185185187,1.8518518518518516,0,1.8518518518518516
E00190349,255,20,2,5,3,1,9,15,6,5,4,12,0,6,0,6,188,128,6,0,3,51,20,1,19,7.8431372549019605,0.7843137254901961,1.9607843137254901,1.1764705882352942,0.39215686274509803,3.5294117647058822,5.88235294117647,2.3529411764705883,1.9607843137254901,1.5686274509803921,4.705882352941177,0,2.3529411764705883,0,2.3529411764705883,73.72549019607844,50.19607843137255,2.3529411764705883,0,1.1764705882352942,20,7.8431372549019605,0.39215686274509803,7.450980392156863
E00190405,203,51,0,29,10,4,8,0,0,0,0,7,5,0,0,2,134,52,8,0,2,72,11,4,7,25.12315270935961,0,14.285714285714285,4.926108374384237,1.9704433497536946,3.9408866995073892,0,0,0,0,3.4482758620689653,2.4630541871921183,0,0,0.9852216748768473,66.00985221674877,25.615763546798032,3.9408866995073892,0,0.9852216748768473,35.467980295566505,5.41871921182266,1.9704433497536946,3.4482758620689653
E00190407,225,23,0,14,6,0,3,3,0,1,2,11,7,1,0,3,178,111,9,0,1,57,10,2,8,10.222222222222223,0,6.222222222222222,2.666666666666667,0,1.3333333333333335,1.3333333333333335,0,0.4444444444444444,0.8888888888888888,4.888888888888889,3.111111111111111,0.4444444444444444,0,1.3333333333333335,79.11111111111111,49.333333333333336,4,0,0.4444444444444444,25.333333333333336,4.444444444444445,0.8888888888888888,3.5555555555555554
E00190426,184,44,0,25,5,2,12,5,4,1,0,1,0,0,1,0,128,52,0,0,6,70,6,4,2,23.91304347826087,0,13.586956521739129,2.717391304347826,1.0869565217391304,6.521739130434782,2.717391304347826,2.1739130434782608,0.5434782608695652,0,0.5434782608695652,0,0,0.5434782608695652,0,69.56521739130434,28.26086956521739,0,0,3.260869565217391,38.04347826086957,3.260869565217391,2.1739130434782608,1.0869565217391304
E00190429,281,22,0,7,11,0,4,1,1,0,0,3,2,0,0,1,247,177,10,0,4,56,8,1,7,7.829181494661921,0,2.491103202846975,3.9145907473309607,0,1.4234875444839856,0.3558718861209964,0.3558718861209964,0,0,1.0676156583629894,0.7117437722419928,0,0,0.3558718861209964,87.90035587188612,62.989323843416365,3.558718861209965,0,1.4234875444839856,19.9288256227758,2.8469750889679712,0.3558718861209964,2.491103202846975
E00190433,226,12,0,4,0,1,7,0,0,0,0,11,5,1,0,5,198,149,8,0,2,39,5,1,4,5.3097345132743365,0,1.7699115044247788,0,0.4424778761061947,3.0973451327433628,0,0,0,0,4.867256637168142,2.2123893805309733,0.4424778761061947,0,2.2123893805309733,87.61061946902655,65.929203539823,3.5398230088495577,0,0.8849557522123894,17.25663716814159,2.2123893805309733,0.4424778761061947,1.7699115044247788
E00190437,356,20,0,11,4,0,5,2,1,1,0,10,3,3,0,4,309,232,8,0,0,69,15,2,13,5.617977528089887,0,3.089887640449438,1.1235955056179776,0,1.4044943820224718,0.5617977528089888,0.2808988764044944,0.2808988764044944,0,2.8089887640449436,0.8426966292134831,0.8426966292134831,0,1.1235955056179776,86.79775280898876,65.1685393258427,2.247191011235955,0,0,19.382022471910112,4.213483146067416,0.5617977528089888,3.651685393258427
E00190440,231,35,0,17,8,2,8,0,0,0,0,15,11,0,4,0,171,72,6,0,1,92,10,0,10,15.151515151515152,0,7.35930735930736,3.463203463203463,0.8658008658008658,3.463203463203463,0,0,0,0,6.493506493506493,4.761904761904762,0,1.7316017316017316,0,74.02597402597402,31.16883116883117,2.5974025974025974,0,0.4329004329004329,39.82683982683983,4.329004329004329,0,4.329004329004329
E00190445,147,19,0,7,9,0,3,0,0,0,0,9,7,1,0,1,116,65,5,0,0,46,3,0,3,12.925170068027212,0,4.761904761904762,6.122448979591836,0,2.0408163265306123,0,0,0,0,6.122448979591836,4.761904761904762,0.6802721088435374,0,0.6802721088435374,78.91156462585033,44.21768707482993,3.4013605442176873,0,0,31.292517006802722,2.0408163265306123,0,2.0408163265306123
E00190449,259,61,1,27,22,0,11,4,3,0,1,13,6,1,1,5,169,72,1,0,5,91,12,3,9,23.552123552123554,0.3861003861003861,10.424710424710424,8.494208494208493,0,4.247104247104247,1.5444015444015444,1.1583011583011582,0,0.3861003861003861,5.019305019305019,2.3166023166023164,0.3861003861003861,0.3861003861003861,1.9305019305019304,65.25096525096525,27.7992277992278,0.3861003861003861,0,1.9305019305019304,35.13513513513514,4.633204633204633,1.1583011583011582,3.474903474903475
E00190458,251,48,1,18,19,2,8,2,2,0,0,17,5,4,0,8,173,70,9,0,1,93,11,7,4,19.12350597609562,0.398406374501992,7.171314741035857,7.569721115537849,0.796812749003984,3.187250996015936,0.796812749003984,0.796812749003984,0,0,6.772908366533864,1.9920318725099602,1.593625498007968,0,3.187250996015936,68.92430278884463,27.88844621513944,3.5856573705179287,0,0.398406374501992,37.05179282868526,4.382470119521913,2.788844621513944,1.593625498007968
