OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
E00155162,249,24,0,0,4,12,8,0,0,0,0,1,1,0,0,0,224,216,1,0,0,7,0,0,0,9.63855421686747,0,0,1.6064257028112447,4.819277108433735,3.2128514056224895,0,0,0,0,0.4016064257028112,0.4016064257028112,0,0,0,89.95983935742971,86.74698795180723,0.4016064257028112,0,0,2.8112449799196786,0,0,0
E00155163,302,24,0,0,13,8,3,0,0,0,0,3,0,0,0,3,273,246,2,17,1,7,2,0,2,7.9470198675496695,0,0,4.304635761589404,2.6490066225165565,0.9933774834437087,0,0,0,0,0.9933774834437087,0,0,0,0.9933774834437087,90.39735099337747,81.45695364238411,0.6622516556291391,5.629139072847682,0.33112582781456956,2.3178807947019866,0.6622516556291391,0,0.6622516556291391
E00155164,287,2,0,0,1,1,0,0,0,0,0,4,3,0,1,0,281,264,2,0,4,11,0,0,0,0.6968641114982579,0,0,0.34843205574912894,0.34843205574912894,0,0,0,0,0,1.3937282229965158,1.0452961672473868,0,0.34843205574912894,0,97.90940766550523,91.98606271777004,0.6968641114982579,0,1.3937282229965158,3.8327526132404177,0,0,0
E00155165,358,13,0,6,2,3,2,0,0,0,0,13,6,1,1,5,328,300,0,4,0,24,4,1,3,3.6312849162011176,0,1.675977653631285,0.5586592178770949,0.8379888268156425,0.5586592178770949,0,0,0,0,3.6312849162011176,1.675977653631285,0.27932960893854747,0.27932960893854747,1.3966480446927374,91.62011173184358,83.79888268156425,0,1.1173184357541899,0,6.70391061452514,1.1173184357541899,0.27932960893854747,0.8379888268156425
E00155166,245,21,0,10,2,2,7,1,0,1,0,6,1,4,1,0,217,199,2,0,0,16,0,0,0,8.571428571428571,0,4.081632653061225,0.8163265306122449,0.8163265306122449,2.857142857142857,0.40816326530612246,0,0.40816326530612246,0,2.4489795918367347,0.40816326530612246,1.6326530612244898,0.40816326530612246,0,88.57142857142857,81.22448979591836,0.8163265306122449,0,0,6.530612244897959,0,0,0
E00155167,273,15,0,2,0,13,0,0,0,0,0,0,0,0,0,0,254,246,1,0,0,7,4,0,4,5.4945054945054945,0,0.7326007326007326,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,93.04029304029304,90.10989010989012,0.3663003663003663,0,0,2.564102564102564,1.465201465201465,0,1.465201465201465
E00155168,307,11,0,0,2,6,3,3,1,0,2,0,0,0,0,0,286,265,8,1,3,9,7,0,7,3.5830618892508146,0,0,0.6514657980456027,1.9543973941368076,0.9771986970684038,0.9771986970684038,0.32573289902280134,0,0.6514657980456027,0,0,0,0,0,93.15960912052117,86.31921824104235,2.6058631921824107,0.32573289902280134,0.9771986970684038,2.9315960912052117,2.2801302931596092,0,2.2801302931596092
E00155169,159,12,0,0,0,0,12,0,0,0,0,5,5,0,0,0,142,130,4,3,1,4,0,0,0,7.547169811320755,0,0,0,0,7.547169811320755,0,0,0,0,3.1446540880503147,3.1446540880503147,0,0,0,89.30817610062893,81.76100628930818,2.515723270440252,1.8867924528301887,0.628930817610063,2.515723270440252,0,0,0
E00155170,318,9,0,1,7,0,1,0,0,0,0,10,5,1,1,3,299,287,0,0,0,12,0,0,0,2.8301886792452833,0,0.3144654088050315,2.20125786163522,0,0.3144654088050315,0,0,0,0,3.1446540880503147,1.5723270440251573,0.3144654088050315,0.3144654088050315,0.9433962264150944,94.0251572327044,90.25157232704403,0,0,0,3.7735849056603774,0,0,0
E00155171,355,34,6,0,2,3,23,6,5,1,0,13,2,1,3,7,296,283,0,3,0,10,6,0,6,9.577464788732394,1.6901408450704223,0,0.5633802816901409,0.8450704225352111,6.478873239436619,1.6901408450704223,1.4084507042253522,0.28169014084507044,0,3.6619718309859155,0.5633802816901409,0.28169014084507044,0.8450704225352111,1.971830985915493,83.38028169014085,79.71830985915493,0,0.8450704225352111,0,2.8169014084507045,1.6901408450704223,0,1.6901408450704223
