OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00002461,467,459,456,2,2,0,0,0,1,1,1,2,2,3,0,98.28693790149893,97.64453961456103,0.4282655246252677,0.4282655246252677,0,0,0,0.21413276231263384,0.21413276231263384,0.21413276231263384,0.4282655246252677,0.4282655246252677,0.6423982869379015,0
W00002463,204,199,195,3,3,0,0,0,1,1,2,2,1,0,0,97.54901960784314,95.58823529411765,1.4705882352941175,1.4705882352941175,0,0,0,0.49019607843137253,0.49019607843137253,0.9803921568627451,0.9803921568627451,0.49019607843137253,0,0
W00009784,153,149,147,2,2,0,0,0,0,0,2,1,1,0,0,97.38562091503267,96.07843137254902,1.3071895424836601,1.3071895424836601,0,0,0,0,0,1.3071895424836601,0.6535947712418301,0.6535947712418301,0,0
W00009785,429,418,411,6,3,3,0,0,1,1,1,7,0,3,0,97.43589743589743,95.8041958041958,1.3986013986013985,0.6993006993006993,0.6993006993006993,0,0,0.2331002331002331,0.2331002331002331,0.2331002331002331,1.6317016317016315,0,0.6993006993006993,0
W00009786,335,331,330,1,1,0,0,0,0,0,3,0,0,1,0,98.80597014925372,98.50746268656717,0.2985074626865672,0.2985074626865672,0,0,0,0,0,0.8955223880597015,0,0,0.2985074626865672,0
W00002499,222,218,216,2,2,0,0,0,0,0,2,1,0,1,0,98.1981981981982,97.2972972972973,0.9009009009009009,0.9009009009009009,0,0,0,0,0,0.9009009009009009,0.45045045045045046,0,0.45045045045045046,0
W00002500,256,253,252,1,1,0,0,0,0,0,0,1,2,0,0,98.828125,98.4375,0.390625,0.390625,0,0,0,0,0,0,0.390625,0.78125,0,0
W00002501,312,308,300,7,5,1,0,1,1,1,1,1,2,0,0,98.71794871794873,96.15384615384616,2.2435897435897436,1.6025641025641024,0.3205128205128205,0,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.641025641025641,0,0
W00002502,505,500,486,14,2,8,2,2,0,0,1,0,3,1,0,99.00990099009901,96.23762376237623,2.7722772277227725,0.39603960396039606,1.5841584158415842,0.39603960396039606,0.39603960396039606,0,0,0.19801980198019803,0,0.594059405940594,0.19801980198019803,0
W00002503,312,308,308,0,0,0,0,0,0,0,0,2,1,1,0,98.71794871794873,98.71794871794873,0,0,0,0,0,0,0,0,0.641025641025641,0.3205128205128205,0.3205128205128205,0
W00002504,380,374,368,6,1,5,0,0,0,0,0,1,4,1,0,98.42105263157895,96.84210526315789,1.5789473684210527,0.2631578947368421,1.3157894736842104,0,0,0,0,0,0.2631578947368421,1.0526315789473684,0.2631578947368421,0
W00002457,461,455,453,2,2,0,0,0,0,0,1,0,2,3,0,98.69848156182212,98.2646420824295,0.43383947939262474,0.43383947939262474,0,0,0,0,0,0.21691973969631237,0,0.43383947939262474,0.6507592190889371,0
W00002458,339,336,330,6,5,1,0,0,0,0,3,0,0,0,0,99.11504424778761,97.34513274336283,1.7699115044247788,1.4749262536873156,0.2949852507374631,0,0,0,0,0.8849557522123894,0,0,0,0
W00002459,242,237,229,8,6,2,0,0,0,0,2,0,0,3,0,97.93388429752066,94.62809917355372,3.3057851239669422,2.479338842975207,0.8264462809917356,0,0,0,0,0.8264462809917356,0,0,1.2396694214876034,0
W00002531,336,333,326,6,2,3,0,1,1,1,0,2,1,0,0,99.10714285714286,97.02380952380952,1.7857142857142856,0.5952380952380952,0.8928571428571428,0,0.2976190476190476,0.2976190476190476,0.2976190476190476,0,0.5952380952380952,0.2976190476190476,0,0
W00002532,317,312,299,13,9,4,0,0,0,0,3,1,1,0,0,98.42271293375394,94.3217665615142,4.100946372239748,2.8391167192429023,1.2618296529968454,0,0,0,0,0.9463722397476341,0.31545741324921134,0.31545741324921134,0,0
W00002533,344,339,329,9,3,6,0,0,1,1,5,0,0,0,0,98.54651162790698,95.63953488372093,2.616279069767442,0.872093023255814,1.744186046511628,0,0,0.29069767441860467,0.29069767441860467,1.4534883720930232,0,0,0,0
W00002534,359,355,351,4,4,0,0,0,0,0,1,2,0,1,0,98.88579387186628,97.7715877437326,1.1142061281337048,1.1142061281337048,0,0,0,0,0,0.2785515320334262,0.5571030640668524,0,0.2785515320334262,0
W00002489,299,294,293,1,1,0,0,0,0,0,2,2,1,0,0,98.32775919732441,97.9933110367893,0.33444816053511706,0.33444816053511706,0,0,0,0,0,0.6688963210702341,0.6688963210702341,0.33444816053511706,0,0
W00002490,257,255,246,9,9,0,0,0,0,0,0,1,0,1,0,99.22178988326849,95.71984435797665,3.501945525291829,3.501945525291829,0,0,0,0,0,0,0.38910505836575876,0,0.38910505836575876,0
W00002491,211,209,207,2,2,0,0,0,0,0,0,1,1,0,0,99.0521327014218,98.10426540284361,0.9478672985781991,0.9478672985781991,0,0,0,0,0,0,0.47393364928909953,0.47393364928909953,0,0
W00002492,252,244,235,9,3,2,4,0,0,0,5,0,3,0,0,96.82539682539682,93.25396825396825,3.571428571428571,1.1904761904761905,0.7936507936507936,1.5873015873015872,0,0,0,1.984126984126984,0,1.1904761904761905,0,0
W00002493,494,486,479,6,3,2,1,0,1,1,4,3,1,0,0,98.38056680161942,96.96356275303644,1.214574898785425,0.6072874493927125,0.4048582995951417,0.20242914979757085,0,0.20242914979757085,0.20242914979757085,0.8097165991902834,0.6072874493927125,0.20242914979757085,0,0
W00002495,444,442,438,4,3,1,0,0,0,0,1,1,0,0,0,99.54954954954955,98.64864864864865,0.9009009009009009,0.6756756756756757,0.22522522522522523,0,0,0,0,0.22522522522522523,0.22522522522522523,0,0,0
W00002494,413,403,402,1,0,0,0,1,0,0,2,5,2,1,0,97.57869249394673,97.3365617433414,0.24213075060532688,0,0,0,0.24213075060532688,0,0,0.48426150121065376,1.2106537530266344,0.48426150121065376,0.24213075060532688,0
W00002496,286,279,277,2,2,0,0,0,0,0,1,0,6,0,0,97.55244755244755,96.85314685314685,0.6993006993006993,0.6993006993006993,0,0,0,0,0,0.34965034965034963,0,2.097902097902098,0,0
W00002497,313,311,299,12,8,0,4,0,0,0,2,0,0,0,0,99.36102236421725,95.52715654952077,3.8338658146964857,2.5559105431309903,0,1.2779552715654952,0,0,0,0.6389776357827476,0,0,0,0
W00002498,370,365,356,8,6,1,1,0,1,1,0,3,0,2,0,98.64864864864865,96.21621621621622,2.1621621621621623,1.6216216216216217,0.2702702702702703,0.2702702702702703,0,0.2702702702702703,0.2702702702702703,0,0.8108108108108109,0,0.5405405405405406,0
W00002365,382,375,371,4,3,0,0,1,0,0,0,4,1,2,0,98.1675392670157,97.12041884816755,1.0471204188481675,0.7853403141361256,0,0,0.2617801047120419,0,0,0,1.0471204188481675,0.2617801047120419,0.5235602094240838,0
W00002366,227,220,212,7,4,3,0,0,1,1,4,0,2,1,0,96.91629955947137,93.3920704845815,3.0837004405286343,1.762114537444934,1.3215859030837005,0,0,0.4405286343612335,0.4405286343612335,1.762114537444934,0,0.881057268722467,0.4405286343612335,0
W00002367,323,314,314,0,0,0,0,0,0,0,2,6,0,1,0,97.21362229102168,97.21362229102168,0,0,0,0,0,0,0,0.6191950464396285,1.8575851393188854,0,0.30959752321981426,0
W00002368,340,333,329,4,2,2,0,0,0,0,2,3,2,0,0,97.94117647058823,96.76470588235294,1.1764705882352942,0.5882352941176471,0.5882352941176471,0,0,0,0,0.5882352941176471,0.8823529411764706,0.5882352941176471,0,0
W00002369,257,250,249,1,1,0,0,0,0,0,0,3,1,3,0,97.27626459143968,96.88715953307393,0.38910505836575876,0.38910505836575876,0,0,0,0,0,0,1.1673151750972763,0.38910505836575876,1.1673151750972763,0
