OA,ts0670001,ts0670002,ts0670003,ts0670004,ts0670005,ts0670006,ts0670007,ts0670008,ts0670002_PCT,ts0670003_PCT,ts0670004_PCT,ts0670005_PCT,ts0670006_PCT,ts0670007_PCT,ts0670008_PCT
E00097747,184,19,14,17,16,17,92,9,10.326086956521738,7.608695652173914,9.239130434782608,8.695652173913043,9.239130434782608,50,4.891304347826087
E00097748,223,21,14,12,13,30,123,10,9.417040358744394,6.278026905829597,5.381165919282512,5.829596412556054,13.452914798206278,55.15695067264574,4.484304932735426
E00097749,231,21,19,23,14,39,115,0,9.090909090909092,8.225108225108226,9.956709956709958,6.0606060606060606,16.883116883116884,49.78354978354979,0
E00097750,203,17,16,22,8,18,113,9,8.374384236453201,7.8817733990147785,10.83743842364532,3.9408866995073892,8.866995073891626,55.66502463054187,4.433497536945813
E00097751,213,31,19,23,13,37,85,5,14.553990610328638,8.92018779342723,10.7981220657277,6.103286384976526,17.370892018779344,39.906103286384976,2.3474178403755865
E00097752,235,51,16,24,24,29,81,10,21.70212765957447,6.808510638297872,10.212765957446807,10.212765957446807,12.340425531914894,34.46808510638298,4.25531914893617
E00097753,280,24,22,28,16,36,151,3,8.571428571428571,7.857142857142857,10,5.714285714285714,12.857142857142856,53.92857142857142,1.0714285714285714
E00097754,218,23,9,24,7,30,121,4,10.550458715596331,4.128440366972478,11.009174311926607,3.211009174311927,13.761467889908257,55.5045871559633,1.834862385321101
E00097755,220,25,12,23,23,38,95,4,11.363636363636363,5.454545454545454,10.454545454545453,10.454545454545453,17.272727272727273,43.18181818181818,1.8181818181818181
E00097756,233,25,17,34,17,39,95,6,10.72961373390558,7.296137339055794,14.592274678111588,7.296137339055794,16.738197424892704,40.772532188841204,2.575107296137339
E00097757,344,36,29,47,14,50,157,11,10.465116279069768,8.430232558139535,13.662790697674417,4.069767441860465,14.534883720930234,45.63953488372093,3.1976744186046515
E00097758,261,35,15,36,24,42,100,9,13.409961685823754,5.747126436781609,13.793103448275861,9.195402298850574,16.091954022988507,38.31417624521073,3.4482758620689653
E00097759,230,27,14,24,16,30,112,7,11.73913043478261,6.086956521739131,10.434782608695652,6.956521739130435,13.043478260869565,48.69565217391305,3.0434782608695654
E00097760,317,36,17,35,20,54,139,16,11.35646687697161,5.3627760252365935,11.041009463722396,6.309148264984227,17.034700315457414,43.84858044164038,5.047318611987381
E00097761,152,12,18,19,5,19,75,4,7.894736842105263,11.842105263157894,12.5,3.289473684210526,12.5,49.34210526315789,2.631578947368421
E00097762,218,23,16,29,17,43,90,0,10.550458715596331,7.339449541284404,13.302752293577983,7.79816513761468,19.724770642201836,41.284403669724774,0
E00097763,235,22,17,22,17,51,102,4,9.361702127659575,7.234042553191489,9.361702127659575,7.234042553191489,21.70212765957447,43.40425531914894,1.702127659574468
E00097764,322,48,25,19,23,50,152,5,14.906832298136646,7.763975155279502,5.900621118012422,7.142857142857142,15.527950310559005,47.20496894409938,1.5527950310559007
E00097765,96,10,8,13,3,20,38,4,10.416666666666668,8.333333333333332,13.541666666666666,3.125,20.833333333333336,39.58333333333333,4.166666666666666
E00097766,271,32,22,32,18,48,106,13,11.808118081180812,8.118081180811808,11.808118081180812,6.642066420664207,17.712177121771216,39.11439114391143,4.797047970479705
E00097767,280,25,19,35,19,33,146,3,8.928571428571429,6.785714285714286,12.5,6.785714285714286,11.785714285714285,52.142857142857146,1.0714285714285714
E00097768,274,26,21,30,23,32,131,11,9.48905109489051,7.664233576642336,10.948905109489052,8.394160583941606,11.678832116788321,47.81021897810219,4.014598540145985
E00097769,215,47,10,25,29,33,67,4,21.86046511627907,4.651162790697675,11.627906976744185,13.488372093023257,15.348837209302326,31.16279069767442,1.8604651162790697
E00097770,200,32,26,31,15,38,58,0,16,13,15.5,7.5,19,28.999999999999996,0
E00097771,169,34,17,29,11,28,46,4,20.118343195266274,10.059171597633137,17.159763313609467,6.508875739644971,16.56804733727811,27.218934911242602,2.366863905325444
E00097772,207,40,19,27,21,19,74,7,19.32367149758454,9.178743961352657,13.043478260869565,10.144927536231885,9.178743961352657,35.748792270531396,3.3816425120772946
E00097773,326,30,25,42,19,47,158,5,9.202453987730062,7.668711656441718,12.883435582822086,5.828220858895705,14.417177914110429,48.466257668711656,1.5337423312883436
E00097774,146,17,11,19,13,19,67,0,11.643835616438356,7.534246575342466,13.013698630136986,8.904109589041095,13.013698630136986,45.89041095890411,0
E00097775,151,31,23,20,15,22,34,6,20.52980132450331,15.2317880794702,13.245033112582782,9.933774834437086,14.56953642384106,22.516556291390728,3.9735099337748347
E00097776,104,29,11,15,13,16,19,1,27.884615384615387,10.576923076923077,14.423076923076922,12.5,15.384615384615385,18.269230769230766,0.9615384615384616
E00097777,305,45,23,36,17,45,135,4,14.754098360655737,7.540983606557377,11.80327868852459,5.573770491803279,14.754098360655737,44.26229508196721,1.3114754098360655
E00097778,202,23,8,32,14,38,81,6,11.386138613861387,3.9603960396039604,15.841584158415841,6.9306930693069315,18.81188118811881,40.099009900990104,2.9702970297029703
E00097779,230,36,17,36,15,49,72,5,15.65217391304348,7.391304347826087,15.65217391304348,6.521739130434782,21.304347826086957,31.30434782608696,2.1739130434782608
E00097780,121,16,11,19,6,21,47,1,13.223140495867769,9.090909090909092,15.702479338842975,4.958677685950414,17.355371900826448,38.84297520661157,0.8264462809917356
E00097781,220,17,12,33,13,27,111,7,7.727272727272727,5.454545454545454,15,5.909090909090909,12.272727272727273,50.45454545454545,3.1818181818181817
E00097782,256,33,12,49,12,44,102,4,12.890625,4.6875,19.140625,4.6875,17.1875,39.84375,1.5625
E00097783,211,16,17,31,10,37,92,8,7.5829383886255926,8.056872037914692,14.691943127962084,4.739336492890995,17.535545023696685,43.60189573459716,3.7914691943127963
E00097784,299,41,25,37,18,71,106,1,13.712374581939798,8.361204013377927,12.37458193979933,6.0200668896321075,23.745819397993312,35.45150501672241,0.33444816053511706
E00097785,230,38,18,32,16,40,86,0,16.52173913043478,7.82608695652174,13.91304347826087,6.956521739130435,17.391304347826086,37.391304347826086,0
E00097787,321,38,34,45,28,73,95,8,11.838006230529595,10.59190031152648,14.018691588785046,8.722741433021806,22.741433021806852,29.595015576323984,2.4922118380062304
E00097789,265,43,26,28,25,34,102,7,16.22641509433962,9.811320754716983,10.566037735849058,9.433962264150944,12.830188679245284,38.49056603773585,2.6415094339622645
E00097790,323,40,21,39,25,68,127,3,12.38390092879257,6.5015479876160995,12.074303405572756,7.739938080495357,21.052631578947366,39.318885448916404,0.9287925696594427
E00097791,206,26,11,24,6,42,92,5,12.62135922330097,5.339805825242718,11.650485436893204,2.912621359223301,20.388349514563107,44.66019417475729,2.4271844660194173
E00097792,408,43,29,45,26,83,173,9,10.53921568627451,7.107843137254902,11.029411764705882,6.372549019607843,20.34313725490196,42.40196078431372,2.2058823529411766
E00097793,156,11,9,17,4,30,85,0,7.051282051282051,5.769230769230769,10.897435897435898,2.564102564102564,19.230769230769234,54.48717948717948,0
E00097794,297,29,30,41,19,59,111,8,9.764309764309765,10.1010101010101,13.804713804713806,6.397306397306397,19.865319865319865,37.37373737373738,2.6936026936026933
E00097796,236,33,13,28,15,36,106,5,13.983050847457626,5.508474576271186,11.864406779661017,6.3559322033898304,15.254237288135593,44.91525423728814,2.11864406779661
E00097797,137,19,7,11,19,22,53,6,13.86861313868613,5.109489051094891,8.02919708029197,13.86861313868613,16.05839416058394,38.68613138686132,4.37956204379562
E00097798,230,21,14,35,18,46,86,10,9.130434782608695,6.086956521739131,15.217391304347828,7.82608695652174,20,37.391304347826086,4.3478260869565215
E00097799,230,48,27,31,23,39,62,0,20.869565217391305,11.73913043478261,13.478260869565217,10,16.956521739130434,26.956521739130434,0
E00097800,140,16,14,18,13,25,50,4,11.428571428571429,10,12.857142857142856,9.285714285714286,17.857142857142858,35.714285714285715,2.857142857142857
E00097801,124,11,10,23,6,14,57,3,8.870967741935484,8.064516129032258,18.548387096774192,4.838709677419355,11.29032258064516,45.96774193548387,2.4193548387096775
E00097803,207,23,19,28,20,35,81,1,11.11111111111111,9.178743961352657,13.526570048309178,9.66183574879227,16.908212560386474,39.130434782608695,0.4830917874396135
E00097804,157,19,13,23,9,28,62,3,12.101910828025478,8.280254777070063,14.64968152866242,5.7324840764331215,17.8343949044586,39.490445859872615,1.910828025477707
E00097805,110,11,9,12,8,14,56,0,10,8.181818181818182,10.909090909090908,7.2727272727272725,12.727272727272727,50.90909090909091,0
E00097806,213,24,17,20,17,25,106,4,11.267605633802818,7.981220657276995,9.389671361502346,7.981220657276995,11.737089201877934,49.76525821596244,1.8779342723004695
E00097807,202,19,7,25,14,32,100,5,9.405940594059405,3.4653465346534658,12.376237623762377,6.9306930693069315,15.841584158415841,49.504950495049506,2.4752475247524752
E00097808,262,23,9,32,17,48,126,7,8.778625954198473,3.435114503816794,12.213740458015266,6.488549618320611,18.3206106870229,48.091603053435115,2.6717557251908395
E00097809,372,38,29,50,31,58,160,6,10.21505376344086,7.795698924731183,13.440860215053762,8.333333333333332,15.591397849462366,43.01075268817204,1.6129032258064515
E00097810,182,19,12,30,10,31,73,7,10.43956043956044,6.593406593406594,16.483516483516482,5.4945054945054945,17.032967032967033,40.10989010989011,3.8461538461538463
E00097811,153,9,15,15,9,31,69,5,5.88235294117647,9.803921568627452,9.803921568627452,5.88235294117647,20.26143790849673,45.09803921568628,3.2679738562091507
E00097812,115,18,6,12,4,18,56,1,15.65217391304348,5.217391304347826,10.434782608695652,3.4782608695652173,15.65217391304348,48.69565217391305,0.8695652173913043
E00097813,349,49,31,35,23,68,136,7,14.040114613180515,8.882521489971348,10.028653295128938,6.59025787965616,19.484240687679083,38.96848137535817,2.005730659025788
E00097814,270,27,19,46,17,39,115,7,10,7.037037037037037,17.037037037037038,6.296296296296296,14.444444444444443,42.592592592592595,2.5925925925925926
E00097815,257,35,23,39,22,54,80,4,13.618677042801556,8.949416342412452,15.17509727626459,8.560311284046692,21.011673151750973,31.1284046692607,1.556420233463035
E00097816,252,30,16,38,14,49,100,5,11.904761904761903,6.349206349206349,15.079365079365079,5.555555555555555,19.444444444444446,39.682539682539684,1.984126984126984
E00097817,276,39,16,38,23,43,111,6,14.130434782608695,5.797101449275362,13.768115942028986,8.333333333333332,15.579710144927535,40.21739130434783,2.1739130434782608
E00097818,227,23,25,28,12,35,99,5,10.13215859030837,11.013215859030836,12.334801762114537,5.286343612334802,15.418502202643172,43.61233480176212,2.2026431718061676
E00097819,206,38,11,14,12,36,85,10,18.446601941747574,5.339805825242718,6.796116504854369,5.825242718446602,17.475728155339805,41.262135922330096,4.854368932038835
E00097820,378,49,27,51,20,55,170,6,12.962962962962962,7.142857142857142,13.492063492063492,5.291005291005291,14.550264550264549,44.97354497354497,1.5873015873015872
E00097821,292,28,22,26,29,30,148,9,9.58904109589041,7.534246575342466,8.904109589041095,9.931506849315069,10.273972602739725,50.68493150684932,3.0821917808219177
E00097822,375,54,29,39,33,38,171,11,14.399999999999999,7.733333333333333,10.4,8.799999999999999,10.133333333333333,45.6,2.933333333333333
E00097823,207,26,21,33,16,29,75,7,12.560386473429952,10.144927536231885,15.942028985507244,7.729468599033816,14.009661835748794,36.231884057971016,3.3816425120772946
E00097824,225,19,13,27,12,36,115,3,8.444444444444445,5.777777777777778,12,5.333333333333334,16,51.11111111111111,1.3333333333333335
E00097825,231,21,20,31,11,26,112,10,9.090909090909092,8.658008658008658,13.41991341991342,4.761904761904762,11.255411255411255,48.484848484848484,4.329004329004329
E00097826,206,25,11,29,13,38,86,4,12.135922330097088,5.339805825242718,14.077669902912621,6.310679611650485,18.446601941747574,41.74757281553398,1.9417475728155338
E00097827,199,28,12,21,24,21,83,10,14.07035175879397,6.030150753768844,10.552763819095476,12.060301507537687,10.552763819095476,41.70854271356784,5.025125628140704
E00097828,175,30,17,21,13,13,72,9,17.142857142857142,9.714285714285714,12,7.428571428571429,7.428571428571429,41.14285714285714,5.142857142857142
E00097829,241,27,17,24,13,36,117,7,11.20331950207469,7.053941908713693,9.95850622406639,5.394190871369295,14.937759336099585,48.54771784232365,2.904564315352697
E00097830,260,44,14,28,19,44,103,8,16.923076923076923,5.384615384615385,10.76923076923077,7.307692307692308,16.923076923076923,39.61538461538461,3.076923076923077
E00097831,193,31,21,21,13,28,75,4,16.06217616580311,10.880829015544041,10.880829015544041,6.7357512953367875,14.507772020725387,38.860103626943,2.072538860103627
E00097832,260,32,18,33,24,51,95,7,12.307692307692308,6.923076923076923,12.692307692307692,9.230769230769232,19.615384615384617,36.53846153846153,2.6923076923076925
E00097833,247,27,12,29,16,39,120,4,10.931174089068826,4.8582995951417,11.740890688259109,6.477732793522267,15.789473684210526,48.582995951417004,1.6194331983805668
E00097834,253,25,14,41,18,45,103,7,9.881422924901186,5.533596837944664,16.205533596837945,7.114624505928854,17.786561264822133,40.71146245059288,2.766798418972332
E00097835,220,25,20,33,12,31,94,5,11.363636363636363,9.090909090909092,15,5.454545454545454,14.09090909090909,42.72727272727273,2.272727272727273
E00097836,143,21,11,10,7,23,67,4,14.685314685314685,7.6923076923076925,6.993006993006993,4.895104895104895,16.083916083916083,46.85314685314685,2.797202797202797
E00097837,232,30,18,38,21,35,83,7,12.931034482758621,7.758620689655173,16.379310344827587,9.051724137931034,15.086206896551724,35.775862068965516,3.0172413793103448
E00097838,224,22,9,25,14,22,132,0,9.821428571428571,4.017857142857143,11.160714285714286,6.25,9.821428571428571,58.92857142857143,0
