OA,ts0180001,ts0180002,ts0180003,ts0180004,ts0180005,ts0180006,ts0180007,ts0180008,ts0180009,ts0180010,ts0180011,ts0180012,ts0180013,ts0180014,ts0180015,ts0180016,ts0180017,ts0180018,ts0180019,ts0180002_PCT,ts0180003_PCT,ts0180004_PCT,ts0180005_PCT,ts0180006_PCT,ts0180007_PCT,ts0180008_PCT,ts0180009_PCT,ts0180010_PCT,ts0180011_PCT,ts0180012_PCT,ts0180013_PCT,ts0180014_PCT,ts0180015_PCT,ts0180016_PCT,ts0180017_PCT,ts0180018_PCT,ts0180019_PCT
W00002791,355,336,19,3,3,0,0,0,4,1,3,3,1,1,0,0,0,0,0,94.64788732394366,5.352112676056338,0.8450704225352111,0.8450704225352111,0,0,0,1.1267605633802817,0.28169014084507044,0.8450704225352111,0.8450704225352111,0.28169014084507044,0.28169014084507044,0,0,0,0,0
W00002792,282,270,12,3,0,2,0,0,0,2,3,0,1,1,0,0,0,0,0,95.74468085106383,4.25531914893617,1.0638297872340425,0,0.7092198581560284,0,0,0,0.7092198581560284,1.0638297872340425,0,0.3546099290780142,0.3546099290780142,0,0,0,0,0
W00002793,357,351,6,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,98.31932773109243,1.680672268907563,0.8403361344537815,0,0,0,0,0,0.2801120448179272,0,0.2801120448179272,0.2801120448179272,0,0,0,0,0,0
W00002794,266,255,11,1,1,0,2,0,0,0,3,1,2,1,0,0,0,0,0,95.86466165413535,4.135338345864661,0.37593984962406013,0.37593984962406013,0,0.7518796992481203,0,0,0,1.1278195488721803,0.37593984962406013,0.7518796992481203,0.37593984962406013,0,0,0,0,0
W00002795,315,299,16,6,0,0,0,0,1,1,3,1,3,1,0,0,0,0,0,94.92063492063491,5.079365079365079,1.9047619047619049,0,0,0,0,0.31746031746031744,0.31746031746031744,0.9523809523809524,0.31746031746031744,0.9523809523809524,0.31746031746031744,0,0,0,0,0
W00002796,286,267,19,3,2,0,0,0,0,3,2,4,4,1,0,0,0,0,0,93.35664335664336,6.643356643356643,1.048951048951049,0.6993006993006993,0,0,0,0,1.048951048951049,0.6993006993006993,1.3986013986013985,1.3986013986013985,0.34965034965034963,0,0,0,0,0
W00002929,138,132,6,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,95.65217391304348,4.3478260869565215,1.4492753623188406,0.7246376811594203,0,0,0,0,0,0.7246376811594203,0.7246376811594203,0,0,0.7246376811594203,0,0,0,0
W00002930,245,231,14,1,1,0,1,0,0,1,2,1,4,2,0,1,0,0,0,94.28571428571428,5.714285714285714,0.40816326530612246,0.40816326530612246,0,0.40816326530612246,0,0,0.40816326530612246,0.8163265306122449,0.40816326530612246,1.6326530612244898,0.8163265306122449,0,0.40816326530612246,0,0,0
W00002931,178,162,16,2,2,1,1,0,0,0,0,0,6,1,0,3,0,0,0,91.01123595505618,8.98876404494382,1.1235955056179776,1.1235955056179776,0.5617977528089888,0.5617977528089888,0,0,0,0,0,3.3707865168539324,0.5617977528089888,0,1.6853932584269662,0,0,0
W00002932,363,354,9,1,0,0,2,0,0,1,0,1,4,0,0,0,0,0,0,97.52066115702479,2.479338842975207,0.27548209366391185,0,0,0.5509641873278237,0,0,0.27548209366391185,0,0.27548209366391185,1.1019283746556474,0,0,0,0,0,0
