OA,ts0030001,ts0030002,ts0030003,ts0030004,ts0030005,ts0030006,ts0030007,ts0030008,ts0030009,ts0030010,ts0030011,ts0030012,ts0030013,ts0030014,ts0030015,ts0030016,ts0030017,ts0030018,ts0030019,ts0030020,ts0030021,ts0030022,ts0030002_PCT,ts0030003_PCT,ts0030004_PCT,ts0030005_PCT,ts0030006_PCT,ts0030007_PCT,ts0030008_PCT,ts0030009_PCT,ts0030010_PCT,ts0030011_PCT,ts0030012_PCT,ts0030013_PCT,ts0030014_PCT,ts0030015_PCT,ts0030016_PCT,ts0030017_PCT,ts0030018_PCT,ts0030019_PCT,ts0030020_PCT,ts0030021_PCT,ts0030022_PCT
W00002461,189,40,24,16,136,34,73,30,23,20,20,13,6,1,8,4,4,1,1,13,5,8,21.164021164021165,12.698412698412698,8.465608465608465,71.95767195767195,17.989417989417987,38.62433862433862,15.873015873015872,12.16931216931217,10.582010582010582,10.582010582010582,6.878306878306878,3.1746031746031744,0.5291005291005291,4.232804232804233,2.1164021164021163,2.1164021164021163,0.5291005291005291,0.5291005291005291,6.878306878306878,2.6455026455026456,4.232804232804233
W00002463,98,42,16,26,47,5,17,9,4,4,14,7,6,1,9,5,4,2,2,9,2,7,42.857142857142854,16.3265306122449,26.53061224489796,47.95918367346938,5.1020408163265305,17.346938775510203,9.183673469387756,4.081632653061225,4.081632653061225,14.285714285714285,7.142857142857142,6.122448979591836,1.0204081632653061,9.183673469387756,5.1020408163265305,4.081632653061225,2.0408163265306123,2.0408163265306123,9.183673469387756,2.0408163265306123,7.142857142857142
W00009784,82,37,23,14,44,8,16,6,7,3,13,10,3,0,7,5,2,0,0,1,0,1,45.1219512195122,28.04878048780488,17.073170731707318,53.65853658536586,9.75609756097561,19.51219512195122,7.317073170731707,8.536585365853659,3.6585365853658534,15.853658536585366,12.195121951219512,3.6585365853658534,0,8.536585365853659,6.097560975609756,2.4390243902439024,0,0,1.2195121951219512,0,1.2195121951219512
W00009785,186,61,27,34,118,21,44,12,25,7,33,14,18,1,20,15,5,0,0,7,2,5,32.795698924731184,14.516129032258066,18.27956989247312,63.44086021505376,11.29032258064516,23.655913978494624,6.451612903225806,13.440860215053762,3.763440860215054,17.741935483870968,7.526881720430108,9.67741935483871,0.5376344086021506,10.75268817204301,8.064516129032258,2.6881720430107525,0,0,3.763440860215054,1.0752688172043012,2.6881720430107525
W00009786,143,53,31,22,88,18,36,14,15,7,11,4,7,0,23,14,9,0,0,2,0,2,37.06293706293706,21.678321678321677,15.384615384615385,61.53846153846154,12.587412587412588,25.174825174825177,9.79020979020979,10.48951048951049,4.895104895104895,7.6923076923076925,2.797202797202797,4.895104895104895,0,16.083916083916083,9.79020979020979,6.293706293706294,0,0,1.3986013986013985,0,1.3986013986013985
W00002499,112,40,29,11,66,20,36,25,8,3,4,3,0,1,6,4,2,0,0,6,3,3,35.714285714285715,25.892857142857146,9.821428571428571,58.92857142857143,17.857142857142858,32.142857142857146,22.321428571428573,7.142857142857142,2.6785714285714284,3.571428571428571,2.6785714285714284,0,0.8928571428571428,5.357142857142857,3.571428571428571,1.7857142857142856,0,0,5.357142857142857,2.6785714285714284,2.6785714285714284
W00002500,115,39,28,11,70,14,37,13,18,6,10,5,2,3,9,3,6,0,0,6,1,5,33.91304347826087,24.347826086956523,9.565217391304348,60.86956521739131,12.173913043478262,32.17391304347826,11.304347826086957,15.65217391304348,5.217391304347826,8.695652173913043,4.3478260869565215,1.7391304347826086,2.608695652173913,7.82608695652174,2.608695652173913,5.217391304347826,0,0,5.217391304347826,0.8695652173913043,4.3478260869565215
W00002501,136,32,22,10,99,32,44,17,19,8,12,8,3,1,11,4,7,0,0,5,3,2,23.52941176470588,16.176470588235293,7.352941176470589,72.79411764705883,23.52941176470588,32.35294117647059,12.5,13.970588235294118,5.88235294117647,8.823529411764707,5.88235294117647,2.2058823529411766,0.7352941176470588,8.088235294117647,2.941176470588235,5.147058823529411,0,0,3.6764705882352944,2.2058823529411766,1.4705882352941175
W00002502,199,61,23,38,130,24,54,17,29,8,28,13,15,0,23,13,10,1,1,8,6,2,30.65326633165829,11.557788944723619,19.09547738693467,65.32663316582915,12.060301507537687,27.1356783919598,8.542713567839195,14.572864321608039,4.0201005025125625,14.07035175879397,6.532663316582915,7.537688442211055,0,11.557788944723619,6.532663316582915,5.025125628140704,0.5025125628140703,0.5025125628140703,4.0201005025125625,3.015075376884422,1.0050251256281406
W00002503,143,49,32,17,92,23,40,21,11,8,16,8,8,0,13,11,2,0,0,2,0,2,34.26573426573427,22.377622377622377,11.888111888111888,64.33566433566433,16.083916083916083,27.972027972027973,14.685314685314685,7.6923076923076925,5.594405594405594,11.188811188811188,5.594405594405594,5.594405594405594,0,9.090909090909092,7.6923076923076925,1.3986013986013985,0,0,1.3986013986013985,0,1.3986013986013985
