OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00007042,309,12,0,4,0,7,1,1,0,0,1,3,3,0,0,0,293,288,1,0,0,4,0,0,0,3.8834951456310676,0,1.2944983818770228,0,2.26537216828479,0.3236245954692557,0.3236245954692557,0,0,0.3236245954692557,0.9708737864077669,0.9708737864077669,0,0,0,94.8220064724919,93.20388349514563,0.3236245954692557,0,0,1.2944983818770228,0,0,0
W00007043,226,8,0,0,8,0,0,0,0,0,0,1,0,0,1,0,217,215,0,0,0,2,0,0,0,3.5398230088495577,0,0,3.5398230088495577,0,0,0,0,0,0,0.4424778761061947,0,0,0.4424778761061947,0,96.01769911504425,95.13274336283186,0,0,0,0.8849557522123894,0,0,0
W00007044,269,1,1,0,0,0,0,0,0,0,0,8,0,3,4,1,257,249,1,0,0,7,3,0,3,0.37174721189591076,0.37174721189591076,0,0,0,0,0,0,0,0,2.973977695167286,0,1.1152416356877324,1.486988847583643,0.37174721189591076,95.53903345724906,92.56505576208178,0.37174721189591076,0,0,2.6022304832713754,1.1152416356877324,0,1.1152416356877324
W00007045,292,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,289,286,3,0,0,0,0,0,0,0.684931506849315,0,0,0.3424657534246575,0.3424657534246575,0,0,0,0,0,0.3424657534246575,0,0,0.3424657534246575,0,98.97260273972603,97.94520547945206,1.0273972602739725,0,0,0,0,0,0
W00007046,306,0,0,0,0,0,0,1,1,0,0,8,0,0,5,3,296,291,1,0,0,4,1,0,1,0,0,0,0,0,0,0.32679738562091504,0.32679738562091504,0,0,2.6143790849673203,0,0,1.6339869281045754,0.9803921568627451,96.73202614379085,95.09803921568627,0.32679738562091504,0,0,1.3071895424836601,0.32679738562091504,0,0.32679738562091504
W00007047,308,4,0,0,0,0,4,0,0,0,0,5,4,0,0,1,299,297,0,0,0,2,0,0,0,1.2987012987012987,0,0,0,0,1.2987012987012987,0,0,0,0,1.6233766233766231,1.2987012987012987,0,0,0.3246753246753247,97.07792207792207,96.42857142857143,0,0,0,0.6493506493506493,0,0,0
W00007048,302,3,0,1,2,0,0,0,0,0,0,4,1,0,3,0,295,289,1,1,0,4,0,0,0,0.9933774834437087,0,0.33112582781456956,0.6622516556291391,0,0,0,0,0,0,1.3245033112582782,0.33112582781456956,0,0.9933774834437087,0,97.68211920529801,95.69536423841059,0.33112582781456956,0.33112582781456956,0,1.3245033112582782,0,0,0
W00007049,324,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,322,322,0,0,0,0,1,0,1,0,0,0,0,0,0,0.30864197530864196,0,0,0.30864197530864196,0,0,0,0,0,99.38271604938271,99.38271604938271,0,0,0,0,0.30864197530864196,0,0.30864197530864196
W00007050,267,0,0,0,0,0,0,0,0,0,0,6,0,3,2,1,260,251,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,2.247191011235955,0,1.1235955056179776,0.7490636704119851,0.37453183520599254,97.37827715355806,94.00749063670412,0,0,0,3.3707865168539324,0.37453183520599254,0,0.37453183520599254
W00007051,261,8,0,0,4,0,4,0,0,0,0,5,0,0,0,5,248,237,1,0,0,10,0,0,0,3.065134099616858,0,0,1.532567049808429,0,1.532567049808429,0,0,0,0,1.9157088122605364,0,0,0,1.9157088122605364,95.01915708812261,90.80459770114942,0.38314176245210724,0,0,3.8314176245210727,0,0,0
